BV号：BV1KJ411z73P
标题：BV1KJ411z73P
链接：https://www.bilibili.com/video/BV1KJ411z73P
识别语言：zh
语言置信度：1
分段数：257
生成时间：2026-04-04 05:03:58

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 有这么一个案子 说的是一个犯罪协议人假
[00:00:05 - 00:00:08] 16岁 他有一天在高速公路
[00:00:08 - 00:00:11] 旁边山上就玩 突然发现高速公路那边
[00:00:11 - 00:00:13] 行驶过来一辆奔驰车 假就想起来
[00:00:13 - 00:00:16] 自己的父亲就是被奔驰车给撞死的
[00:00:16 - 00:00:18] 他就想报复一下奔驰车
[00:00:18 - 00:00:21] 他就随便找了一个小狮子往那个车的身上丢
[00:00:21 - 00:00:23] 想给那个车造成一定的损害
[00:00:23 - 00:00:26] 但是这狮子一丢一下就打到了前面的党锋玻璃
[00:00:26 - 00:00:29] 使得驾使员看不清前面的路
[00:00:29 - 00:00:31] 造成了重大交通事故
[00:00:31 - 00:00:33] 这四个人奔车车上的四个人
[00:00:33 - 00:00:35] 就因为这个交通事故给死了
[00:00:35 - 00:00:36] 然后抓到这个假的时候
[00:00:36 - 00:00:38] 假说我当时就想扔这个食子
[00:00:38 - 00:00:39] 来损坏奔车车
[00:00:39 - 00:00:41] 我没有想要车里边人的命
[00:00:41 - 00:00:42] 最后定罪的时候
[00:00:42 - 00:00:44] 会有这个假定什么罪
[00:00:44 - 00:00:46] 这就是我们本期要讨论的话题
[00:00:55 - 00:00:55] 大家好
[00:00:55 - 00:00:57] 我上学习边的更快乐的张雪峰老师
[00:00:57 - 00:00:59] 欢迎大家收看本期的法律骑士
[00:00:59 - 00:00:59] 很好玩
[00:00:59 - 00:01:01] 我们本期抢到的嘉宾依然是我们
[00:01:01 - 00:01:02] 研途教育的千月老师
[00:01:02 - 00:01:04] 我们的颜爱祥老师
[00:01:04 - 00:01:05] 杨老师跟大家打个招呼
[00:01:05 - 00:01:06] 大家好
[00:01:06 - 00:01:07] 杨老师
[00:01:07 - 00:01:08] 你像他这个行为
[00:01:08 - 00:01:11] 他本身是想去伤害奔斥车的车辆
[00:01:11 - 00:01:13] 他可能真的没有意义的说
[00:01:13 - 00:01:14] 我要把里边的人给整死
[00:01:14 - 00:01:15] 可能也没有这样的
[00:01:15 - 00:01:16] 对
[00:01:16 - 00:01:16] 可能
[00:01:16 - 00:01:21] 但是他造成了一个重大的恶性事件
[00:01:21 - 00:01:23] 从我个人的角度来讲
[00:01:23 - 00:01:24] 首先第一
[00:01:24 - 00:01:26] 我觉得他是引发了一场交通事故
[00:01:26 - 00:01:28] 有可能是交通造势
[00:01:28 - 00:01:28] 第二
[00:01:28 - 00:01:31] 你在高速公路上那么公众的一个场合
[00:01:31 - 00:01:32] 对吧
[00:01:32 - 00:01:35] 然后的话你呢危害的是大家的安全
[00:01:35 - 00:01:36] 因为有可能就是前面那个奔驰车
[00:01:36 - 00:01:39] 他出现事故造成货边的一系列连状
[00:01:39 - 00:01:41] 这都可能也可能会给他定成危害
[00:01:41 - 00:01:44] 以危险方法危害公共安全
[00:01:44 - 00:01:46] 那实际上这个罪到底该怎么定
[00:01:46 - 00:01:47] 这个地方呢
[00:01:47 - 00:01:49] 你讲的这个首先有个什么问题呢
[00:01:49 - 00:01:51] 就是关于一个间接故意的问题
[00:01:51 - 00:01:52] 间接故意
[00:01:52 - 00:01:53] 就咱们有在刑法里面啊
[00:01:53 - 00:01:56] 这个犯罪心态首先有两大块
[00:01:56 - 00:01:57] 一个叫故意
[00:01:57 - 00:01:58] 一个叫过失
[00:01:58 - 00:01:59] 那么过失的就说
[00:01:59 - 00:02:01] 我完全无法预见
[00:02:01 - 00:02:03] 或者我過於自信 親信能夠避免
[00:02:03 - 00:02:06] 而故意的就說我已經去見到了
[00:02:06 - 00:02:08] 但是我希望或者我放任
[00:02:08 - 00:02:10] 危害結果的發生
