BV号：BV11A411Z7Ju
标题：BV11A411Z7Ju
链接：https://www.bilibili.com/video/BV11A411Z7Ju
识别语言：zh
语言置信度：1
分段数：28
生成时间：2026-04-03 16:32:14

[00:00:00 - 00:00:02] 就是你感受过一些美好
[00:00:02 - 00:00:05] 你才能知道我努力以后会得到什么
[00:00:05 - 00:00:07] 就是有的时候我们经常给孩子讲说
[00:00:07 - 00:00:08] 孩子你要努力
[00:00:08 - 00:00:09] 他说努力有能怎样
[00:00:09 - 00:00:10] 他说努力靠好大学
[00:00:10 - 00:00:12] 靠好大学又能怎样
[00:00:12 - 00:00:13] 靠好大学将来找好工作
[00:00:13 - 00:00:14] 找好工作又能怎样
[00:00:14 - 00:00:16] 找好工作就有好生活
[00:00:16 - 00:00:18] 你这么说孩子有概念吗
[00:00:18 - 00:00:20] 他对这个东西是没有概念的
[00:00:20 - 00:00:21] 大家能理解吗
[00:00:21 - 00:00:23] 他对这个东西是没有概念的
[00:00:23 - 00:00:25] 我们一定要给孩子的目标
[00:00:25 - 00:00:26] 相对一个概念
[00:00:26 - 00:00:27] 相对一个巨像
[00:00:27 - 00:00:29] 你努力了以后你会得到什么
[00:00:29 - 00:00:31] 而不是给它放空化
[00:00:31 - 00:00:32] 就是相当于画大饼
[00:00:32 - 00:00:33] 画大饼
[00:00:33 - 00:00:36] 那饼最好是一个真实的饼
[00:00:36 - 00:00:37] 因为它努力到一定程度以后
[00:00:37 - 00:00:39] 这个饼它能不能迟到
[00:00:39 - 00:00:40] 它是能迟到的
[00:00:40 - 00:00:40] 知道吧
[00:00:40 - 00:00:42] 所以说一定要具象
[00:00:42 - 00:00:43] 这一定要具象
