BV号：BV11A4bemEFw
标题：BV11A4bemEFw
链接：https://www.bilibili.com/video/BV11A4bemEFw
识别语言：zh
语言置信度：1
分段数：51
生成时间：2026-04-03 08:17:41

[00:00:00 - 00:00:03] 英语它能是100不到101吧
[00:00:03 - 00:00:04] 101点
[00:00:04 - 00:00:05] 101点不到101
[00:00:05 - 00:00:07] 来 我给大家说一下英语的学习
[00:00:07 - 00:00:08] 以及一些建议和办法
[00:00:08 - 00:00:09] 首先第一就是
[00:00:09 - 00:00:12] 一定要提升孩子的英语的学习的特性
[00:00:13 - 00:00:14] 千万让孩子知道
[00:00:14 - 00:00:15] 英语这个东西
[00:00:15 - 00:00:17] 它提分是最容易的
[00:00:17 - 00:00:19] 如果说各位加上你孩子的高三
[00:00:19 - 00:00:20] 他世线物理特别好
[00:00:20 - 00:00:21] 英语相对一般般
[00:00:21 - 00:00:22] 恭喜你
[00:00:22 - 00:00:24] 你提分的希望非常非常大
[00:00:24 - 00:00:27] 因为英语它提分的几率是最高的
[00:00:27 - 00:00:28] 为什么英语提分几率是最高的
[00:00:28 - 00:00:31] 我就给你讲一个最简单最简单的例子
[00:00:31 - 00:00:33] 我妈一个70岁的老太太
[00:00:33 - 00:00:37] 我现在想办法让她在一年之内把英语学好
[00:00:37 - 00:00:38] 有没有办法
[00:00:38 - 00:00:39] 绝对有办法
[00:00:39 - 00:00:41] 我说妈我给你200万
[00:00:41 - 00:00:42] 你把英语给我考大学
[00:00:42 - 00:00:44] 给我考到110分以上
[00:00:44 - 00:00:45] 我妈说这事很简单呀
[00:00:45 - 00:00:47] 你给我花100万过送的英国去
[00:00:47 - 00:00:49] 我到英国去付一年
[00:00:49 - 00:00:51] 我跟那帮老外聊聊天
[00:00:51 - 00:00:52] 我英语就好了
[00:00:52 - 00:00:54] 所以说你会看到很多很多网上
[00:00:54 - 00:00:55] 有很多很多这样的视频
[00:00:55 - 00:00:57] 就旅游景点那帮卖东西的
[00:00:57 - 00:00:59] 你说他学历高吗?他学历也不高
[00:00:59 - 00:01:00] 都是老头老太太
[00:01:00 - 00:01:02] 但是人家可以把英语说得很好
[00:01:03 - 00:01:04] 但是如果说你跟我妈说
[00:01:04 - 00:01:05] 我说我妈我给你500万
[00:01:05 - 00:01:08] 你把物理考大学给我考到80分以上
[00:01:08 - 00:01:09] 我妈说拉倒吧
[00:01:09 - 00:01:10] 这事我打次也干不来
[00:01:11 - 00:01:11] 对吧
[00:01:11 - 00:01:12] 所以家长对你也是
[00:01:12 - 00:01:13] 对吧
[00:01:13 - 00:01:15] 我说我要让把你英语编好
[00:01:15 - 00:01:16] 这个事还能办
[00:01:16 - 00:01:17] 但是我说把你物理编好
[00:01:17 - 00:01:19] 这个事可能就很难办
[00:01:19 - 00:01:21] 所以说英语这个东西学习难度
[00:01:21 - 00:01:23] 没有孩子想象的那么大
[00:01:23 - 00:01:25] 首先第一建立孩子学习英语的自信
