BV号：BV11D4y187ZY
标题：BV11D4y187ZY
链接：https://www.bilibili.com/video/BV11D4y187ZY
识别语言：zh
语言置信度：1
分段数：63
生成时间：2026-04-03 16:43:42

[00:00:00 - 00:00:01] 嗨 同學們大家好
[00:00:01 - 00:00:03] 我上學習的更快樂的張雪豐老師
[00:00:03 - 00:00:05] 2023年的考研馬上就要來了
[00:00:05 - 00:00:06] 對於很多同學來說
[00:00:06 - 00:00:09] 這可能是高考之後最重要的人生節點了
[00:00:09 - 00:00:10] 越時這種時刻
[00:00:10 - 00:00:13] 咱們就越要對周圍的環境有一定的篩選
[00:00:13 - 00:00:16] 尤其是這三種人你一定要遠離的
[00:00:16 - 00:00:18] 第一種 自己不考吧
[00:00:18 - 00:00:19] 他還得打擊你
[00:00:19 - 00:00:21] 我有個朋友當年大三的時候
[00:00:21 - 00:00:23] 過年回家跟他家人說打算考研
[00:00:23 - 00:00:25] 我猜他老家的親戚
[00:00:25 - 00:00:27] 可能連學術和專屬都分不清
[00:00:27 - 00:00:30] 家里好不容易把你供到大学毕业了
[00:00:30 - 00:00:32] 你还不赶你上班赚钱呢
[00:00:32 - 00:00:33] 浪费的时间干啥白人呢
[00:00:33 - 00:00:35] 你赶紧离他远点
[00:00:35 - 00:00:36] 第二种就是
[00:00:36 - 00:00:37] 口头说着支持你
[00:00:37 - 00:00:39] 却拉着你东晃西晃
[00:00:39 - 00:00:40] 打了你学习节奏的
[00:00:40 - 00:00:41] 比如说
[00:00:41 - 00:00:43] 有的同学在大学期
[00:00:43 - 00:00:44] 就谈恋爱
[00:00:44 - 00:00:46] 你对象嘴上就喊着说
[00:00:46 - 00:00:48] 亲爱的加油
[00:00:48 - 00:00:49] 回头就是亲爱的
[00:00:49 - 00:00:51] 我最近好想去哪逛
[00:00:51 - 00:00:53] 你陪陪人家
[00:00:53 - 00:00:55] 宝贝你这是在考研
[00:00:55 - 00:00:56] 在好看的对象
[00:00:56 - 00:00:59] 你的心可不能被人給晃眉了
[00:00:59 - 00:01:01] 第三種就是每天傳播負能量
[00:01:01 - 00:01:03] 只告訴你考驗有多難
[00:01:03 - 00:01:05] 但是不告訴你考驗怎麼準備
[00:01:05 - 00:01:08] 只想讓你和他一起做個焦慮的鍵盤俠
[00:01:08 - 00:01:10] 很多同學背考的時候用手機查單詞
[00:01:10 - 00:01:11] 結果一打開手機呢
[00:01:11 - 00:01:14] 就直接進入到了這些平台
[00:01:14 - 00:01:16] 等到想起來查單詞的時候
[00:01:16 - 00:01:16] 一看表
[00:01:16 - 00:01:17] 棒了點都過去了
[00:01:17 - 00:01:19] 你不僅沒學習
[00:01:19 - 00:01:20] 還收穫了滿滿的焦慮
[00:01:20 - 00:01:23] 所以在考驗這種重要的人生關鍵節點上
[00:01:23 - 00:01:25] 一定要遠離上個三種
[00:01:25 - 00:01:28] 有的朋友說張老師前兩種還能離開
[00:01:28 - 00:01:30] 可是考研我也不能沒有手機
[00:01:30 - 00:01:31] 我還得查單詞呢
[00:01:31 - 00:01:32] 這可怎麼辦呢
[00:01:32 - 00:01:35] 這個時候你就需要一支有道的詞典筆
[00:01:35 - 00:01:38] 看不懂的單詞咱們直接點一下
[00:01:38 - 00:01:40] 閱讀那就要一個順暢
[00:01:40 - 00:01:43] 詞庫量1000多萬考研英語完全夠用了
[00:01:43 - 00:01:47] 而且裡面還有專門的長男具分析寫作皮改
[00:01:47 - 00:01:49] 這聽說補寫你全都能掌握
[00:01:49 - 00:01:52] 你考研英語不拿高分你說誰拿高分
[00:01:52 - 00:01:55] 无论是考研求职还是自我提升
[00:01:55 - 00:01:57] 都能够助你扫清障碍
[00:01:57 - 00:01:59] 考研已经进入到最后的通次阶段
[00:01:59 - 00:02:01] 祝看到这条视频的同学
[00:02:01 - 00:02:03] 都能考上心仪的院校
