BV号：BV11MZNBvExQ
标题：BV11MZNBvExQ
链接：https://www.bilibili.com/video/BV11MZNBvExQ
识别语言：zh
语言置信度：1
分段数：81
生成时间：2026-04-03 00:19:05

[00:00:00 - 00:00:01] 这让强机器这样子的
[00:00:01 - 00:00:02] 因为马上要报强级了
[00:00:02 - 00:00:04] 强级的话我给大家简单的讲一下
[00:00:04 - 00:00:05] 强级分成两种
[00:00:05 - 00:00:06] 一种叫做什么
[00:00:06 - 00:00:08] 叫纯粹的文理综合性愿效
[00:00:08 - 00:00:10] 一个叫做功科强效加方向的
[00:00:10 - 00:00:12] 就比如说我给你举个最简单的两个例子
[00:00:12 - 00:00:13] 比如说清华和北大
[00:00:13 - 00:00:15] 北大的就是文理综合性愿效
[00:00:15 - 00:00:16] 它功科没有那么强
[00:00:16 - 00:00:17] 北大有功学
[00:00:17 - 00:00:19] 但是功学没有那么强
[00:00:19 - 00:00:22] 清华它是纯粹的功科强效
[00:00:22 - 00:00:23] 它理科没有那么强
[00:00:23 - 00:00:26] 就比如说你看所谓的什么自动化啊
[00:00:26 - 00:00:27] 电气啊这种转眼
[00:00:27 - 00:00:28] 北大根本就排不上
[00:00:28 - 00:00:30] 他都没有
[00:00:30 - 00:00:30] 知道吧
[00:00:30 - 00:00:33] 然后的话你要说纯数学纯物理吧
[00:00:33 - 00:00:33] 你说清华大学
[00:00:33 - 00:00:35] 他如果说你单看排名
[00:00:35 - 00:00:38] 他可能清华大学还不如一些普通的高校
[00:00:38 - 00:00:40] 因为他不是干理学的
[00:00:40 - 00:00:40] 知道吧
[00:00:40 - 00:00:43] 然后北大他也不是干公公学的
[00:00:43 - 00:00:44] 但是他们都在找强级
[00:00:44 - 00:00:46] 强级是什么强级是基础学科
[00:00:46 - 00:00:47] 那好了
[00:00:47 - 00:00:50] 如果说你想让你的孩子当对应的科学家
[00:00:50 - 00:00:51] 比如说老师
[00:00:51 - 00:00:53] 我要当当数学家物理学家化学家
[00:00:53 - 00:00:54] 那你报水漫的学校
[00:00:54 - 00:00:56] 你报文理综合学院校
[00:00:56 - 00:00:57] 那更适合报北大
[00:00:57 - 00:01:02] 但不是说报北大我报强级我就一定不能为功科负能
[00:01:02 - 00:01:04] 他是大概率把你拍养成科学家
[00:01:04 - 00:01:06] 而不是为功科负能型人才
[00:01:06 - 00:01:09] 而如果你要报清华这种学校的强级的话呢
[00:01:09 - 00:01:12] 他基本上就是把你把功科负能型人才培养
[00:01:12 - 00:01:14] 而不是把你往科学家方向培养
[00:01:14 - 00:01:14] 能明白吗
[00:01:14 - 00:01:16] 那么你对英的话那就得看了
[00:01:16 - 00:01:18] 那你要报什么学校呢
[00:01:18 - 00:01:18] 对吧
[00:01:18 - 00:01:18] 你要报什么学校
[00:01:18 - 00:01:20] 比如说当时说我报兰州大学
[00:01:20 - 00:01:23] 或者老师我报这个这个对英文利作
[00:01:23 - 00:01:24] 比如像山东大学
[00:01:24 - 00:01:24] 对吧
[00:01:24 - 00:01:25] 那像这种学校的话
[00:01:25 - 00:01:28] 他很有可能就是要把你往科学家这个方向培养
[00:01:28 - 00:01:28] 对吧
[00:01:28 - 00:01:31] 但是你要抱有一些功科强效
[00:01:31 - 00:01:33] 那他很有可能给你往功科方向培养
[00:01:33 - 00:01:34] 往功科
[00:01:34 - 00:01:35] 比如像电子科技大
[00:01:35 - 00:01:37] 老师我抱过电子科技大学的强级
[00:01:37 - 00:01:39] 你说他本身就是搞半导体新变的
[00:01:39 - 00:01:42] 你说老师我给你培养成物理学家
[00:01:42 - 00:01:42] 对吧
[00:01:42 - 00:01:44] 他不是人家的科技大没有这个能力
[00:01:44 - 00:01:46] 而是说人家不是主流
[00:01:46 - 00:01:48] 把你培养成物理学家不是主流
[00:01:48 - 00:01:49] 能明白了吧
[00:01:49 - 00:01:51] 所以说强级他就分成这样的两种
[00:01:51 - 00:01:53] 一种叫做科学家方向培养
[00:01:53 - 00:01:54] 一种叫做往功科负能方向培养
[00:01:54 - 00:01:56] 那你自己孩子
[00:01:56 - 00:01:58] 你是你孩子是想往哪个方向走
[00:01:58 - 00:01:59] 他说过往科学家方向配合
[00:01:59 - 00:02:01] 那你就往文理宗方向走
[00:02:01 - 00:02:02] 如果说他自己想往功课
[00:02:02 - 00:02:03] 负能性人才走
[00:02:03 - 00:02:05] 那你就往工程院校去报
[00:02:05 - 00:02:07] 这是两个大方向
[00:02:07 - 00:02:08] 至于找老师我这个分该报什么学校
[00:02:08 - 00:02:10] 这是你家长和考试自己做决定的
[00:02:10 - 00:02:12] 因为你到时候考出什么样的成绩
[00:02:12 - 00:02:13] 谁都不知道
