BV号：BV11x411x7uZ
标题：BV11x411x7uZ
链接：https://www.bilibili.com/video/BV11x411x7uZ
识别语言：zh
语言置信度：1
分段数：267
生成时间：2026-04-04 12:26:49

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:04 - 00:00:05] 你还说
[00:00:05 - 00:00:05] 干嘛来了
[00:00:05 - 00:00:06] 考研
[00:00:07 - 00:00:08] 可不能让您考
[00:00:09 - 00:00:09] 放学别走
[00:00:09 - 00:00:10] 为什么呀
[00:00:10 - 00:00:12] 只因为老师的人群中多看了你
[00:00:13 - 00:00:24] 话哈
[00:00:24 - 00:00:26] 每年都有学会计的同学呢
[00:00:26 - 00:00:27] 问我这个问题
[00:00:27 - 00:00:28] 而且每年还有学
[00:00:28 - 00:00:28] 其他专业的同学呢
[00:00:28 - 00:00:30] 想转业也来学会计
[00:00:30 - 00:00:31] 那么今天呢
[00:00:31 - 00:00:32] 我就这个问题呢
[00:00:32 - 00:00:33] 来跟大家详细的来聊一下
[00:00:34 - 00:00:35] 那么现在想多会计的话呢
[00:00:35 - 00:00:37] 你有两种证是可以考的
[00:00:37 - 00:00:38] 第一种证呢
[00:00:38 - 00:00:40] 叫做会计专业技术资格考试证
[00:00:40 - 00:00:43] 另外一种证叫做职业资格考试证
[00:00:43 - 00:00:46] 这其中快级专业技术资格考试证
[00:00:46 - 00:00:49] 又分为初级 中级 高级快级师资格证
[00:00:49 - 00:00:51] 而职业资格考试中
[00:00:51 - 00:00:53] 就是我们经常听到的叫
[00:00:53 - 00:00:55] 注册快级师证 CPA
[00:00:55 - 00:00:56] 那么我们先来看一下
[00:00:56 - 00:00:59] 这个专业技术资格考试证是什么玩意
[00:00:59 - 00:01:02] 那么初级快级考试是属于入门几倍的
[00:01:02 - 00:01:03] 这个就比较简单
[00:01:03 - 00:01:05] 要求你一年的过两门就可以了
[00:01:05 - 00:01:08] 但是考完以后你还不能叫快级师
[00:01:08 - 00:01:10] 你就要助理快级师
[00:01:10 - 00:01:11] 这个中级会计考试证的
[00:01:11 - 00:01:12] 那就是挑战级别的了
[00:01:12 - 00:01:13] 这个呢
[00:01:13 - 00:01:15] 要求你两年之内过三颗
[00:01:15 - 00:01:17] 这个如果说你过得的话
[00:01:17 - 00:01:19] 你就是会计时了
[00:01:19 - 00:01:21] 你可以做公司的财务主管
[00:01:21 - 00:01:22] 那财务经理啊
[00:01:22 - 00:01:22] 都没有问题
[00:01:22 - 00:01:24] 那工资就更没得说了
[00:01:24 - 00:01:25] 那是有风有车
[00:01:25 - 00:01:26] 人生赢家
[00:01:26 - 00:01:27] 营取白富梅
[00:01:27 - 00:01:28] 勾引高富帅
[00:01:28 - 00:01:29] 那都不在话下
[00:01:29 - 00:01:30] 但是这个呀
[00:01:30 - 00:01:31] 不是随便考的
[00:01:31 - 00:01:33] 这个是根据你的学历和工作年限呢
[00:01:33 - 00:01:34] 是有挂钩的
[00:01:34 - 00:01:36] 如果说你的学历是个博士呢
[00:01:36 - 00:01:37] 那就随便考
[00:01:37 - 00:01:39] 不需要你有所谓的什么工作年限
[00:01:39 - 00:01:40] 直接考可以的
[00:01:40 - 00:01:42] 但如果说你的学历是硕士
[00:01:42 - 00:01:43] 那么你工作一年呢
[00:01:43 - 00:01:44] 就可以考了
[00:01:44 - 00:01:46] 如果说你的学历是本科
[00:01:46 - 00:01:47] 不好意思
[00:01:47 - 00:01:49] 你得工作四年才能考
[00:01:49 - 00:01:50] 那你要是大专的话呢
[00:01:50 - 00:01:52] 你得工作五年才能考
[00:01:52 - 00:01:54] 所以说该考研就得考研
[00:01:54 - 00:01:56] 你本科毕业以后
[00:01:56 - 00:01:59] 你在等待这个考试资格的时候
[00:01:59 - 00:02:01] 你完全可以去考取一个硕士学历嘛
[00:02:01 - 00:02:02] 对不对
[00:02:02 - 00:02:03] 而且现在的会计专说呢
[00:02:03 - 00:02:05] 基本上都是两年制
[00:02:05 - 00:02:05] 这样的话
[00:02:05 - 00:02:06] 你毕业以后
[00:02:06 - 00:02:08] 你一年工作就可以去考这个中期证
[00:02:08 - 00:02:11] 实际上比你本科毕业直接等的话呢
[00:02:11 - 00:02:12] 要节省一年
[00:02:12 - 00:02:14] 更何况说你学校不好
[00:02:14 - 00:02:16] 实际上你也进不去太优秀的企业
[00:02:16 - 00:02:18] 所以说我的建议是这位同学
[00:02:18 - 00:02:19] 你本科期间啊
[00:02:19 - 00:02:21] 你先把初级证给搞定
[00:02:21 - 00:02:21] 然后呢
[00:02:21 - 00:02:23] 考研毕业以后工作一年
[00:02:23 - 00:02:25] 咱们就可以考这个中级证了
[00:02:25 - 00:02:27] 而这个高级会计考试的难度呢
[00:02:27 - 00:02:28] 就更恐怖了
[00:02:28 - 00:02:30] 相当不建议大家在这个阶段
[00:02:30 - 00:02:31] 你去想那么眼的事情啊
[00:02:31 - 00:02:33] 那么说完这个专业技术资格考试呢
[00:02:33 - 00:02:36] 我们再来看看这个职业资格考试
[00:02:36 - 00:02:39] 职业资格考试里最出名的就是这个叫
[00:02:39 - 00:02:40] 注册会计施政
[00:02:40 - 00:02:43] 就是我们传书当中的注快CPA
[00:02:43 - 00:02:45] 那么如果说终极证书
[00:02:45 - 00:02:46] 它是挑战级别的
[00:02:46 - 00:02:49] 那么CPA绝对就是地狱级别的
[00:02:49 - 00:02:51] 每年将近有100万人参加考试
