BV号：BV11y4y1r7EQ
标题：BV11y4y1r7EQ
链接：https://www.bilibili.com/video/BV11y4y1r7EQ
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-04 01:15:40

[00:00:00 - 00:00:01] 高考虽然过去了
[00:00:01 - 00:00:03] 但是各位家长一定要注意一下
[00:00:03 - 00:00:06] 明年会有更多的省份实行新高考
[00:00:06 - 00:00:07] 有的家长说
[00:00:07 - 00:00:08] 张老师什么叫新高考
[00:00:08 - 00:00:10] 我们的省是不是新高考
[00:00:10 - 00:00:13] 因为咱们国家新高考改革是分批进行的
[00:00:13 - 00:00:14] 那么有的省是第一批
[00:00:14 - 00:00:15] 有的省是第二批
[00:00:15 - 00:00:16] 有的省是第三批
[00:00:16 - 00:00:17] 想问一下各位家长的考生
[00:00:17 - 00:00:19] 你知道你自己所在的省份
[00:00:19 - 00:00:23] 明年是否进行新高考改革吗
[00:00:23 - 00:00:25] 在这里边给大家科普一下
[00:00:25 - 00:00:27] 那么新高考改革的第一批省份
[00:00:27 - 00:00:29] 是上海和浙江
[00:00:29 - 00:00:32] 这两个省份都是采用6选3的方式来进行选科的
[00:00:32 - 00:00:34] 那么第二批新高考的省份
[00:00:34 - 00:00:36] 就是今年第一年实习新高考的
[00:00:36 - 00:00:38] 是北京 天津 山东和海南
[00:00:38 - 00:00:42] 那么在明年到时候亲加入新高考的省份
[00:00:42 - 00:00:47] 有广东 湖南 湖北 河北 遼宁 江苏 福建和重庆
[00:00:47 - 00:00:49] 这8个省份
[00:00:49 - 00:00:53] 那么也就是说现在一共有14个省份
[00:00:53 - 00:00:54] 是新高考的省份
[00:00:54 - 00:00:57] 还有剩下的省份都没有进入新高考
[00:00:57 - 00:00:58] 所以说不管你是高三
[00:00:58 - 00:01:00] 还是高一一定要了解一下
[00:01:00 - 00:01:03] 自己那个省份到底是不是新高考
[00:01:03 - 00:01:05] 提前做好准备
