BV号：BV122wCzoEZd
标题：BV122wCzoEZd
链接：https://www.bilibili.com/video/BV122wCzoEZd
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-02 23:59:16

[00:00:00 - 00:00:01] 你不愿意学人医
[00:00:01 - 00:00:02] 你怎么就确定
[00:00:02 - 00:00:03] 你愿意学受医呢
[00:00:03 - 00:00:06] 住校和事有关系没处理好
[00:00:06 - 00:00:09] 该选择租房还是提换寝室
[00:00:09 - 00:00:11] 这个是你个人的选择
[00:00:11 - 00:00:13] 看你的孩子能不能适应
[00:00:13 - 00:00:14] 所谓住校的这个环境
[00:00:14 - 00:00:16] 也要看中间这些问题
[00:00:16 - 00:00:18] 所以说的话这个我觉得
[00:00:18 - 00:00:20] 要是我的话我可能会租房
[00:00:20 - 00:00:20] 不太明白
[00:00:20 - 00:00:22] 强机计划的学生
[00:00:22 - 00:00:24] 毕业了做什么工作
[00:00:24 - 00:00:25] 你不用说你不明白
[00:00:25 - 00:00:26] 现在也没人能够明白
[00:00:26 - 00:00:27] 为什么
[00:00:27 - 00:00:27] 因为成绩计划
[00:00:27 - 00:00:29] 到现在还没有毕业生
[00:00:29 - 00:00:30] 人一怎么转授意
[00:00:30 - 00:00:32] 不想从事人一了
[00:00:32 - 00:00:33] 人一怎么转授意
[00:00:33 - 00:00:34] 你要知道像授意
[00:00:34 - 00:00:35] 他也要考各种字
[00:00:35 - 00:00:37] 他也要学各种各样东西的
[00:00:37 - 00:00:38] 你不愿意学人一
[00:00:38 - 00:00:39] 你怎么就确定
[00:00:39 - 00:00:41] 你愿意学授意呢
[00:00:41 - 00:00:41] 对吧
[00:00:41 - 00:00:42] 你想好了再说
