BV号：BV127411u7VE
标题：BV127411u7VE
链接：https://www.bilibili.com/video/BV127411u7VE
识别语言：zh
语言置信度：1
分段数：248
生成时间：2026-04-04 02:29:15

[00:00:00 - 00:00:02] 大家好,我是让学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 欢迎到这儿上本期的法律其实很好玩
[00:00:05 - 00:00:07] 张某和李某他是一对情侣
[00:00:07 - 00:00:10] 但是张某的有点怎么说呢
[00:00:10 - 00:00:11] 就是不学无数
[00:00:11 - 00:00:13] 每天还堵搏成性,是就如命
[00:00:13 - 00:00:17] 李某这个日子过得可以说是度日如年
[00:00:17 - 00:00:19] 结果有一天张某又出去堵搏
[00:00:19 - 00:00:20] 输了钱
[00:00:20 - 00:00:22] 获得家以后李某就说
[00:00:22 - 00:00:24] 说你看你成天出去堵搏
[00:00:24 - 00:00:27] 我们这个日子还过得像不像是个人样的
[00:00:27 - 00:00:29] 还不如干脆死了算了
[00:00:29 - 00:00:31] 这个李某就说了这么一句话
[00:00:31 - 00:00:32] 张某一看
[00:00:32 - 00:00:34] 我本来读不过就说了钱
[00:00:34 - 00:00:35] 你还在这跟我置气
[00:00:35 - 00:00:36] 那你不是想死吗
[00:00:36 - 00:00:37] 我就让你去死
[00:00:37 - 00:00:40] 结果他就把家里边储备的这个汽油
[00:00:40 - 00:00:42] 倒在了李某的身上
[00:00:42 - 00:00:45] 李某一看我说死你还真让我死
[00:00:45 - 00:00:47] 那好我就死给你看
[00:00:47 - 00:00:49] 他本来是想把打火机给打开
[00:00:49 - 00:00:50] 吓唬吓唬张某
[00:00:50 - 00:00:51] 但是没成想
[00:00:51 - 00:00:52] 这个汽油呢
[00:00:52 - 00:00:53] 挥发的比较快
[00:00:53 - 00:00:56] 在李某点燃打火机的一刹那
[00:00:56 - 00:00:58] 他一不小心就把自己给点着了
[00:00:58 - 00:00:59] 张某一看也下坏了
[00:00:59 - 00:01:01] 赶紧去救活
[00:01:01 - 00:01:03] 虽然说黎某减回一条命
[00:01:03 - 00:01:05] 但是也重伤啊
[00:01:05 - 00:01:06] 那问题是
[00:01:06 - 00:01:08] 张某在这个过程当中
[00:01:08 - 00:01:11] 要为黎某烧伤自己来负责吗
[00:01:11 - 00:01:13] 这就是我们本期要讨论的话题
[00:01:26 - 00:01:26] 大家好
[00:01:26 - 00:01:28] 我上学习变得更快乐的张雪峰老师
[00:01:28 - 00:01:29] 欢迎大家收看本期的法律
[00:01:29 - 00:01:30] 其实很好玩
[00:01:30 - 00:01:31] 我们本期请到的嘉宾
[00:01:31 - 00:01:33] 一人是我们研途教育的
[00:01:33 - 00:01:33] 千云老师
[00:01:33 - 00:01:34] 我们的严安侠老师
[00:01:34 - 00:01:35] 严老师跟大家打个招呼
[00:01:35 - 00:01:36] 好
[00:01:36 - 00:01:36] 大家好
[00:01:36 - 00:01:37] 严老师
[00:01:37 - 00:01:39] 你像本案当中
[00:01:39 - 00:01:43] 你说点着自己确实是李某
[00:01:43 - 00:01:44] 但是往他身上
[00:01:45 - 00:01:47] 颇这个汽油的确实是这个
[00:01:47 - 00:01:49] 这个这个制度成性的这个张某
[00:01:49 - 00:01:53] 那张某他这个到底要承担怎样的责任呢
[00:01:53 - 00:01:55] 但是我觉得他应该是有责任的
[00:01:55 - 00:01:56] 但是我不知道如果要判的话
[00:01:56 - 00:02:00] 但是送火罪故意伤害还是什么
[00:02:00 - 00:02:03] 不能说点燃自己的是李某
[00:02:03 - 00:02:05] 李某没有点燃自己
[00:02:05 - 00:02:07] 他这个案子是这样就说
[00:02:07 - 00:02:09] 他这个张某说我成全你
[00:02:09 - 00:02:10] 就给他身上泼了汽油
[00:02:10 - 00:02:12] 李某说好
