BV号：BV12RsoefEof
标题：BV12RsoefEof
链接：https://www.bilibili.com/video/BV12RsoefEof
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-03 08:04:48

[00:00:00 - 00:00:02] 观察到一个非常仔细的事情
[00:00:02 - 00:00:04] 就是我们所谓的装甲车辆工程
[00:00:04 - 00:00:05] 它这种专业
[00:00:05 - 00:00:08] 它属于哪一类专业
[00:00:08 - 00:00:09] 冰气类吧
[00:00:09 - 00:00:10] 对
[00:00:10 - 00:00:11] 它属于冰气类
[00:00:11 - 00:00:12] 家长
[00:00:12 - 00:00:14] 这就是这个点好玩的地方
[00:00:14 - 00:00:16] 你知道冰气类专业
[00:00:16 - 00:00:17] 你自己也看了
[00:00:17 - 00:00:21] 全国有几个学校再招冰气类
[00:00:21 - 00:00:22] 很少
[00:00:22 - 00:00:24] 好像只有重庆海
[00:00:24 - 00:00:25] 对 就很少
[00:00:25 - 00:00:26] 就只有那几个
[00:00:26 - 00:00:28] 原来冰工部的支持员修会去找
[00:00:28 - 00:00:29] 比如重庆理工
[00:00:29 - 00:00:30] 谁要理工啊 中北大学
[00:00:30 - 00:00:31] 只有这种学校回去找
[00:00:31 - 00:00:32] 对吧
[00:00:32 - 00:00:34] 但实际上加长你要知道
[00:00:34 - 00:00:35] 其实你这个专业
[00:00:35 - 00:00:36] 他考研的专业课
[00:00:36 - 00:00:38] 一般都是机械的专业课
[00:00:38 - 00:00:39] 在考研当中
[00:00:39 - 00:00:41] 有一种就是所谓的
[00:00:41 - 00:00:44] 这种思维惯使是什么呢
[00:00:44 - 00:00:45] 我学机械的
[00:00:45 - 00:00:46] 我就考机械
[00:00:46 - 00:00:47] 然后的话
[00:00:47 - 00:00:49] 他就没有人去跟你争这一个
[00:00:49 - 00:00:51] 你懂我的意思吗
[00:00:51 - 00:00:52] 而且兵器类这种专业
[00:00:52 - 00:00:53] 在我们考研当中
[00:00:53 - 00:00:55] 它还是一个什么样的专业
[00:00:55 - 00:00:58] 它还是一个所谓的叫照顾专业
[00:00:58 - 00:00:59] 什么意思呢
[00:00:59 - 00:01:04] 它的分数线总几国家线要比我们的国家线要低10分
[00:01:04 - 00:01:07] 总分低10分单颗低3分
[00:01:07 - 00:01:12] 有很多名校的这种兵器类装甲成了过程这种专业
[00:01:12 - 00:01:14] 在考研究中的时候根本就招不满
[00:01:14 - 00:01:16] 所以说加上我这么跟你说
[00:01:16 - 00:01:18] 你到时候你虽然学了极限
[00:01:18 - 00:01:19] 但是你考研的时候
[00:01:19 - 00:01:21] 你去考兵器类下边的研究生
[00:01:21 - 00:01:23] 而不要考极限类的研究生
[00:01:23 - 00:01:24] 你跟我意思吧
[00:01:24 - 00:01:27] 难道没有你想象的那么大分数线低了
[00:01:27 - 00:01:30] 这个我之前不知道
[00:01:30 - 00:01:34] 冰器类是在研究生阶段
[00:01:34 - 00:01:35] 它是一个独立的专业
[00:01:35 - 00:01:37] 考虑人没有那么多
[00:01:37 - 00:01:37] 然后的话
[00:01:37 - 00:01:39] 大家都在往极限那块具体
[00:01:39 - 00:01:41] 没有人往冰器那块具体
[00:01:41 - 00:01:42] 包括还有一个什么呢
[00:01:42 - 00:01:43] 就是刚才我跟你说的
[00:01:43 - 00:01:44] 那个交通运载工具
[00:01:44 - 00:01:46] 交通运载工具
[00:01:46 - 00:01:48] 这是研究生阶段的一个二级学科
[00:01:48 - 00:01:49] 本科阶段没有一个专业
[00:01:49 - 00:01:51] 叫交通运载工具
[00:01:51 - 00:01:52] 实际上交通工程
[00:01:52 - 00:01:54] 下面的交通运载工具
[00:01:54 - 00:01:56] 考研的专业课都是极限的
[00:01:56 - 00:01:57] 哎呀,各啊
[00:01:58 - 00:01:59] 所以说你会发现
[00:01:59 - 00:02:01] 一个学校就机械的分超级高
[00:02:01 - 00:02:03] 交通运载工具超级低
[00:02:03 - 00:02:05] 就是因为大家都在挤机械
[00:02:05 - 00:02:07] 而没有人来报交通运载工具
[00:02:07 - 00:02:08] 只有交通工程的人在考
[00:02:08 - 00:02:10] 但交通工程有很多学校
[00:02:10 - 00:02:12] 是按照同路那个方向培养的
[00:02:12 - 00:02:15] 不是按照交通运载工具这方面培养的
[00:02:15 - 00:02:17] 这都是可以减的漏字
