BV号：BV12Y411A7Ca
标题：BV12Y411A7Ca
链接：https://www.bilibili.com/video/BV12Y411A7Ca
识别语言：zh
语言置信度：1
分段数：109
生成时间：2026-04-03 19:44:51

[00:00:00 - 00:00:02] 你既然问到了 我给你来说一下我的观点
[00:00:02 - 00:00:05] 地域这一方面的话 看你是学什么专业的
[00:00:05 - 00:00:08] 如果说你要是学文科 地域绝对是最重要
[00:00:08 - 00:00:10] 但如果说你要学理工科的话 不一定
[00:00:10 - 00:00:11] 理工科专业更重要
[00:00:11 - 00:00:12] 为什么
[00:00:12 - 00:00:17] 因为专业会跟你一辈子 学校只可能跟你思念
[00:00:17 - 00:00:23] 专业会跟你一辈子 因为专业是孩子将来工作的一个手段
[00:00:23 - 00:00:26] 是他的技术 是他安心立命的根本
[00:00:26 - 00:00:29] 如果他学的这个专业将来被淘汰了呢
[00:00:29 - 00:00:31] 如果他学的这个专业将来
[00:00:31 - 00:00:32] 惨能降低后来
[00:00:32 - 00:00:34] 后来越来越没有了呢
[00:00:34 - 00:00:35] 那怎么办呢
[00:00:35 - 00:00:36] 你上了个好学校怎么样
[00:00:36 - 00:00:38] 你跳不出这个专业
[00:00:38 - 00:00:40] 你干别的你干不了啊
[00:00:40 - 00:00:41] 你说张老师我选了一个烂专业
[00:00:41 - 00:00:43] 最后我不想干这个了
[00:00:43 - 00:00:45] 那你生生有什么技能呢
[00:00:45 - 00:00:47] 你明明可以有一个更好的技能
[00:00:47 - 00:00:49] 生的在考研阶段上了个更好的学校
[00:00:49 - 00:00:52] 你干嘛你非得要在本科阶段选一个垃圾专业呢
[00:00:52 - 00:00:53] 这个我是不建议的
[00:00:53 - 00:00:55] 所以说有的时候你学了垃圾专业
[00:00:55 - 00:00:56] 你说老师我能考985
[00:00:56 - 00:00:57] 我能保研
[00:00:57 - 00:00:58] 又怎样
[00:00:58 - 00:01:00] 你還是一個垃圾專業啊
[00:01:00 - 00:01:01] 你又怎樣
[00:01:02 - 00:01:03] 我經常會跟家長說
[00:01:03 - 00:01:04] 我說你們這麼選
[00:01:04 - 00:01:05] 因為我這麼跟大家說
[00:01:05 - 00:01:07] 我們在我們報酬院的時候
[00:01:07 - 00:01:08] 我就一點為了什麼
[00:01:08 - 00:01:09] 為了孩子的未來
[00:01:09 - 00:01:11] 就是為了孩子的未來
[00:01:11 - 00:01:11] 你這個分
[00:01:11 - 00:01:12] 假如說你考了600分
[00:01:12 - 00:01:15] 我一定讓你在你同學當中
[00:01:15 - 00:01:17] 600分的孩子有10個
[00:01:17 - 00:01:18] 在我們這邊報酬院的
[00:01:18 - 00:01:20] 我一定讓你在本科畢業以後
[00:01:20 - 00:01:21] 在你30歲的時候
[00:01:21 - 00:01:23] 在你40歲的時候
[00:01:23 - 00:01:24] 同樣600分的孩子
[00:01:24 - 00:01:26] 你看我們的孩子是什麼樣
[00:01:26 - 00:01:28] 他們的孩子是什麼樣
[00:01:28 - 00:01:30] 这就是我们报考思路和理念的不同
[00:01:30 - 00:01:33] 所以说的话我个人觉得理工科专业更重要
[00:01:33 - 00:01:36] 选一个好专业比选所谓的好学校更重要
[00:01:36 - 00:01:38] 也还是那句话各位家长
[00:01:38 - 00:01:40] 专业跟我们一辈子
[00:01:41 - 00:01:43] 我建议把这句话打在公平上
[00:01:43 - 00:01:45] 真的专业跟我们一辈子
[00:01:45 - 00:01:48] 这是我们孩子将来安身立命的根本
[00:01:49 - 00:01:50] 也就是首先看专业
[00:01:50 - 00:01:51] 理工科看专业
[00:01:51 - 00:01:54] 文科先看学校
[00:01:54 - 00:01:55] 但是文科也得看专业
[00:01:55 - 00:01:56] 因为文科分离西安的想干啥
[00:01:56 - 00:01:59] 比如说文科刚才有很多家长问文科
[00:01:59 - 00:02:01] 比如说很多家长给我反应说张老师公务员
[00:02:01 - 00:02:02] 公务员
[00:02:02 - 00:02:03] 老师我还在想要当公务员
[00:02:03 - 00:02:05] 还想让自己还在当公务员的拍个衣
[00:02:05 - 00:02:06] 我看一下
[00:02:06 - 00:02:07] 有多少孩子想要当公务员
[00:02:07 - 00:02:08] 想要当公务员的话
[00:02:08 - 00:02:08] 我告诉你
[00:02:08 - 00:02:10] 在别的地方我不太了解
[00:02:10 - 00:02:12] 在我们江苏省
[00:02:12 - 00:02:14] 因为我们公司
[00:02:14 - 00:02:16] 我们五楼是我们志愿田报公司
[00:02:16 - 00:02:18] 如果说到时候你有机会带孩子过来参观的话
[00:02:18 - 00:02:19] 我们五楼是志愿田报公司
[00:02:19 - 00:02:21] 二楼是我们的考研公司
[00:02:21 - 00:02:23] 我们考研公司有考研还有公务员
[00:02:23 - 00:02:26] 我问了一下我们公务员的副德老师
[00:02:26 - 00:02:27] 我说江苏省公务员
[00:02:27 - 00:02:29] 包括这个我们苏州市公务员
