BV号：BV12e411S7uf
标题：BV12e411S7uf
链接：https://www.bilibili.com/video/BV12e411S7uf
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 12:52:32

[00:00:00 - 00:00:01] 你应该知道
[00:00:01 - 00:00:03] 你要抱这个学校的某一个专业
[00:00:03 - 00:00:04] 它是一万位
[00:00:04 - 00:00:06] 你不得有个九千位
[00:00:06 - 00:00:06] 对吧
[00:00:06 - 00:00:08] 你差不多你敢试一试
[00:00:08 - 00:00:10] 或者是九千五一千
[00:00:10 - 00:00:10] 你试一试
[00:00:10 - 00:00:12] 你九千九它一万位
[00:00:12 - 00:00:14] 你抱起来你都心里边有点
[00:00:14 - 00:00:15] 有点干颤颤的对吧
[00:00:15 - 00:00:18] 也就但是这个组的最低位置
[00:00:18 - 00:00:19] 可不是一万位
[00:00:19 - 00:00:20] 这个组的最低位置
[00:00:20 - 00:00:22] 可能是一万七或者一万五
[00:00:22 - 00:00:25] 所以说你一定会尽大
[00:00:25 - 00:00:26] 对不对
[00:00:26 - 00:00:27] 你九千位
[00:00:27 - 00:00:30] 9500位抱一个组分
[00:00:30 - 00:00:32] 最低是15000位的
[00:00:32 - 00:00:34] 你一定会进党
[00:00:34 - 00:00:35] 对不对
[00:00:35 - 00:00:35] 各位家长想想
[00:00:35 - 00:00:36] 是不是这样
[00:00:36 - 00:00:38] 那么你既然进了党了
[00:00:38 - 00:00:40] 就只有两种结果
[00:00:40 - 00:00:42] 一种叫做被陆取
[00:00:42 - 00:00:44] 一种叫做被退党
[00:00:44 - 00:00:45] 对吧
[00:00:45 - 00:00:46] 你只要进了党了
[00:00:46 - 00:00:48] 你又么被陆取
[00:00:48 - 00:00:49] 又么被退党
[00:00:49 - 00:00:53] 但是你肯定会偏服从条计
[00:00:53 - 00:00:55] 所以说你不会被退党的
[00:00:55 - 00:00:58] 你肯定会被这个组录取
[00:00:58 - 00:01:00] 无非是哪个专业而已
[00:01:00 - 00:01:03] 所以说如果你要某专业正常情况下
[00:01:03 - 00:01:05] 你一定会被第一支院录取
[00:01:05 - 00:01:06] 理解了吗
