BV号：BV12h4y197ez
标题：BV12h4y197ez
链接：https://www.bilibili.com/video/BV12h4y197ez
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-03 15:17:47

[00:00:00 - 00:00:02] 大家好 我上學習變得更快樂的張雪鋒老師
[00:00:02 - 00:00:04] 那麼高考已經結束了
[00:00:04 - 00:00:05] 證明天報也要開始了
[00:00:05 - 00:00:06] 你選好學校了嗎
[00:00:06 - 00:00:08] 還沒有什麼想法的也別著急
[00:00:08 - 00:00:10] 張老師今天要給大家推薦一所學校
[00:00:10 - 00:00:11] 就是北京師友畫工學院
[00:00:11 - 00:00:12] 簡稱《北石畫》
[00:00:12 - 00:00:15] 別看《北石畫》1978年才建立
[00:00:15 - 00:00:17] 但是人家來頭可是不曉得
[00:00:17 - 00:00:20] 2000年以前都是中國石畫集團職管
[00:00:20 - 00:00:22] 之後才化轉到北京市
[00:00:22 - 00:00:23] 所以說與中國石畫
[00:00:23 - 00:00:25] 乃至三統流的關係一直都很密切
[00:00:25 - 00:00:27] 在條件設施實質隊伍上
[00:00:27 - 00:00:29] 有什麼優勢就不用我多說了
[00:00:29 - 00:00:32] 那么虽然说北石化名字叫做学院
[00:00:32 - 00:00:35] 但是它可是正是八经的公办本科
[00:00:35 - 00:00:37] 而且在本科专业实力这一块
[00:00:37 - 00:00:40] 跟一些大学相比可是一点都不弱
[00:00:40 - 00:00:43] 北京市及国家级的一流本科专业数量
[00:00:43 - 00:00:46] 占到整个招生专业总数的80%以上
[00:00:46 - 00:00:49] 有七个工科专业通过了工程教育专业认证
[00:00:49 - 00:00:53] 这些专业的学位在美英等华盛顿学义成员国家呢
[00:00:53 - 00:00:56] 都是忽认的基本上属于全球通行
[00:00:56 - 00:00:59] 北石化有一个博士后科研工作站
[00:00:59 - 00:01:01] 13个硕士授予点
[00:01:01 - 00:01:04] 研究方向涵盖了全部本科招生专业
[00:01:04 - 00:01:07] 想要深造完全能够无缝先机
[00:01:07 - 00:01:10] 这一点上要强过不少同层次的高手
[00:01:10 - 00:01:13] 北石化的本科培养采用学分制和弹性学制
[00:01:13 - 00:01:15] 最短三年最长八年
[00:01:15 - 00:01:17] 不管是想提前毕业的
[00:01:17 - 00:01:18] 还是说想去自主创业
[00:01:18 - 00:01:20] 参军入伍的都不影响
[00:01:20 - 00:01:23] 林蒙凯转业的制度已经快实行了20年
[00:01:23 - 00:01:26] 每年有九成以上的申请者都能够转入新的专业
[00:01:26 - 00:01:27] 所以说
[00:01:27 - 00:01:29] 就算一開始入學的專業自己不太喜歡
[00:01:29 - 00:01:32] 進校之後再趕你也來得及
[00:01:32 - 00:01:33] 還有一點非常值得關注的是
[00:01:33 - 00:01:37] 北石化有本科雙培計劃招生項目
[00:01:37 - 00:01:38] 進入到這個項目以後
[00:01:38 - 00:01:42] 四年裡有三年都是在北中的雙一流高校學習
[00:01:42 - 00:01:43] 絕對的物超所值
[00:01:43 - 00:01:46] 此外北石化還有志遠新工科
[00:01:46 - 00:01:48] ACCA中法工程師等實驗班
[00:01:48 - 00:01:52] 中法工程師班可以免試讀法國的
[00:01:52 - 00:01:54] 知名工程師學校的碩士
[00:01:54 - 00:01:57] 而且学校每年都有本科生去国外访学
[00:01:57 - 00:02:00] 国际平台方面也比较全面和高端
[00:02:00 - 00:02:02] 北京地区的高校在很多方面都有天然优势
[00:02:02 - 00:02:04] 尤其是就业
[00:02:04 - 00:02:06] 中国实话集团这类单位就不用多说了
[00:02:06 - 00:02:07] 像中芯国际
[00:02:07 - 00:02:08] 科兴生物
[00:02:08 - 00:02:09] 北京电力
[00:02:09 - 00:02:10] 北京地铁这种大企业
[00:02:10 - 00:02:12] 每年也都会来北石化小州
[00:02:12 - 00:02:14] 到其他向政府机关
[00:02:14 - 00:02:14] 事业单位
[00:02:14 - 00:02:17] 高薪企业就业的同学也不再少数
[00:02:17 - 00:02:20] 毕业生80%以上都是在北京工作的
[00:02:20 - 00:02:22] 因为北石化是北京世俗高校中
[00:02:22 - 00:02:25] 工科半學實力突出的學校第一
[00:02:25 - 00:02:28] 就業率這幾年的一直保持在95%以上
[00:02:28 - 00:02:30] 位居世屬高校的潛力
[00:02:30 - 00:02:31] 第三方調查數據顯示
[00:02:31 - 00:02:33] 前幾屆畢業生的新酬
[00:02:33 - 00:02:37] 土變高出同類高校20%到30%左右
[00:02:37 - 00:02:38] 本科招生分數不是很高
[00:02:38 - 00:02:41] 但排氧質量有保障性價比非常高
[00:02:41 - 00:02:44] 這麼一所低調內臉的實力派保障學校
[00:02:44 - 00:02:47] 有意向的考生科家長可千萬別錯過了
