BV号：BV12kL2zNEQP
标题：BV12kL2zNEQP
链接：https://www.bilibili.com/video/BV12kL2zNEQP
识别语言：zh
语言置信度：1
分段数：134
生成时间：2026-04-03 05:06:20

[00:00:00 - 00:00:01] 你要问的是
[00:00:01 - 00:00:03] 如果我要来江苏发展的话
[00:00:03 - 00:00:04] 要不要报江苏的学校
[00:00:04 - 00:00:05] 是这个问题吗
[00:00:05 - 00:00:06] 对
[00:00:06 - 00:00:06] 来
[00:00:06 - 00:00:08] 就是我已经现在某定一个地方了
[00:00:08 - 00:00:09] 然后的话我先来问一下
[00:00:09 - 00:00:11] 我要不要在这个地区去上学
[00:00:11 - 00:00:13] 对于我这个就业的低于性影响有多大
[00:00:13 - 00:00:15] 这是很多家长可能会问的问题
[00:00:15 - 00:00:17] 那么我从两个位置去回答这个问题
[00:00:17 - 00:00:18] 首先第一个位置
[00:00:18 - 00:00:19] 就是就业低于性的问题
[00:00:19 - 00:00:20] 你在哪上学
[00:00:20 - 00:00:22] 是不是一定在哪就业
[00:00:22 - 00:00:23] 看你要报什么样的专业
[00:00:23 - 00:00:24] 什么样的专业
[00:00:24 - 00:00:25] 在哪上学
[00:00:25 - 00:00:26] 在哪就业的可能性大呢
[00:00:26 - 00:00:27] 大家注意一下几点
[00:00:27 - 00:00:28] 首先第一
[00:00:28 - 00:00:28] 文科
[00:00:28 - 00:00:31] 文科在哪上學在哪就業的可能性是非常大的
[00:00:31 - 00:00:34] 所以說文科一定要種地獄
[00:00:34 - 00:00:36] 比如說我給大家舉一個簡單的例子
[00:00:36 - 00:00:38] 在中低分速段文科報職院
[00:00:38 - 00:00:40] 如果我去報的話
[00:00:40 - 00:00:42] 我很有可能給他幹一個事
[00:00:42 - 00:00:44] 我寧可報好地區的民辦
[00:00:44 - 00:00:46] 我也不報普通地區的工辦
[00:00:46 - 00:00:46] 為什麼
[00:00:46 - 00:00:49] 因為文科就業是非常持經濟的發展的
[00:00:49 - 00:00:50] 你當地經濟發展好
[00:00:50 - 00:00:51] 企業多
[00:00:51 - 00:00:53] 對於文科專業需求量才會大
[00:00:53 - 00:00:55] 你當地經濟發展不好
[00:00:55 - 00:00:56] 經濟好的地方的人
[00:00:56 - 00:00:57] 它在招聘的时候
[00:00:57 - 00:00:59] 它不会去往外地跑的
[00:00:59 - 00:01:01] 除非说你外地的那某个文科
[00:01:01 - 00:01:02] 超级牛逼
[00:01:02 - 00:01:04] 你要逼到没你就不行
[00:01:04 - 00:01:06] 但是你想想文科的岗有接通岗吗
[00:01:06 - 00:01:07] 我一定要到外地去找
[00:01:07 - 00:01:08] 没有你就不行
