BV号：BV12y4y1S7oV
标题：BV12y4y1S7oV
链接：https://www.bilibili.com/video/BV12y4y1S7oV
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-04 01:09:26

[00:00:00 - 00:00:02] 大家好 我是B站考研上岸谈的张雪峰老师
[00:00:02 - 00:00:06] 那么临近考试很多同学心态可能就有点崩了
[00:00:06 - 00:00:09] 那么咱们本期视频聊一聊有关考研的心态调整
[00:00:09 - 00:00:11] 以及作息的安排
[00:00:11 - 00:00:12] 很多同学们很着急
[00:00:12 - 00:00:14] 说政治背了就忘了怎么办
[00:00:14 - 00:00:16] 说回考场上解不出来怎么办
[00:00:16 - 00:00:18] 是不是自己就没有劲了
[00:00:18 - 00:00:20] 其实现在距离考研还有一多多的时间
[00:00:20 - 00:00:21] 足以解决很多问题了
[00:00:21 - 00:00:23] 第一就是你要相信
[00:00:23 - 00:00:24] 你现在暴露的问题越多
[00:00:24 - 00:00:27] 说明上半天他还是想帮你的
[00:00:27 - 00:00:28] 还是想让你上岸的
[00:00:28 - 00:00:30] 老天啊 已经让你知道了
[00:00:30 - 00:00:32] 你现在哪些地方是比较薄弱的
[00:00:32 - 00:00:34] 如果说你依旧自暴自弃的话
[00:00:34 - 00:00:35] 那你就挡着凉凉吧
[00:00:35 - 00:00:37] 第二呢 就是如果你真的感觉到自己很累
[00:00:37 - 00:00:40] 那就稍微给自己放一个小架
[00:00:40 - 00:00:41] 好好地睡一觉
[00:00:41 - 00:00:43] 因为你的身体它也想休息休息
[00:00:43 - 00:00:45] 不要反人类的让它一直工作
[00:00:45 - 00:00:47] 好好调整自己
[00:00:47 - 00:00:49] 就不比干招集有用的多嘛
[00:00:49 - 00:00:50] 在这里大家要明白
[00:00:50 - 00:00:51] 熬夜是大计
[00:00:51 - 00:00:54] 它出事啊 它毕竟不是在晚上
[00:00:54 - 00:00:56] 有些人把自己的生物中都给调整乱了
[00:00:56 - 00:00:58] 白天也没有精神
[00:00:58 - 00:01:00] 晚上腹氣效率就絕對有點高
[00:01:00 - 00:01:02] 這會影響你的發揮的
[00:01:02 - 00:01:05] 應該你把最好的狀態留在白天你考試的時間
[00:01:05 - 00:01:08] 一般來說每個人有適合自己的生活習慣
[00:01:08 - 00:01:11] 對於平時習慣晚睡晚起的同學來講
[00:01:11 - 00:01:14] 應該要注意調整一下你的做習時間了
[00:01:14 - 00:01:18] 最好是按照考試的時間安排來逐漸的調整自己的生活中
[00:01:18 - 00:01:21] 希望大家最後的階段不要無故的熬夜
[00:01:21 - 00:01:23] 不要亂感動自己
[00:01:23 - 00:01:25] 那麼更不要熬過多的雞湯
[00:01:25 - 00:01:28] 最後祝大家考驗加油,一戰成縮!
[00:01:28 - 00:01:28] 衝!
