BV号：BV13J411c7jU
标题：BV13J411c7jU
链接：https://www.bilibili.com/video/BV13J411c7jU
识别语言：zh
语言置信度：1
分段数：397
生成时间：2026-04-04 06:41:26

[00:00:02 - 00:00:05] 空姐和季儿组织下的组织可成见了
[00:00:05 - 00:00:08] 年薪百万或者是两百万
[00:00:08 - 00:00:09] 这个都是有可能的
[00:00:09 - 00:00:12] 高速摄、白富美都有个共同字
[00:00:12 - 00:00:13] 富
[00:00:13 - 00:00:15] 你爱人是空虫吗
[00:00:15 - 00:00:16] 不是
[00:00:16 - 00:00:19] 他是我在世纪家园上认识的
[00:00:19 - 00:00:20] 季长你吃饭了吗
[00:00:20 - 00:00:21] 啊
[00:00:21 - 00:00:22] 这点二号吗
[00:00:22 - 00:00:23] 这么几个时间的吗
[00:00:23 - 00:00:26] 连这说的是那种就是内心的养生
[00:00:33 - 00:00:34] 大家好
[00:00:34 - 00:00:36] 欢迎收看小型逗逼脱口秀大开眼界
[00:00:36 - 00:00:39] 我是让学习变得更快乐的张雪峰老师
[00:00:39 - 00:00:42] 我们本期请到的嘉宾依然是我们两位飞行大人
[00:00:42 - 00:00:45] 因为是我们的机长王思淳老师
[00:00:45 - 00:00:46] 王老师大给大家招呼
[00:00:46 - 00:00:47] 哈喽 大家好
[00:00:47 - 00:00:50] 另外因为的是我们美丽的空姐李飞鱼老师
[00:00:50 - 00:00:51] 李老师
[00:00:51 - 00:00:53] 哈喽 大家好 我是李飞鱼
[00:00:53 - 00:00:55] 就是我在做飞机的时候
[00:00:55 - 00:00:59] 我经常看到机场空姐排成一排
[00:01:00 - 00:01:03] 很有气势的就从我们政客身边说过去了
[00:01:03 - 00:01:04] 然后的话呢
[00:01:04 - 00:01:06] 呃李老师跟我说
[00:01:06 - 00:01:09] 说那个这个机长啊和空姐有的时候我们
[00:01:09 - 00:01:10] 不怎么见面的对不对
[00:01:10 - 00:01:11] 以后呢大家飞的是不同的航班
[00:01:11 - 00:01:12] 这个航班过去有一会
[00:01:12 - 00:01:15] 十年都见不着你的原话对不对
[00:01:15 - 00:01:19] 哎那你们眼中的相互是什么样的一种感觉呢
[00:01:19 - 00:01:21] 比如说机长也能空解空姐的机长
[00:01:21 - 00:01:24] 是那种心爱相差还是说啊
[00:01:24 - 00:01:26] 那个感情啊什么的
[00:01:28 - 00:01:30] 还是分人吧啊还是分人吧
[00:01:30 - 00:01:32] 那你要面对这种是心爱相差
[00:01:32 - 00:01:33] 还是有点感情
[00:01:33 - 00:01:34] 哎哎哎
[00:01:34 - 00:01:36] 哈哈哈哈
[00:01:36 - 00:01:38] 你说机长都行吧
[00:01:38 - 00:01:40] 机长像这样的专业态度很
[00:01:40 - 00:01:42] 很有专业态度的机长
[00:01:42 - 00:01:44] 那肯定是养世
[00:01:44 - 00:01:45] 养世是吧
[00:01:45 - 00:01:46] 就动作动作
[00:01:46 - 00:01:47] 你哥比我高啊
[00:01:47 - 00:01:49] 那我下次趁低一点
[00:01:49 - 00:01:52] 人家说的是那种就是内心的养世对不对
[00:01:52 - 00:01:55] 像这种机长动不动自己要学十大词
[00:01:55 - 00:01:56] 然后机场就体验一下
[00:01:56 - 00:01:57] 这种机长
[00:01:57 - 00:01:59] 勾谁谁都别养世
[00:01:59 - 00:02:00] 对很专业
[00:02:00 - 00:02:04] 那就说明那遇到那种所谓不得已的机长
[00:02:04 - 00:02:05] 你就
[00:02:05 - 00:02:06] 我相信明航没有这样的机长
[00:02:06 - 00:02:09] 应该在一开始都给他们pass掉了吧
[00:02:09 - 00:02:10] 哦
[00:02:10 - 00:02:14] 就是说还是还是觉得对机长还是比较最近
[00:02:14 - 00:02:16] 只能说这是两个部门
[00:02:16 - 00:02:17] 这是两个部门
[00:02:17 - 00:02:21] 然后外界看来机长穿上之服都特别特别帅
[00:02:21 - 00:02:23] 但其实私底下呢
[00:02:23 - 00:02:24] 他们是不怎么打扮的
[00:02:24 - 00:02:25] 哦
[00:02:25 - 00:02:27] 我以为私底下都长得不太近
[00:02:27 - 00:02:28] 哈哈哈哈
[00:02:28 - 00:02:32] 基本上是不怎么打扮的
[00:02:32 - 00:02:33] 而且你知道
[00:02:33 - 00:02:36] 他们学这个专业基本上都是功课男吗
[00:02:36 - 00:02:39] 理工男的职男的状态就是那种状态吗
[00:02:39 - 00:02:42] 那既然有什么成功呢
[00:02:42 - 00:02:46] 对他们可能更多的是一种感谢吧
[00:02:46 - 00:02:51] 因为是让他们在外面去真正的给乘客去提供一些服务
[00:02:51 - 00:02:52] 而且真的有什么事的时候
[00:02:52 - 00:02:54] 也是他们直接去面对乘客
[00:02:54 - 00:02:57] 给我们一个比较相对一个集中的经历
[00:02:57 - 00:03:00] 能够去做好我们的本质工作
[00:03:00 - 00:03:01] 所以这点来说呢
[00:03:01 - 00:03:05] 其实就是每一次飞行安全的飞行
[00:03:05 - 00:03:08] 这个是由他们作为这个最基础的一个保障了
[00:03:08 - 00:03:09] 哎呦
[00:03:09 - 00:03:09] 你看他啊
[00:03:09 - 00:03:10] 这人啊
[00:03:10 - 00:03:11] 面对镜头啊
[00:03:11 - 00:03:12] 有的时候说话啊
[00:03:12 - 00:03:13] 高度就不一样
[00:03:13 - 00:03:13] 对吧
[00:03:13 - 00:03:14] 这高度就不一样
[00:03:14 - 00:03:15] 天死死几下
[00:03:15 - 00:03:16] 那你到底怎么回事
[00:03:16 - 00:03:18] 那你这倒我信了
[00:03:18 - 00:03:19] 这倒我信了
[00:03:19 - 00:03:21] 然后我小分一下就是
[00:03:21 - 00:03:25] 是不是在机长在选择配偶的时候
[00:03:25 - 00:03:27] 找老婆的时候找空姐多
[00:03:27 - 00:03:30] 或者说这个在名行里边
[00:03:30 - 00:03:32] 空姐和机长的组成家
[00:03:32 - 00:03:33] 选择机子很常见吗
[00:03:33 - 00:03:35] 还是挺常见的
[00:03:35 - 00:03:35] 很常见
[00:03:35 - 00:03:37] 因为这个圈子太小了
[00:03:37 - 00:03:39] 我们这是不了别的人
[00:03:39 - 00:03:41] 然后刚好有一个部门都是男的
[00:03:41 - 00:03:41] 又有一个部门
[00:03:41 - 00:03:43] 刚好基本上都是女的
[00:03:44 - 00:03:45] 就内部消化了
[00:03:45 - 00:03:47] 男部门可不都是女的
[00:03:47 - 00:03:49] 我见过空城市男的
[00:03:49 - 00:03:50] 那我们还有一句话
[00:03:50 - 00:03:51] 那就是先辈小化
[00:03:51 - 00:03:52] 对
[00:03:54 - 00:03:57] 哎这也挺好哎
[00:03:57 - 00:03:58] 这这这这新一份工作
[00:03:58 - 00:04:00] 玩然后还包吩咚朋友女朋友
[00:04:00 - 00:04:01] 关键男的长的帅女
[00:04:01 - 00:04:02] 对上他也漂亮
[00:04:02 - 00:04:04] 哎这工作真不错哎
[00:04:04 - 00:04:05] 那有没有就是说
[00:04:05 - 00:04:07] 在你就是在你们的飞行过程当中
[00:04:07 - 00:04:09] 有没有就是你们遇到的
[00:04:09 - 00:04:11] 知道的就是在天上
[00:04:11 - 00:04:12] 一边
[00:04:12 - 00:04:14] 执行任务一边谈恋爱的
[00:04:15 - 00:04:17] 我们公司是
[00:04:17 - 00:04:19] 就是如果他们两个都是称务员的话
[00:04:19 - 00:04:21] 是可以放低费国际的
[00:04:21 - 00:04:23] 哇 但是比较人性化的东西
[00:04:23 - 00:04:25] 对 这个真的很浪漫
[00:04:25 - 00:04:27] 因为有的时候有一些情理就是说
[00:04:27 - 00:04:30] 有一些就是我经常不理解
[00:04:30 - 00:04:32] 咱不是说什么部分
[00:04:32 - 00:04:34] 我经常不理解
[00:04:34 - 00:04:35] 就是经常我们在电视上看到说
[00:04:35 - 00:04:36] 什么过年过节的时候
[00:04:36 - 00:04:37] 然后的话说
[00:04:37 - 00:04:40] 这个人是一个服务员
[00:04:40 - 00:04:41] 那个人是服务员
[00:04:41 - 00:04:43] 然后的话可能在某一个点
[00:04:43 - 00:04:43] 错开了
[00:04:43 - 00:04:45] 对吧 错开也好
[00:04:45 - 00:04:46] 或者说是见那么几分钟也好
[00:04:46 - 00:04:49] 我真的觉得挺不人性化的
[00:04:49 - 00:04:51] 来这个话我发现这个名堂就放在房间
[00:04:51 - 00:04:52] 还真的很不错
[00:04:52 - 00:04:57] 因为我们基本上你像我飞了小十年
[00:04:57 - 00:04:59] 基本上每一年的过年都在外地
[00:04:59 - 00:05:02] 所以都是跟同事像家人一样过的
[00:05:02 - 00:05:05] 如果他们有一个就是他的爱人
[00:05:05 - 00:05:07] 一起在这个组里面的话真的挺好
[00:05:07 - 00:05:10] 我想问一下你老公是机长吗
[00:05:10 - 00:05:12] 你老公是机长
[00:05:12 - 00:05:17] 然后的话你在你们公司里边谈过前男友吗
[00:05:17 - 00:05:18] 没有
[00:05:18 - 00:05:19] 没有
[00:05:19 - 00:05:21] 那你这个技巧也没有看过这个
[00:05:21 - 00:05:22] 没有
[00:05:22 - 00:05:23] 也没有说吧
[00:05:23 - 00:05:25] 王老师
[00:05:25 - 00:05:27] 你爱人是空虫吗
[00:05:27 - 00:05:28] 不是
[00:05:28 - 00:05:31] 他是我在世纪家园上认识的
[00:05:31 - 00:05:32] 啊
[00:05:32 - 00:05:33] 有滚过费吗
