BV号：BV13i9iYYEzS
标题：BV13i9iYYEzS
链接：https://www.bilibili.com/video/BV13i9iYYEzS
识别语言：zh
语言置信度：1
分段数：54
生成时间：2026-04-03 05:45:37

[00:00:00 - 00:00:02] 我们直播间价占可能会经常有的一个疑问
[00:00:02 - 00:00:03] 我物理七十多分
[00:00:03 - 00:00:05] 我能不能学明白电的信息这个事
[00:00:05 - 00:00:07] 我给大家解释一下
[00:00:07 - 00:00:09] 物理七十多分能不能学明白电的信息呢
[00:00:09 - 00:00:11] 两个方面去看
[00:00:11 - 00:00:12] 第一个方面
[00:00:12 - 00:00:14] 你看一下你的物理当中
[00:00:14 - 00:00:17] 你的力学和电学得分有没有倾向
[00:00:17 - 00:00:19] 因为有的孩子是属于力学学的很好
[00:00:19 - 00:00:20] 运动学学的很好
[00:00:20 - 00:00:22] 但是电学学的一般
[00:00:22 - 00:00:24] 有些孩子是属于电学学的很好
[00:00:24 - 00:00:26] 力学和运动学学的一般
[00:00:26 - 00:00:27] 如果说你七十多分
[00:00:27 - 00:00:29] 你的电学几乎不扣分
[00:00:29 - 00:00:30] 力学扣分比较多的话
[00:00:30 - 00:00:32] 那你没有问题
[00:00:32 - 00:00:34] 但如果说你是力学几乎不扣分
[00:00:34 - 00:00:35] 电学扣分比较多
[00:00:35 - 00:00:36] 那你就要小心一点
[00:00:36 - 00:00:37] 这是第一点
[00:00:37 - 00:00:38] 看你的立核电
[00:00:38 - 00:00:39] 学的有没有倾向
[00:00:39 - 00:00:40] 这是第一点
[00:00:40 - 00:00:41] 第二点
[00:00:41 - 00:00:43] 如果说老师我立核电比较平均的话
[00:00:43 - 00:00:45] 那你就要问下一个问题
[00:00:45 - 00:00:47] 因为有些孩子是属于什么
[00:00:47 - 00:00:50] 有些孩子是属于他提没时间做
[00:00:50 - 00:00:51] 他做不完
[00:00:51 - 00:00:53] 你如果我的考试
[00:00:53 - 00:00:55] 我给你延长一个小时
[00:00:55 - 00:00:58] 我让你有充分的时间做思考
[00:00:58 - 00:01:00] 充分的时间做检查
[00:01:00 - 00:01:02] 你的物理电血部分
[00:01:02 - 00:01:03] 会不会得更高的分数
[00:01:03 - 00:01:05] 如果说我给你一个小时
[00:01:05 - 00:01:06] 延长一个小时
[00:01:06 - 00:01:08] 你的分数能考得更高
[00:01:08 - 00:01:10] 就代表着你是有空间的
[00:01:10 - 00:01:11] 如果说我现在说给孩子说
[00:01:11 - 00:01:13] 孩子我现在给你延长一个小时
[00:01:13 - 00:01:13] 考试时间
[00:01:13 - 00:01:15] 你能不能考90
[00:01:15 - 00:01:15] 咱们家孩子说
[00:01:15 - 00:01:16] 没问题
[00:01:16 - 00:01:17] 我前面马虎个题
[00:01:17 - 00:01:19] 我给他有时间检查出来
[00:01:19 - 00:01:20] 我后边那个难题
[00:01:20 - 00:01:21] 我有时间给他扣出来
[00:01:21 - 00:01:22] 我物理能考90
[00:01:22 - 00:01:23] 那你就能学名
[00:01:23 - 00:01:24] 漂亮吗
