BV号：BV13msoevEJ2
标题：BV13msoevEJ2
链接：https://www.bilibili.com/video/BV13msoevEJ2
识别语言：zh
语言置信度：1
分段数：95
生成时间：2026-04-03 08:08:02

[00:00:00 - 00:00:01] 家长是这样子的
[00:00:01 - 00:00:03] 文科抱转相对稍微简单一些
[00:00:03 - 00:00:04] 就唯一的一个问题就是
[00:00:04 - 00:00:07] 你要不要给孩子保留一个考工的机会
[00:00:07 - 00:00:09] 这个的话他说他可以
[00:00:09 - 00:00:10] 他可以考虑
[00:00:10 - 00:00:13] 不是可以考虑家长是要还是不要
[00:00:13 - 00:00:15] 家长我这么跟你说
[00:00:15 - 00:00:16] 文科专业有很多
[00:00:16 - 00:00:19] 旅游管理跟会计学
[00:00:19 - 00:00:22] 他考工的难度是完全不是一个级别
[00:00:22 - 00:00:24] 因为为什么不是一个级别
[00:00:24 - 00:00:26] 因为考工他只要求专业
[00:00:26 - 00:00:26] 不要求院校
[00:00:26 - 00:00:27] 家长我这么说
[00:00:27 - 00:00:29] 会计这个专业为什么说
[00:00:29 - 00:00:31] 口供相对会容易一些
[00:00:31 - 00:00:33] 大家注意我没说快捷口供容易
[00:00:33 - 00:00:35] 我说的是相对旅游管理容易一些
[00:00:35 - 00:00:36] 为什么
[00:00:36 - 00:00:41] 因为这个专业每一个单位都要教育局要不要
[00:00:41 - 00:00:42] 教育局要不要快捷
[00:00:42 - 00:00:43] 教育局也要快捷
[00:00:43 - 00:00:44] 他又才无可安
[00:00:44 - 00:00:45] 对吧
[00:00:45 - 00:00:46] 教育局要不要快捷
[00:00:46 - 00:00:47] 要快捷
[00:00:47 - 00:00:48] 劳动局要不要快捷
[00:00:48 - 00:00:48] 要快捷
[00:00:48 - 00:00:50] 农业局要不要快捷
[00:00:50 - 00:00:51] 要快捷
[00:00:51 - 00:00:52] 环保局要不要快捷
[00:00:52 - 00:00:53] 要快捷
[00:00:53 - 00:00:57] 你说老实我们县农业局今年不招快捷
[00:00:57 - 00:00:58] 工业局不招没关系啊
[00:00:59 - 00:01:01] 你们看看财政局招不招
[00:01:01 - 00:01:03] 事务局招不招
[00:01:03 - 00:01:04] 教育局招不招
[00:01:04 - 00:01:05] 成规局招不招
[00:01:05 - 00:01:07] 交通局招不招
[00:01:07 - 00:01:09] 反正总有一个局体招会计的
[00:01:10 - 00:01:11] 但是你旅游管理
[00:01:11 - 00:01:12] 你考公务员
[00:01:12 - 00:01:14] 你只能考一个对口单位
[00:01:14 - 00:01:15] 叫做文理局
[00:01:15 - 00:01:18] 文理局如果不招旅游管理
[00:01:18 - 00:01:19] 那你旅游管理考公务员
[00:01:19 - 00:01:21] 你考什么
[00:01:21 - 00:01:22] 你只能考三不限
[00:01:22 - 00:01:24] 三不限竞争压力大不大
[00:01:24 - 00:01:25] 是非常大的
[00:01:25 - 00:01:26] 所以说我刚才跟你说
[00:01:26 - 00:01:30] 我说你要不要给孩子保留一个大概率去口工的机会
[00:01:30 - 00:01:33] 就是说你要不要去所谓的毛法学财困汉语言
[00:01:33 - 00:01:35] 因为法学财困汉语言在口工员的时候
[00:01:35 - 00:01:36] 确实是大专业
[00:01:36 - 00:01:39] 其他的文科专业相对于这三个专业来讲
[00:01:39 - 00:01:40] 确实是小专业
[00:01:40 - 00:01:43] 那就相当于你要不要毛这三个专业
[00:01:43 - 00:01:45] 如果你毛这三个专业
[00:01:45 - 00:01:47] 那你就笨着这三个专业去
[00:01:47 - 00:01:50] 如果说张老师我不毛这三个专业
[00:01:50 - 00:01:51] 张老师我不想口工员
[00:01:51 - 00:01:55] 我将来其实是大概率希望在社会上去工作的
[00:01:55 - 00:01:57] 我不一定非得说这要考公园
[00:01:58 - 00:02:00] 尤其是我大概率不考公园
[00:02:00 - 00:02:02] 我还是希望将来到社会上去工作的
[00:02:02 - 00:02:03] 那应该冒什么
[00:02:03 - 00:02:05] 大家注意应该冒城市
[00:02:05 - 00:02:07] 而不是冒学校
[00:02:07 - 00:02:08] 因为你文科类的专业
[00:02:08 - 00:02:09] 别管是旅游管理
[00:02:09 - 00:02:11] 还是什么其他所有的东西
[00:02:11 - 00:02:12] 越好的城市
[00:02:12 - 00:02:14] 经济越好的城市
[00:02:15 - 00:02:18] 我们文科类专业就业的空间就越大
[00:02:18 - 00:02:19] 大家能理解吗
[00:02:19 - 00:02:20] 理解口理解
[00:02:20 - 00:02:22] 经济越好的城市
[00:02:22 - 00:02:24] 文科专业就业的空间越大
[00:02:24 - 00:02:28] 而经济不好的城市文科专业就业空间就越小
[00:02:29 - 00:02:30] 我给你举个例子
[00:02:30 - 00:02:32] 市场营销人力资源
[00:02:32 - 00:02:35] 什么经济学什么法学就专业
[00:02:35 - 00:02:36] 才快都是这样
[00:02:36 - 00:02:37] 我这个城市经济比较好
[00:02:37 - 00:02:39] 代表着我企业多
[00:02:39 - 00:02:40] 我企业多
[00:02:40 - 00:02:44] 代表着我文科专业的需求量也对应着大
[00:02:44 - 00:02:47] 但是如果说这个地方经济不好
[00:02:47 - 00:02:49] 它没有那么多的企业
[00:02:49 - 00:02:52] 那文科专业就业的空间就会非常的小
[00:02:52 - 00:02:58] 所以说大家记住文科就是要么毛所谓的尊业
[00:02:58 - 00:03:00] 要么毛所谓的城市
[00:03:00 - 00:03:01] 这是最重要的
