BV号：BV13t411X7z8
标题：BV13t411X7z8
链接：https://www.bilibili.com/video/BV13t411X7z8
识别语言：zh
语言置信度：1
分段数：322
生成时间：2026-04-04 09:05:51

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪丰老师
[00:00:03 - 00:00:24] 好 我上学习变得更快乐的张雪丰老师
[00:00:24 - 00:00:27] 欢迎大家走进本期的张老师课堂
[00:00:27 - 00:00:30] 那么最近在整个的教育圈有一个话题
[00:00:30 - 00:00:33] 是一直持续这个热度是非常高的
[00:00:33 - 00:00:34] 叫新高考
[00:00:34 - 00:00:36] 那么新高考大家都知道
[00:00:36 - 00:00:39] 咱们在全国是涉嫌在浙江河上海
[00:00:39 - 00:00:42] 实行了新高考的这样的一个政策和制度
[00:00:42 - 00:00:44] 那么在浙江河上海时期往也后的话
[00:00:44 - 00:00:46] 现在准备在全国做推广
[00:00:46 - 00:00:49] 其中向北京山中也已经进入了新高考的序列之内
[00:00:49 - 00:00:52] 那么按照咱们国家教育部的一个规定
[00:00:52 - 00:00:55] 其实在今年的会有更多的省份
[00:00:55 - 00:00:58] 走入新高考的这么一个序列当中
[00:00:58 - 00:01:00] 但是很多省份你会发现
[00:01:00 - 00:01:05] 它现在已经推实了新高考的这么一个改革的一个步伐
[00:01:05 - 00:01:07] 比如说像教育大省安徽省
[00:01:07 - 00:01:11] 理论上来讲它是离浙江省和上海市都比较近的
[00:01:11 - 00:01:14] 那么它应该是对新高考相对比较熟悉的
[00:01:14 - 00:01:16] 但是安徽省的最近也刚刚宣布
[00:01:16 - 00:01:19] 说要推迟新高考 重测一个执行
[00:01:19 - 00:01:21] 那么在整个高考的考生当中
[00:01:21 - 00:01:24] 包括在高考的家长当中的对于这个事情的说实话
[00:01:24 - 00:01:27] 就是可能疑问的也都比较多
[00:01:27 - 00:01:30] 而最近的教育部的一个相关的领导呢
[00:01:30 - 00:01:34] 在某论团上也是针对新高考的一些问题呢
[00:01:34 - 00:01:36] 谈了一些自己的看法
[00:01:36 - 00:01:38] 那么很多家长和朋友就问我说
[00:01:38 - 00:01:41] 状况是现在这个高考改完以后
[00:01:41 - 00:01:43] 那作为学生的话
[00:01:43 - 00:01:45] 会出现哪几方面的问题
[00:01:45 - 00:01:47] 那么我也将会在咱们这一期
[00:01:47 - 00:01:50] 包括说后面的几期的张老师
[00:01:50 - 00:01:50] 看房东呢
[00:01:50 - 00:01:51] 给大家讲一讲
[00:01:51 - 00:01:53] 我自己对于新高考改革的一些
[00:01:53 - 00:01:54] 一些看法
[00:01:54 - 00:01:54] 哈
[00:01:54 - 00:01:56] 比如说今天呢
[00:01:56 - 00:01:57] 给大家讨论一下
[00:01:57 - 00:01:59] 就是新高考会不会凸显我们
[00:01:59 - 00:02:03] 咱们中国在高中教育资源上的一些不足
[00:02:03 - 00:02:05] 其实我想说的是
[00:02:05 - 00:02:05] 目前来讲
[00:02:05 - 00:02:07] 我了解到的各个省份
[00:02:07 - 00:02:09] 对于这个新高考的改革不凡呢
[00:02:09 - 00:02:11] 它主要停滞不前
[00:02:11 - 00:02:12] 最主要的一个原因是
[00:02:12 - 00:02:12] 为什么呢
[00:02:12 - 00:02:13] 是因为
[00:02:13 - 00:02:16] 浙江省和上海市在新高考实行工程当中发现
[00:02:16 - 00:02:20] 如果说要按照新高考的方式来进行走步的话
[00:02:20 - 00:02:21] 那么基本上的话
[00:02:21 - 00:02:24] 他的教师和学生资源配比呢
[00:02:24 - 00:02:25] 得达到就是1比8
[00:02:25 - 00:02:30] 就是老师的数量和一个高中的数量的教师配比要达到1比8
[00:02:30 - 00:02:33] 但是现在很多高中学校
[00:02:33 - 00:02:36] 其实对于教师资源和学生资源这边
[00:02:36 - 00:02:37] 1比8这个比例
[00:02:37 - 00:02:39] 其实是是达不到的
[00:02:39 - 00:02:41] 比如像安徽省的很多高中校长
[00:02:41 - 00:02:42] 就反映说什么的
[00:02:42 - 00:02:45] 说我们先这个学校教师和学生的资源配比
[00:02:45 - 00:02:46] 也就是1比13
[00:02:46 - 00:02:48] 甚至也就是1比10
[00:02:48 - 00:02:51] 那如果说你要是按照我们新高考这个正载来进行的话
[00:02:51 - 00:02:52] 第一呢
[00:02:52 - 00:02:57] 就是我得重新去照骗一些相应的高中的这个老师
[00:02:57 - 00:02:59] 而高中这个老师在整个的
[00:02:59 - 00:03:01] 就是老师排行过程当中有发现
[00:03:01 - 00:03:02] 他是比较难的
[00:03:02 - 00:03:05] 他不像说初中小学老师排行起来比较简单
[00:03:05 - 00:03:05] 高中呢
[00:03:05 - 00:03:08] 因为他毕竟面对一个学生高考的需求
[00:03:08 - 00:03:10] 所以说他排行起了一个老师会比较难
[00:03:10 - 00:03:13] 如果说你想短时间之内达到一比八的比例的话
[00:03:13 - 00:03:16] 那么要么就是水平可能会不足
[00:03:16 - 00:03:19] 要么就可能就会出现一个现象叫拔苗住着
[00:03:19 - 00:03:23] 所以说很多省份是因为这个高中老师比例的问题
[00:03:23 - 00:03:25] 出现了这么一个新高口停滞不前
[00:03:25 - 00:03:27] 而实际的执行的过程当中
[00:03:27 - 00:03:30] 你会发现各个省份包括各个学校
[00:03:30 - 00:03:33] 他也会根据自己实际的老师配比情况
[00:03:33 - 00:03:35] 来进行相应的一个变化
[00:03:35 - 00:03:37] 比如说有一个辽宁的家长
[00:03:37 - 00:03:39] 因为辽宁省时今年已经不如新高口
[00:03:39 - 00:03:43] 他已经公布了自己新高考的这么一个政策和序列
[00:03:43 - 00:03:45] 那么两个就一个高中家人跟我说
[00:03:45 - 00:03:46] 说张老师
[00:03:46 - 00:03:48] 你看我孩子的高工是属于那种6选3
[00:03:48 - 00:03:49] 他这让你怎么选呢
