BV号：BV14b411b7rh
标题：BV14b411b7rh
链接：https://www.bilibili.com/video/BV14b411b7rh
识别语言：zh
语言置信度：1
分段数：292
生成时间：2026-04-04 08:34:58

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪丰老师
[00:00:21 - 00:00:21] 大家好
[00:00:21 - 00:00:23] 我是让学习变得更快乐的张雪丰老师
[00:00:23 - 00:00:26] 欢迎大家收看咱们本期的张老师课堂
[00:00:26 - 00:00:30] 那么最近应该是各个34所自主化学院校
[00:00:30 - 00:00:32] 陆陆续续出了自己的分数线
[00:00:32 - 00:00:36] 我们今天做一个其实是很不好干的一个事情
[00:00:36 - 00:00:38] 就是预测分数线
[00:00:38 - 00:00:39] 预测国家线
[00:00:39 - 00:00:42] 根据今年的一些情况和我看到的一些同学的成绩
[00:00:42 - 00:00:45] 给大家简单预测一下今年的一个国家线
[00:00:45 - 00:00:48] 当然我不会具体预测一个具体的数字
[00:00:48 - 00:00:49] 因为预测具体数字的话
[00:00:49 - 00:00:51] 这个事确实是比较难
[00:00:51 - 00:00:53] 尤其是大家现在目前看到这个视频的话
[00:00:53 - 00:00:55] 可能你还有等大概
[00:00:55 - 00:00:59] 我想想可能大概还有等半个月才能有国家线出来
[00:00:59 - 00:01:01] 但是大家确实问得比较多也比较着急
[00:01:01 - 00:01:04] 所以说咱们今天就简单的去预测一下国家线
[00:01:04 - 00:01:05] 我们13个学科门类
[00:01:05 - 00:01:08] 一个学科门类一个学科门来说来分析
[00:01:08 - 00:01:11] 我们首先看到第一个学科门类叫做哲学
[00:01:11 - 00:01:13] 哲学大家看下近几年的国家线
[00:01:13 - 00:01:17] 我们首先看到的是18年是总分280分英语39分
[00:01:17 - 00:01:21] 那么17年就变成了总分285英语是下降了一分
[00:01:21 - 00:01:22] 总分多了五分
[00:01:22 - 00:01:23] 但是英语下降了一分
[00:01:23 - 00:01:27] 但是去年的英语分数线是相较于前年的上涨
[00:01:27 - 00:01:29] 但是你分析以后你会发现
[00:01:29 - 00:01:36] 历史上哲学分数线最高的一年也就不过才290分
[00:01:36 - 00:01:37] 大家发现了吗
[00:01:37 - 00:01:40] 那么大多数形象的话都是在280分左右
[00:01:40 - 00:01:42] 所以说我个人预测今年的哲学的分数线
[00:01:42 - 00:01:44] 分数线总分分数线应该是不会变的
[00:01:44 - 00:01:46] 应该还是在280分
[00:01:46 - 00:01:50] 英语因为今年的题没有比去年更加的容易
[00:01:50 - 00:01:53] 所以说我个人觉得哲学今年的英语分数线
[00:01:53 - 00:01:54] 不会出现上涨
[00:01:54 - 00:01:56] 应该是在39分以内
[00:01:56 - 00:01:57] 考哲学英语考了39分
[00:01:57 - 00:02:00] 你应该是非常开心的放心的把心放在肚子里
[00:02:00 - 00:02:02] 应该不会上涨的
[00:02:02 - 00:02:03] 我们再看经济学
[00:02:03 - 00:02:07] 经济学分数线近几年的出现的变化是比较多的
[00:02:07 - 00:02:09] 去年是330分
[00:02:09 - 00:02:11] 那么前年是335分
[00:02:11 - 00:02:13] 然后的话16年的时候是325分
[00:02:13 - 00:02:16] 然后考经济学的同学也都比较多
[00:02:16 - 00:02:16] 就问我说张老师
[00:02:16 - 00:02:19] 今年经济学的分数线有没有可能会上涨
[00:02:19 - 00:02:22] 我个人觉得今年经济学分数线上涨的压力
[00:02:22 - 00:02:23] 还是比较大的
[00:02:23 - 00:02:26] 我个人觉得经济学的分数线应该会出现一个小幅度的上涨
[00:02:26 - 00:02:28] 应该不会下降了
