BV号：BV14n2CBDEXr
标题：BV14n2CBDEXr
链接：https://www.bilibili.com/video/BV14n2CBDEXr
识别语言：zh
语言置信度：1
分段数：72
生成时间：2026-04-03 03:34:51

[00:00:00 - 00:00:01] 军警招什么
[00:00:01 - 00:00:02] 首先第一
[00:00:02 - 00:00:03] 文科要求选政治
[00:00:03 - 00:00:04] 理工科的话
[00:00:04 - 00:00:05] 就是物化
[00:00:05 - 00:00:07] 强谤定也招
[00:00:07 - 00:00:08] 如果物化正的话
[00:00:08 - 00:00:09] 那就是能把所有的专业
[00:00:09 - 00:00:10] 作为一个报权
[00:00:10 - 00:00:11] 我们简单讲讲
[00:00:11 - 00:00:12] 简单说一下
[00:00:12 - 00:00:13] 我们拿公安内来举例
[00:00:13 - 00:00:14] 首先
[00:00:14 - 00:00:15] 你看如果说
[00:00:15 - 00:00:16] 要报警校的话
[00:00:16 - 00:00:17] 大家注意
[00:00:17 - 00:00:18] 这个叫公安学内
[00:00:18 - 00:00:19] 这一切专业
[00:00:19 - 00:00:22] 必须选政治才能报
[00:00:22 - 00:00:23] 这些公安学内专业
[00:00:23 - 00:00:24] 这些专业是
[00:00:24 - 00:00:26] 必须选政治才能报
[00:00:26 - 00:00:28] 不选政治是报不了公安学内的
[00:00:28 - 00:00:30] 这些是必须选政治才能报
[00:00:30 - 00:00:34] 你文科你本身首先第一选的历史对吧
[00:00:34 - 00:00:36] 你是物力二选一你选了历史
[00:00:36 - 00:00:39] 如果说你后面那两个选科没有选政治
[00:00:39 - 00:00:40] 这个你就报不了
[00:00:40 - 00:00:41] 那么这叫公安学类
[00:00:41 - 00:00:43] 还有一类专业叫什么呢
[00:00:43 - 00:00:44] 叫公安技术类
[00:00:44 - 00:00:46] 叫公安技术类
[00:00:46 - 00:00:47] 就是这些专业
[00:00:47 - 00:00:49] 这些专业是物化
[00:00:49 - 00:00:49] 能报
[00:00:49 - 00:00:51] 物化能报
[00:00:51 - 00:00:52] 所以说如果说你做个选科的时候
[00:00:52 - 00:00:54] 你只选了物化
[00:00:54 - 00:00:55] 你只选了物化
[00:00:55 - 00:00:57] 你就只能报这些专业
[00:00:57 - 00:00:59] 如果说你选了物化症
[00:00:59 - 00:01:01] 你既能报这些专业
[00:01:01 - 00:01:03] 你也能报这些专业
[00:01:03 - 00:01:05] 如果说你只选了政治
[00:01:05 - 00:01:06] 那你只能报这些专业
[00:01:06 - 00:01:08] 不能报这些专业
[00:01:08 - 00:01:10] 你又没有选物化
[00:01:10 - 00:01:11] 又没有选政治
[00:01:11 - 00:01:12] 那这两个你都报不了
[00:01:12 - 00:01:14] 你从物生地
[00:01:14 - 00:01:14] 物生地
[00:01:14 - 00:01:15] 没有政治
[00:01:15 - 00:01:15] 没有物化
[00:01:15 - 00:01:17] 那这两个就都报不了
[00:01:17 - 00:01:18] 你说老师
[00:01:18 - 00:01:18] 我说物化症
[00:01:18 - 00:01:19] 物化症物化症
[00:01:19 - 00:01:20] 这个能报
[00:01:20 - 00:01:21] 这个报
[00:01:21 - 00:01:22] 你说老师
[00:01:22 - 00:01:23] 我说物化地
[00:01:23 - 00:01:24] 公安类报不了
[00:01:24 - 00:01:26] 但是公安技术连续能报
[00:01:26 - 00:01:31] 物化症物化地抱菌景类是没有任何差
[00:01:31 - 00:01:33] 物化症是能多抱红丸类
[00:01:33 - 00:01:34] 轻冒冒
[00:01:34 - 00:01:37] 所以说大家这个一道听一下就是
[00:01:37 - 00:01:39] 就是你抱菌景的话
[00:01:39 - 00:01:41] 就是一些选科啊这个东西就是
[00:01:41 - 00:01:44] 虽然说没有以前那么麻烦了
[00:01:44 - 00:01:45] 但是的话也不要乱选
[00:01:45 - 00:01:46] 你不要乱选
