BV号：BV15d4y1Z75B
标题：BV15d4y1Z75B
链接：https://www.bilibili.com/video/BV15d4y1Z75B
识别语言：zh
语言置信度：1
分段数：59
生成时间：2026-04-03 17:55:13

[00:00:00 - 00:00:03] 工科本科畢業只能進場
[00:00:03 - 00:00:04] 你幹不了畢業的
[00:00:04 - 00:00:06] 必須要研究從畢業才能找到一個比較好的工作
[00:00:06 - 00:00:07] 很多人說捲
[00:00:07 - 00:00:09] 捲的根本是什麼
[00:00:09 - 00:00:10] 捲的根本是我們在做轉型
[00:00:10 - 00:00:12] 我們原來不搞研發
[00:00:12 - 00:00:14] 我們原來沒有核心技術
[00:00:14 - 00:00:17] 我們原來核心技術沒在我們自己國家的手裡
[00:00:17 - 00:00:19] 全在國外的技術手裡
[00:00:19 - 00:00:20] 技術人家搞研發
[00:00:20 - 00:00:22] 到中國來生產
[00:00:22 - 00:00:24] 生產需要你有高學歷嗎
[00:00:24 - 00:00:24] 不需要
[00:00:24 - 00:00:26] 你進場生產就完了
[00:00:26 - 00:00:28] 人家動不動就卡我們國字
[00:00:28 - 00:00:29] 今天不給你這個技術
[00:00:29 - 00:00:31] 我明天不给你那个技术
[00:00:31 - 00:00:33] 我们要现在自己搞自己的核心技术
[00:00:33 - 00:00:35] 很多时候都是被逼出来的
[00:00:35 - 00:00:36] 我给大家举一个简单的例子
[00:00:36 - 00:00:38] 原来我们国家有我们自己的操作系统吗
[00:00:38 - 00:00:39] 没有
[00:00:39 - 00:00:40] 被逼上绝路
[00:00:40 - 00:00:42] 走上了自己做操作系统的路
[00:00:42 - 00:00:43] 好
[00:00:43 - 00:00:44] 我问你做操作系统的
[00:00:44 - 00:00:45] 要本科生吗
[00:00:45 - 00:00:47] 所以说我们现在在从中国制造生
[00:00:47 - 00:00:48] 中国创造转型
[00:00:48 - 00:00:49] 这个过程当中
[00:00:49 - 00:00:51] 必然对于高端人才
[00:00:51 - 00:00:53] 需求量会更大
[00:00:53 - 00:00:55] 生产环节一律用自动化
[00:00:55 - 00:00:57] 真真正正作业发生什么
[00:00:57 - 00:00:59] 它是有一定本科生技术去做生产
[00:00:59 - 00:01:00] 再有一定研究中的技术
[00:01:00 - 00:01:02] 再有一定博士中的技术
[00:01:02 - 00:01:03] 这帮博士有人研究这个
[00:01:03 - 00:01:04] 有人研究这个
[00:01:04 - 00:01:05] 有人研究这个
[00:01:05 - 00:01:06] 十个团队
[00:01:06 - 00:01:07] 九个团队失败了
[00:01:07 - 00:01:08] 一个团队成功了
[00:01:08 - 00:01:09] 我们就突破了
[00:01:09 - 00:01:10] 它是有一定技术的
[00:01:10 - 00:01:12] 所以说你学自动化也好
[00:01:12 - 00:01:13] 学什么专业也好
[00:01:13 - 00:01:14] 你只要是功科专业
[00:01:14 - 00:01:16] 本科毕业没办法
[00:01:16 - 00:01:17] 直接去进场
[00:01:17 - 00:01:18] 想找个好工作
[00:01:18 - 00:01:18] 必须要硕士
[00:01:18 - 00:01:19] 必须要博士
[00:01:19 - 00:01:20] 这是趋势
[00:01:20 - 00:01:22] 你没那个能力就别搞严了
[00:01:22 - 00:01:24] 想搞严法就必须要那个学力和能力
[00:01:24 - 00:01:25] 所以说这不是卷
[00:01:25 - 00:01:28] 这是我们转型当中的必经之路
