BV号：BV16L4y157Vy
标题：BV16L4y157Vy
链接：https://www.bilibili.com/video/BV16L4y157Vy
识别语言：zh
语言置信度：1
分段数：107
生成时间：2026-04-03 19:46:51

[00:00:00 - 00:00:02] 我说完以后的话你就报不上了
[00:00:02 - 00:00:03] 你好家长
[00:00:04 - 00:00:05] 你好 李老师
[00:00:05 - 00:00:06] 张老师
[00:00:06 - 00:00:08] 张老师你好
[00:00:09 - 00:00:10] 你这想什么
[00:00:11 - 00:00:12] 想什么玩意啊 真是的
[00:00:12 - 00:00:13] 李老师吓我一跳
[00:00:14 - 00:00:16] 和北的家长
[00:00:16 - 00:00:17] 和北
[00:00:17 - 00:00:19] 和北是高级
[00:00:20 - 00:00:21] 高三
[00:00:21 - 00:00:23] 然后那个是物生地
[00:00:24 - 00:00:25] 物生地
[00:00:25 - 00:00:27] 你还在想学地理吗
[00:00:27 - 00:00:29] 是女孩
[00:00:29 - 00:00:33] 我们那个600来分吧
[00:00:33 - 00:00:35] 600左右在横攻的也不太好
[00:00:38 - 00:00:39] 这个来
[00:00:39 - 00:00:41] 各位家长把反尔塞打在公平上
[00:00:41 - 00:00:43] 你600多分还不太好
[00:00:43 - 00:00:45] 你还想咋呀
[00:00:45 - 00:00:46] 咱们咱们就是
[00:00:46 - 00:00:48] 你就是争取将来高考的时候
[00:00:48 - 00:00:49] 最低600啊
[00:00:49 - 00:00:50] 完了往上使劲
[00:00:50 - 00:00:51] 咱别说这话啊
[00:00:51 - 00:00:53] 别说这个600分不太好这种话
[00:00:53 - 00:00:55] 你别人怎么想真是
[00:00:56 - 00:00:57] 老师我再问一下
[00:00:57 - 00:01:01] 如果我们孩子他要是上985和2111好点的
[00:01:01 - 00:01:02] 有点难
[00:01:02 - 00:01:06] 他想冲一个的是2111以上的中外合作办学
[00:01:06 - 00:01:07] 你觉得咋样
[00:01:07 - 00:01:09] 这个我这样跟你说
[00:01:09 - 00:01:12] 家长因为这个东西要看情况
[00:01:12 - 00:01:18] 中外合作办学一是哪个学校的什么专业的中外合作
[00:01:18 - 00:01:19] 那么这是第一个我要看清楚
[00:01:19 - 00:01:21] 第二个我要看清楚什么
[00:01:21 - 00:01:22] 他这个分数段
[00:01:22 - 00:01:24] 比如说你上这个学校的中外合作办学
[00:01:24 - 00:01:26] 你打出你考了660分
[00:01:26 - 00:01:29] 那你這個665分的話能不能上別的學校
[00:01:29 - 00:01:30] 比這個要好
[00:01:30 - 00:01:33] 反正就這麼說我一般會跟孩子這樣去舉例子
[00:01:33 - 00:01:35] 尤其是大家注意啊
[00:01:35 - 00:01:36] 如果你孩子分比較低
[00:01:36 - 00:01:39] 有沒有家長他那個分是在什麼情況下
[00:01:39 - 00:01:40] 來家長啊
[00:01:40 - 00:01:40] 來各位家長
[00:01:40 - 00:01:43] 如果你孩子的分在民辦和公辦之間
[00:01:43 - 00:01:44] 來回徘徊的低分段的有沒有
[00:01:44 - 00:01:46] 有的話扣1我看一下
[00:01:46 - 00:01:47] 來來來
[00:01:47 - 00:01:49] 我告訴你你怎麼去給孩子說
[00:01:49 - 00:01:50] 讓他去努力啊
[00:01:51 - 00:01:53] 不是說我的學員我會給你講
[00:01:53 - 00:01:55] 不是我的學員我也會給你講
[00:01:55 - 00:01:57] 因为张老师是有大业的老师,知道吧?
[00:01:57 - 00:02:00] 来,我告诉你啊,我一般会跟孩子这样说
[00:02:00 - 00:02:03] 孩子,你看,你这个分现在也就算个民办,对不对?
[00:02:03 - 00:02:06] 孩子,你干嘛不努努力?
[00:02:06 - 00:02:08] 往上冲个工办
[00:02:08 - 00:02:11] 民办一年学费最低一万八呀
[00:02:11 - 00:02:13] 四年学费七万二啊,孩子
[00:02:13 - 00:02:15] 你现在努力是在干啥?
[00:02:15 - 00:02:17] 你是在挣钱?
[00:02:17 - 00:02:19] 这七万二干点啥不好?
[00:02:19 - 00:02:21] 啊?你跟你妈商量好,这七万二
[00:02:21 - 00:02:24] 如果我给你挣回来了,你给我拿三分六
[00:02:24 - 00:02:26] 咱出去玩去不香吗
[00:02:26 - 00:02:27] 干嘛直接给学校
[00:02:27 - 00:02:29] 大家觉得张老师说的有没有道理
[00:02:29 - 00:02:30] 有道理扣666来
[00:02:30 - 00:02:32] 有道理扣666
[00:02:32 - 00:02:33] 你现在在这个分数段
[00:02:33 - 00:02:35] 你多努力一分
[00:02:35 - 00:02:37] 你就是在给你家挣钱
[00:02:37 - 00:02:38] 你多努力一分
[00:02:38 - 00:02:40] 家长来跟孩子说好了
[00:02:40 - 00:02:42] 你找能够上个工办
[00:02:42 - 00:02:43] 你找能够往上冲
[00:02:43 - 00:02:44] 剩下的学费
[00:02:44 - 00:02:45] 咱拿出一半
[00:02:45 - 00:02:46] 咱再出去玩去
[00:02:46 - 00:02:48] 吃喝玩的花在咱身上
[00:02:48 - 00:02:50] 干啥啥不好
[00:02:50 - 00:02:51] 为什么非得给学校
[00:02:51 - 00:02:53] 为什么非得给学校
[00:02:53 - 00:02:53] 对不对
[00:02:53 - 00:02:55] 还在最后加劲努力努力
[00:02:55 - 00:02:56] 所以说你这个情况
[00:02:56 - 00:02:59] 一 看一下它是哪个学校的什么转业
