BV号：BV16T4y1H7H2
标题：BV16T4y1H7H2
链接：https://www.bilibili.com/video/BV16T4y1H7H2
识别语言：zh
语言置信度：1
分段数：64
生成时间：2026-04-03 12:50:55

[00:00:00 - 00:00:02] 我是吉林的高二的物化生
[00:00:02 - 00:00:05] 现在裸分800
[00:00:05 - 00:00:07] 500 8 590
[00:00:07 - 00:00:08] 800
[00:00:10 - 00:00:12] 然后呢
[00:00:12 - 00:00:16] 我们孩子偏那个数学和物理
[00:00:16 - 00:00:18] 你就想问哪些专业师
[00:00:18 - 00:00:19] 跟数学和物理同相关的专业
[00:00:19 - 00:00:20] 是的
[00:00:20 - 00:00:22] 大家掌人你翻到第五页
[00:00:22 - 00:00:24] 大家掌左半边有一个数学类
[00:00:24 - 00:00:24] 看到了吧
[00:00:24 - 00:00:25] 看到了
[00:00:25 - 00:00:25] 家长是这样子的
[00:00:25 - 00:00:27] 你看数学类里面四个本盘专业
[00:00:27 - 00:00:28] 我们有这个错地本的家长
[00:00:28 - 00:00:29] 可以打开错地本
[00:00:29 - 00:00:30] 去看啊
[00:00:30 - 00:00:31] 然后的话
[00:00:31 - 00:00:32] 我今天我再给你讲的
[00:00:32 - 00:00:33] 略微稍微详细一点
[00:00:33 - 00:00:35] 因为你这个分会相对比较高
[00:00:35 - 00:00:36] 选择性可能会相对比较多
[00:00:36 - 00:00:38] 所以说我再给你说的稍微详细一点
[00:00:38 - 00:00:39] 数学这个专业
[00:00:39 - 00:00:40] 各位家长
[00:00:40 - 00:00:41] 我提醒你一下
[00:00:41 - 00:00:42] 你们在报考的时候
[00:00:42 - 00:00:43] 数学里边有两个专业
[00:00:43 - 00:00:44] 一个就数学与数学
[00:00:44 - 00:00:45] 一个就数学业数学
[00:00:45 - 00:00:47] 这两个都是数学类
[00:00:47 - 00:00:49] 数学业数学会更偏计算机
[00:00:49 - 00:00:50] 它的计算机的专业课
[00:00:50 - 00:00:51] 会学的多一点
[00:00:51 - 00:00:52] 我们计算机专业考研的复活
[00:00:52 - 00:00:53] 又考语们专业课
[00:00:53 - 00:00:55] 叫做408计算计讼和
[00:00:55 - 00:00:57] 408计算计讼和分成四个组成部分
[00:00:57 - 00:00:58] 叫做计算计组成为你计算的网络
[00:00:58 - 00:01:00] 作为计讼和数字排布
[00:01:00 - 00:01:03] 信息与计算科学会上其中的三门到四门
[00:01:03 - 00:01:06] 而数学与用数学只会上数据结构与算法
[00:01:06 - 00:01:08] 所以说你问我数学哪个专业更偏计算机
[00:01:08 - 00:01:10] 其实是信息与计算科学更偏计算机
[00:01:10 - 00:01:13] 数学也用数学更偏理学的数学
[00:01:13 - 00:01:15] 408计算计讼和一共是四门专业课
[00:01:15 - 00:01:17] 信息与计算科学学会比数学与语数学
[00:01:17 - 00:01:19] 学的更像计算机
[00:01:19 - 00:01:21] 但是你报了兴许计算科学
[00:01:21 - 00:01:22] 你的学位证就是零学
[00:01:22 - 00:01:23] 不会是零学
[00:01:23 - 00:01:25] 你的毕业证也只可能是
[00:01:25 - 00:01:26] 兴许计算科学
[00:01:26 - 00:01:27] 而不能是计算机
[00:01:27 - 00:01:29] 大类里边的专业
[00:01:29 - 00:01:30] 这是数学
[00:01:30 - 00:01:31] 数学这个专业就业的时候
[00:01:31 - 00:01:32] 最好是考过研究生
[00:01:32 - 00:01:34] 最好不要直接本科就业
[00:01:34 - 00:01:35] 因为本科数学专业就业
[00:01:35 - 00:01:36] 很不好就业
[00:01:36 - 00:01:38] 最起码说是以上就业
[00:01:38 - 00:01:38] 好吧
