BV号：BV17M4y1n7i9
标题：BV17M4y1n7i9
链接：https://www.bilibili.com/video/BV17M4y1n7i9
识别语言：zh
语言置信度：1
分段数：93
生成时间：2026-04-03 14:49:39

[00:00:00 - 00:00:02] 之前有人说生化环材是四大天坑
[00:00:02 - 00:00:04] 但这几年像什么医药
[00:00:04 - 00:00:05] 洗能源这些行业的发展
[00:00:05 - 00:00:09] 已经把在生化环材这几个专业给带出坑了
[00:00:09 - 00:00:12] 就比方说现在很多人用的化妆品研发
[00:00:12 - 00:00:14] 那都是需要化工专业的
[00:00:14 - 00:00:16] 你再看这两年很热的芯片
[00:00:16 - 00:00:18] 它生产这块是不是也需要材料呢
[00:00:18 - 00:00:20] 这段时间也有一些家长跟我说
[00:00:20 - 00:00:22] 说以后孩子想去洗能源行业就业
[00:00:22 - 00:00:25] 它其实就是化工材料等相关专业
[00:00:25 - 00:00:27] 说到化工可能有些家长知道
[00:00:27 - 00:00:30] 就是以前咱们国家有个化学工业部
[00:00:30 - 00:00:32] 曾经化工部的职所高校
[00:00:32 - 00:00:33] 那都是这方面的教教者
[00:00:33 - 00:00:35] 比方说现在的像北京化工
[00:00:35 - 00:00:37] 南京工业青岛科技等等
[00:00:37 - 00:00:38] 咱们今天又介绍的
[00:00:38 - 00:00:41] 也是一所老的不伪职所院校
[00:00:41 - 00:00:43] 它就是湖北的武汉工程大学
[00:00:43 - 00:00:46] 武工大从一见校就是本科城市
[00:00:46 - 00:00:48] 到现在50多年
[00:00:48 - 00:00:50] 也没有合并过任何学校
[00:00:50 - 00:00:52] 它是在1980年的时候
[00:00:52 - 00:00:54] 开始由原化工部主管
[00:00:54 - 00:00:58] 到1998年才化归湖北省主管
[00:00:58 - 00:00:59] 出身他擺在這
[00:00:59 - 00:01:02] 化工實力界塊的自然是沒得說
[00:01:02 - 00:01:03] 化學工程與工藝
[00:01:03 - 00:01:06] 製藥工程這些專業不僅是國家一流專業
[00:01:06 - 00:01:09] 而且也都通過了教育部工程教育的認證
[00:01:09 - 00:01:12] 在湖北乃至全國都有一定的影響力
[00:01:12 - 00:01:14] 該校有兩個一級學科的博士著
[00:01:14 - 00:01:17] 化學工程以技術和材料可去與工程
[00:01:17 - 00:01:20] 有個數據說是整個湖北的化工醫藥行業
[00:01:20 - 00:01:22] 產值過億的單位裡邊
[00:01:22 - 00:01:26] 有70%的企业主要负责人都是他的校友
[00:01:26 - 00:01:27] 是不是很有福福力
[00:01:27 - 00:01:29] 化工材料这些专业的剧烈率
[00:01:29 - 00:01:31] 升学率都是全校名列前茅的
[00:01:31 - 00:01:32] 哪怕是在这几年
[00:01:32 - 00:01:34] 剧烈率还能达到96%左右
[00:01:34 - 00:01:36] 武功大胆还有一个优势
[00:01:36 - 00:01:37] 它就是它的武汉
[00:01:37 - 00:01:39] 你别小看这一点
[00:01:39 - 00:01:41] 武汉可是中部六省省会的带头大哥
[00:01:41 - 00:01:43] 各方面的条件尤其是发展的机会
[00:01:43 - 00:01:45] 那都不是别人他能不比的
[00:01:45 - 00:01:47] 而且武汉东湖高清区
[00:01:47 - 00:01:49] 号称中国的光谷
[00:01:49 - 00:01:51] 是首批国家级高清区
[00:01:51 - 00:01:52] 武功大呢
[00:01:52 - 00:01:53] 他就隨在光谷
[00:01:53 - 00:01:56] 搞高薪技術是有地力的
[00:01:56 - 00:01:57] 像計算機一樣
[00:01:57 - 00:01:58] 軟件下這種
[00:01:58 - 00:01:59] 報考熱門專業
[00:01:59 - 00:02:00] 他的實力就挺不錯
[00:02:00 - 00:02:02] 包括這幾年特別火的人工智能
[00:02:02 - 00:02:04] 人家也有開設
[00:02:04 - 00:02:06] 就比方說智能科學與技術專業吧
[00:02:06 - 00:02:07] 不僅開得早
[00:02:07 - 00:02:10] 還是首批國家級一流專業
[00:02:10 - 00:02:11] 學校在這方面的特色呢
[00:02:11 - 00:02:12] 是智能機器人
[00:02:12 - 00:02:15] 他不光有湖北城首個智能機器人
[00:02:15 - 00:02:16] 重點實驗室
[00:02:16 - 00:02:18] 還有湖北第一支機器人足球隊
[00:02:18 - 00:02:20] 機器人足球系列杯冠軍
[00:02:20 - 00:02:22] 都拿了十几个了
[00:02:22 - 00:02:24] 就从教学实力界块来看
[00:02:24 - 00:02:25] 不管是想报好
[00:02:25 - 00:02:26] 化工材料这种传统
[00:02:26 - 00:02:27] 理工科
[00:02:27 - 00:02:28] 还是所想学计算机
[00:02:28 - 00:02:29] 人工智能这种
[00:02:29 - 00:02:30] 色门的
[00:02:30 - 00:02:31] 在湖北省属高校里边
[00:02:31 - 00:02:33] 可以作为首选
[00:02:33 - 00:02:33] 因为武功大
[00:02:33 - 00:02:35] 它这些方面的优势
[00:02:35 - 00:02:36] 学生毕业以后
[00:02:36 - 00:02:36] 不管是就业
[00:02:36 - 00:02:38] 还是创业都很有竞争力
[00:02:38 - 00:02:39] 更别说学校
[00:02:39 - 00:02:42] 对双创的支持力度也很大
[00:02:42 - 00:02:42] 总体来看
[00:02:42 - 00:02:43] 武功大在跟它
[00:02:43 - 00:02:45] 层次相近的学校里边
[00:02:45 - 00:02:46] 也算是一个性价比
[00:02:46 - 00:02:48] 很高的选择了
[00:02:48 - 00:02:49] 如果说有这方面意想的话
[00:02:49 - 00:02:51] 那不妨多關注一下
