BV号：BV17U4y1C7jn
标题：BV17U4y1C7jn
链接：https://www.bilibili.com/video/BV17U4y1C7jn
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-04-03 18:02:11

[00:00:00 - 00:00:03] 一个XX通过考研变成个牛逼的人
[00:00:03 - 00:00:04] 记得XX的过程
[00:00:04 - 00:00:05] 我能不让你什么你呢
[00:00:05 - 00:00:06] 我能不让你关不关我坤
[00:00:06 - 00:00:07] 我就告诉你
[00:00:07 - 00:00:08] 你一定能考上
[00:00:08 - 00:00:09] 最近几年呢
[00:00:09 - 00:00:11] 全国考研人数是蹭蹭的往上涨
[00:00:11 - 00:00:12] 大家都怪我
[00:00:12 - 00:00:14] 说是因为我骨髓考研
[00:00:14 - 00:00:15] 才让考研市场卷成这个样子
[00:00:15 - 00:00:17] 这个国我可不悲啊
[00:00:17 - 00:00:18] 今天的我要劝退一下
[00:00:18 - 00:00:19] 三种人
[00:00:19 - 00:00:20] 你们呀
[00:00:20 - 00:00:21] 不要考研
[00:00:21 - 00:00:22] 不然呢只会被卷的
[00:00:22 - 00:00:23] 炸都不胜
[00:00:23 - 00:00:24] 第一种呢就是为了
[00:00:24 - 00:00:25] 所谓逃避就业而考研的
[00:00:25 - 00:00:26] 你不要考
[00:00:26 - 00:00:28] 中国清年报之前发起的一个
[00:00:28 - 00:00:29] 你为什么考研的投票
[00:00:30 - 00:00:34] 这二岁的同学竟然选择了不想进入社会工作
[00:00:34 - 00:00:37] 这一小部分人考研是纯纯的逃避式考研
[00:00:37 - 00:00:38] 讨研也还算有个事干
[00:00:38 - 00:00:39] 还不用上班
[00:00:39 - 00:00:41] 先理得的继续去啃老
[00:00:41 - 00:00:42] 包着这种心态考研的同学
[00:00:42 - 00:00:43] 我劝你不要考研
[00:00:43 - 00:00:46] 讨研的压力要比你就业的压力还要大
[00:00:46 - 00:00:49] 再者就是你因为逃避就业而选的考研
[00:00:49 - 00:00:50] 那你一旦失败了
[00:00:50 - 00:00:51] 你怎么办
[00:00:51 - 00:00:52] 不克服就为恐惧
[00:00:52 - 00:00:54] 你可就没有别的路可以选
[00:00:54 - 00:00:56] 到时候你面临的压力可能会更大
[00:00:56 - 00:00:58] 第二种对于未来没有规划
[00:00:58 - 00:01:00] 没想明白学啥的人
[00:01:00 - 00:01:01] 你不要考验
[00:01:01 - 00:01:02] 有人说张老师
[00:01:02 - 00:01:03] 我喜欢拼乐高
[00:01:03 - 00:01:05] 所以我想考乔梁语隧道工程
[00:01:05 - 00:01:07] 那都是在山里边打动搭桥
[00:01:07 - 00:01:10] 方圆五公里今天是看不见人影的
[00:01:10 - 00:01:11] 你拼乐高的时候
[00:01:11 - 00:01:14] 方圆半里今天都你妈跟在你后面收拾
[00:01:14 - 00:01:16] 最后一种人不想学英语的
[00:01:16 - 00:01:17] 你不要考验
[00:01:17 - 00:01:18] 有同学问我说老师
[00:01:18 - 00:01:20] 我英语也就考二十多分
[00:01:20 - 00:01:22] 其他我考经纪三百八
[00:01:22 - 00:01:24] 这我总分不也能上四百吗
[00:01:24 - 00:01:25] 我是中国人
[00:01:25 - 00:01:27] 我中国人不说英语
[00:01:27 - 00:01:28] 每一颗都有国家线
[00:01:28 - 00:01:31] 从国家线这块你就过不去
[00:01:31 - 00:01:32] 很多同学抱怨说
[00:01:32 - 00:01:34] 哎呀考研英语怎么这么难
[00:01:34 - 00:01:36] 其实现在科技这么发达
[00:01:36 - 00:01:38] 你们买的那些电的设备呀
[00:01:38 - 00:01:40] 黑科技眼你都用起来呀
[00:01:40 - 00:01:42] 你哥抢脚吃灰那顶啥用啊
[00:01:42 - 00:01:43] 这个叫什么
[00:01:43 - 00:01:45] 有道词典笔识吧
[00:01:45 - 00:01:47] 查词搜缩快零点五秒一点
[00:01:47 - 00:01:49] 你就能出解释
[00:01:49 - 00:01:52] 这不比你翻查字典查手机方便
[00:01:52 - 00:01:53] 而且有的同学呢
[00:01:53 - 00:01:55] 一套手机就组成本来想拿出来
[00:01:55 - 00:01:57] 用这个词典来查个单词
[00:01:57 - 00:01:59] 结果微信又来了
[00:01:59 - 00:02:00] 微博又打开了
[00:02:00 - 00:02:01] 玩了十几分钟
[00:02:01 - 00:02:02] 到最后都不记得自己为啥
[00:02:02 - 00:02:04] 超出来的手机
[00:02:04 - 00:02:06] 这个笔不是还有什么句子
[00:02:06 - 00:02:07] 结果分歧功能吗
[00:02:07 - 00:02:08] 那你做阅读历史的时候
[00:02:08 - 00:02:09] 你就用上啊
[00:02:09 - 00:02:11] 得阅读者得天下呀
[00:02:11 - 00:02:11] 朋友们
[00:02:11 - 00:02:12] 考研英语
[00:02:12 - 00:02:14] 站分最多的就是阅读题
[00:02:14 - 00:02:15] 你就用有道词典笔
[00:02:15 - 00:02:17] 扫一扫查一查
[00:02:17 - 00:02:18] 多读多理解
[00:02:18 - 00:02:20] 这学学效率多高啊
[00:02:20 - 00:02:21] 就咱刚说过的复习过程
[00:02:21 - 00:02:24] 一只有道词典笔就能搞定
[00:02:24 - 00:02:27] 英语啊真没有你想象的那么难学
[00:02:27 - 00:02:30] 游到十点比呢连续三年在某猫某冬销乱第一
[00:02:30 - 00:02:31] 这么多销乱哪里来的
[00:02:31 - 00:02:35] 不都是你们的竞争者在偷偷努力准备刷掉其他人
[00:02:35 - 00:02:36] 对不对
[00:02:36 - 00:02:39] 所以说考研要考的就给我用起来
[00:02:39 - 00:02:39] 知道了
