BV号：BV17r421A7HT
标题：BV17r421A7HT
链接：https://www.bilibili.com/video/BV17r421A7HT
识别语言：zh
语言置信度：1
分段数：76
生成时间：2026-04-03 10:42:39

[00:00:00 - 00:00:03] 不朽同学田志愿的时候喜欢往大城市走
[00:00:03 - 00:00:04] 但是大城市名校多
[00:00:04 - 00:00:06] 怎么选呢还真是个难题
[00:00:06 - 00:00:07] 拿上海来说
[00:00:07 - 00:00:08] 十几所实力强效
[00:00:08 - 00:00:10] 那可能会让大家都挑花了眼
[00:00:10 - 00:00:12] 那张老师今天就给大家介绍一所
[00:00:12 - 00:00:14] 经常因为笑名被忽视
[00:00:14 - 00:00:16] 但实力没得说的好学校
[00:00:16 - 00:00:17] 东华大学
[00:00:17 - 00:00:18] 说起东华
[00:00:18 - 00:00:19] 可能有同学呢不太熟悉
[00:00:19 - 00:00:21] 但是要提起中国仿知大学
[00:00:21 - 00:00:22] 大家可能就反应过来了
[00:00:22 - 00:00:25] 这一所曾经的国自投高校
[00:00:25 - 00:00:29] 仿知科学与工程排名可是全球第一啊
[00:00:29 - 00:00:33] 很多纺织上的硬科技已经被应用到了国家重大成果上
[00:00:33 - 00:00:35] 像天公天舟系列飞船
[00:00:35 - 00:00:38] 太空翅膀上的这个玻璃线围呀
[00:00:38 - 00:00:43] 北斗岛航和确桥中纪卫星当中用到的金属丝卫星天线呢
[00:00:43 - 00:00:46] 人造学馆微创支架当中使用的特殊材料啊
[00:00:46 - 00:00:47] 还有交龙号
[00:00:47 - 00:00:48] G20 辽宁号
[00:00:48 - 00:00:48] 高铁
[00:00:48 - 00:00:49] 四圈弗列车等等
[00:00:49 - 00:00:52] 都和东华的纺织科技密切相关
[00:00:52 - 00:00:54] 但你要说东华之中纺织强吗
[00:00:54 - 00:00:55] 当然不是
[00:00:55 - 00:00:58] 学校其他的学科实力也一样很牛
[00:00:58 - 00:01:03] 像集团级科学、数学、化学、工生学、材料科学、环境科学与生态学
[00:01:03 - 00:01:07] 生物与生化物理都进入到了ESI全球的前1%
[00:01:07 - 00:01:10] 材料科学化学更是充件了前1千分之一
[00:01:10 - 00:01:12] 四个专业获评软科A加
[00:01:12 - 00:01:15] 二十三个专业获评软科A以上
[00:01:15 - 00:01:18] 要知道这个学校的招生专业一共才54个
[00:01:18 - 00:01:19] 在人才培养这一块
[00:01:19 - 00:01:22] 东华有完善的选专业制度
[00:01:22 - 00:01:24] 而且转专业政策非常宽松
[00:01:24 - 00:01:27] 学生可以文科立科跨了一别转
[00:01:27 - 00:01:29] 而且转出不设门槛
[00:01:29 - 00:01:30] 除了艺术类和保送生外
[00:01:30 - 00:01:32] 学生只要不挂科不违纪
[00:01:32 - 00:01:35] 大一达二各有一次校内转专业的机会
[00:01:35 - 00:01:38] 转租的时候不考试成功力也很高
[00:01:38 - 00:01:42] 另外学校有双学士学位和丰富的
[00:01:42 - 00:01:43] 辅修专业供大家选择
[00:01:43 - 00:01:47] 还开设了九大拔尖重新人才实验班
[00:01:47 - 00:01:50] 比如说打飞机班和中国商费合作的
[00:01:50 - 00:01:53] 由学校和中国商费共同培养
[00:01:53 - 00:01:55] 这个班升入到酒吧部等名校的比例
[00:01:55 - 00:01:56] 能达到95%
[00:01:56 - 00:01:58] 还有国家首批现代产业学院
[00:01:58 - 00:02:01] 学院的首届和中石化
[00:02:01 - 00:02:03] 商飞等知名企业合作的实验班
[00:02:03 - 00:02:05] 名校生学率达到了100%
[00:02:05 - 00:02:06] 在国际教育方面
[00:02:06 - 00:02:08] 东华的资源也很拿得出手
[00:02:08 - 00:02:11] 跟它合作的上百座院校
[00:02:11 - 00:02:13] 遍布全球30多个国家和地区
[00:02:13 - 00:02:15] 和加州大学伯克利分校
[00:02:15 - 00:02:17] 西北大学 哥伦比亚大学等名校
[00:02:17 - 00:02:19] 合作开展的本朔联读项目
[00:02:19 - 00:02:21] 含金量也是相当高的
[00:02:21 - 00:02:22] 有这种教育资源
[00:02:22 - 00:02:24] 东华毕业生不管是求学生造
[00:02:24 - 00:02:26] 还是直接就业都很有精通力
[00:02:26 - 00:02:29] 2023年學校畢業生的平均月薪排在全國前十
[00:02:29 - 00:02:33] 像中石化、強生、聯合立華、中新國際等這些
[00:02:33 - 00:02:36] 業內的民企都很認同這塊招牌
[00:02:36 - 00:02:40] 升學方面進入到QS世界前50強學校的學生
[00:02:40 - 00:02:41] 更是不在少數
[00:02:41 - 00:02:45] 很多人都拿到了紐約大學、帝國理工、約翰霍普金斯
[00:02:45 - 00:02:47] 曼特斯特大學這樣的頂校的offer
[00:02:47 - 00:02:51] 所以總的來說即使在強效如雲的上海
[00:02:51 - 00:02:54] 東華大學的表現也還是相當戀營的
[00:02:54 - 00:02:56] 值得大家重點留意一下
