BV号：BV17x411m7ak
标题：BV17x411m7ak
链接：https://www.bilibili.com/video/BV17x411m7ak
识别语言：zh
语言置信度：1
分段数：383
生成时间：2026-04-04 13:04:31

[00:00:05 - 00:00:06] 啊?干啥呀?
[00:00:06 - 00:00:10] 啥?
[00:00:10 - 00:00:12] 好,欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:16] 富士考三目
[00:00:17 - 00:00:20] 红学举考环节的全国所有学生、所有学院
[00:00:20 - 00:00:22] 富士考的内容几乎一模一样
[00:00:22 - 00:00:23] 都是三个环节过程的
[00:00:23 - 00:00:24] 那三个环节
[00:00:24 - 00:00:27] 彼式外富士和面试
[00:00:27 - 00:00:28] 彼式外与富士面试
[00:00:28 - 00:00:32] 大家你猜这三个环节哪个环节最重要?
[00:00:32 - 00:00:34] 当然是面试,对不对?
[00:00:34 - 00:00:36] 因为它太滚,大家发现了
[00:00:36 - 00:00:38] 說你行就行 他們不行也行
[00:00:38 - 00:00:41] 說不行就不行 他們行也不行 對不對
[00:00:41 - 00:00:42] 你要知道那麼多人去面試
[00:00:42 - 00:00:44] 為什麼老師要你不要別人呀
[00:00:44 - 00:00:47] 是因為老師在您群中多看著你一樣
[00:00:47 - 00:00:47] 你知道嗎
[00:00:47 - 00:00:49] 所以說你面試的時候
[00:00:49 - 00:00:50] 就種感覺一道道位 你知道嗎
[00:00:50 - 00:00:51] 你最起碼你穿著當面
[00:00:51 - 00:00:53] 得像是個人一樣吧
[00:00:53 - 00:00:55] 對吧 你一去就老實一點點你
[00:00:55 - 00:00:56] 你真的把我穿了
[00:00:56 - 00:00:58] 你穿著當面像是個人一樣
[00:00:58 - 00:00:58] 知道嗎
[00:00:58 - 00:00:59] 你比如說女同學
[00:00:59 - 00:01:01] 各位美女你們在去面試的時候
[00:01:01 - 00:01:02] 穿衣服就穿得不能
[00:01:02 - 00:01:03] 千萬看那個 不能看那個
[00:01:03 - 00:01:05] 那個 懂嗎
[00:01:05 - 00:01:06] 那叫奔放
[00:01:07 - 00:01:09] 你跟我们的话的人都不一样啊
[00:01:09 - 00:01:10] 奔放
[00:01:10 - 00:01:11] 知道吧
[00:01:11 - 00:01:12] 看得不要太奔放
[00:01:12 - 00:01:12] 知道吧
[00:01:12 - 00:01:14] 你很多女生长得很漂亮
[00:01:14 - 00:01:14] 身材也很好
[00:01:14 - 00:01:15] 穿得很奔放
[00:01:15 - 00:01:16] 你记得一句
[00:01:16 - 00:01:17] 你让老师怎么办
[00:01:19 - 00:01:20] 他一看见你
[00:01:20 - 00:01:20] 我都不去
[00:01:22 - 00:01:23] 看还是不看吗
[00:01:24 - 00:01:25] 看吧
[00:01:25 - 00:01:26] 他不好意思
[00:01:26 - 00:01:26] 不看吧
[00:01:26 - 00:01:27] 其实他很想看
[00:01:27 - 00:01:28] 知道吧
[00:01:28 - 00:01:30] 千万不要让老师矛盾
[00:01:30 - 00:01:30] 知道吧
[00:01:30 - 00:01:31] 同学你会发现
[00:01:31 - 00:01:32] 你的医生就会经历
[00:01:32 - 00:01:33] 很多个面试对不对
[00:01:33 - 00:01:35] 比如说考阳词
[00:01:35 - 00:01:36] 考公務員的面試
[00:01:36 - 00:01:37] 找工作的面試
[00:01:37 - 00:01:38] 相親
[00:01:39 - 00:01:40] 他也是面試對不對
[00:01:40 - 00:01:42] 通俊敬你要知道這麼多面試
[00:01:42 - 00:01:43] 他其實道理都一樣
[00:01:43 - 00:01:44] 你怎麼通過他
[00:01:44 - 00:01:46] 只需要你面試啥
[00:01:46 - 00:01:47] 你得
[00:01:47 - 00:01:48] 像啥
[00:01:48 - 00:01:49] 能明白嗎
[00:01:49 - 00:01:50] 你面試一下就跟你穿著打扮
[00:01:50 - 00:01:51] 就要像是一個
[00:01:51 - 00:01:52] 學生一樣
[00:01:52 - 00:01:53] 對不對
[00:01:53 - 00:01:54] 你找工作的時候也是這樣
[00:01:54 - 00:01:56] 你穿著打扮稍微成熟一些
[00:01:56 - 00:01:57] 對不對
[00:01:57 - 00:01:58] 一邊女同學你找不做的時候
[00:01:58 - 00:01:59] 你穿了衣服
[00:01:59 - 00:01:59] 搶了一個雞帽
[00:01:59 - 00:02:00] 合適嗎
[00:02:01 - 00:02:02] 這個很不合學對不對
[00:02:02 - 00:02:03] 難得對你面試的時候
[00:02:03 - 00:02:04] 是不是也是這樣的
[00:02:04 - 00:02:06] 你已經要不住這個社會了對吧
[00:02:06 - 00:02:07] 你在社會裡面你是一個學生
[00:02:07 - 00:02:08] 你進入這個社會
[00:02:08 - 00:02:10] 你就是一個頂天頂地的男人了
[00:02:10 - 00:02:11] 做一個男人面試的時候
[00:02:11 - 00:02:13] 當然要穿海來之家
[00:02:13 - 00:02:15] 沒有沒有沒有
[00:02:15 - 00:02:22] 這個廣告座
[00:02:22 - 00:02:24] 對你做了五級房子
[00:02:24 - 00:02:25] 是不是
[00:02:26 - 00:02:27] 確實是這樣同學
[00:02:27 - 00:02:29] 你想你在社會裡面
[00:02:29 - 00:02:30] 你就是一個男學生對不對
[00:02:30 - 00:02:32] 你到這個時候你就這個男人的嘛
[00:02:32 - 00:02:32] 王老師
[00:02:32 - 00:02:35] 男人的標準是說海來之家嗎
[00:02:35 - 00:02:36] 男人的標準不是
[00:02:38 - 00:02:39] 不要開車
[00:02:39 - 00:02:40] 哈哈哈哈
[00:02:40 - 00:02:41] 張老師今天交給你
[00:02:41 - 00:02:43] 男人的標準就是要不要穿台南針迦
[00:02:43 - 00:02:44] 知道吧
[00:02:44 - 00:02:46] 選面試裝備來台南針迦
[00:02:46 - 00:02:47] 知道吧
[00:02:47 - 00:02:48] 然後同學你要注意
[00:02:48 - 00:02:49] 面試的時候呢
[00:02:49 - 00:02:51] 我們考驗面試的時候注意一點點啊
[00:02:51 - 00:02:52] 首先各位同學
[00:02:52 - 00:02:53] 第一點你一定要注意
[00:02:53 - 00:02:54] 你自己的心態的體育
[00:02:54 - 00:02:55] 知道吧
[00:02:55 - 00:02:56] 你不要太緊張
[00:02:56 - 00:02:57] 知道嗎
[00:02:57 - 00:02:58] 我發現很多人面試的時候
[00:02:58 - 00:02:59] 不知不覺對手打死的
[00:02:59 - 00:03:00] 是不是自己嚇死的
[00:03:00 - 00:03:01] 知道吧
[00:03:01 - 00:03:02] 等會兒會緊張
[00:03:02 - 00:03:03] 嘎嘎
[00:03:03 - 00:03:04] 知道吧
[00:03:04 - 00:03:05] 動物
[00:03:05 - 00:03:06] 嘎嘎伏進去
[00:03:06 - 00:03:07] 至於嗎
[00:03:07 - 00:03:08] 自信一些
[00:03:08 - 00:03:09] 对不对
[00:03:09 - 00:03:10] 首先同学
[00:03:10 - 00:03:11] 你的穿着上气势上
[00:03:11 - 00:03:12] 行凶抬头
[00:03:12 - 00:03:13] 明白吧
[00:03:13 - 00:03:14] 我建议大家
[00:03:14 - 00:03:15] 你们在考研复词的时候
[00:03:15 - 00:03:15] 一到怎么样
[00:03:15 - 00:03:16] 面试的时候
[00:03:16 - 00:03:17] 穿一身新衣服
[00:03:17 - 00:03:17] 知道吗
[00:03:17 - 00:03:19] 男同学女同学都是这样
[00:03:19 - 00:03:20] 穿一身新衣服
[00:03:20 - 00:03:21] 大家有没有最终感觉
[00:03:21 - 00:03:22] 就是当你们每次买卖一件
[00:03:22 - 00:03:24] 新衣服的时候
[00:03:24 - 00:03:26] 你第一次穿这件新衣服的时候
[00:03:26 - 00:03:27] 不由自己我会体会
[00:03:27 - 00:03:27] 抬头
[00:03:27 - 00:03:28] 有没有这种感觉
[00:03:28 - 00:03:29] 是不是
[00:03:29 - 00:03:31] 就自己不由自己我会自信
[00:03:31 - 00:03:32] 你比如说给大家
[00:03:32 - 00:03:33] 这是我心里去爱试的
[00:03:33 - 00:03:34] 知道吧
[00:03:34 - 00:03:35] 你不给大家举个例子
[00:03:35 - 00:03:36] 你们看我去做什么读了吗
[00:03:36 - 00:03:38] 看见我了吗
[00:03:38 - 00:03:41] 我在国庆情报地里边戏份还是比较多的
[00:03:41 - 00:03:42] 对不对
[00:03:42 - 00:03:43] 小片
[00:03:45 - 00:03:49] 确实除了那么高级的中底造工里我戏份是对国的吗
[00:03:49 - 00:03:51] 因为每一期我都要占取的情况
[00:03:51 - 00:03:52] 对不对
[00:03:52 - 00:03:53] 你们知道为什么我戏份比较多吗
[00:03:53 - 00:03:55] 因为我背了广告
[00:03:55 - 00:03:56] 因为我背了广告
[00:03:56 - 00:03:57] 因为我背了海奖的
[00:03:57 - 00:03:59] 但是这个话我每次站起来我都要说第一句话
[00:03:59 - 00:04:01] 作为海南最大的国民男同工
[00:04:01 - 00:04:02] 我都要说这句话
[00:04:02 - 00:04:03] 因为我背了广告
[00:04:03 - 00:04:04] 那我再给你一个问题
[00:04:04 - 00:04:06] 那我再给你一个问题
[00:04:06 - 00:04:08] 你们知道为什么海洋之家找我做什么吗
[00:04:08 - 00:04:10] 哎 你看
[00:04:10 - 00:04:13] 哎呦 你们那个情商嘛
[00:04:13 - 00:04:15] 绝对考研就没问题
[00:04:15 - 00:04:17] 知道吗 太大才小用了
[00:04:17 - 00:04:20] 知道吧 人和人真就不一样
[00:04:20 - 00:04:22] 知道吧 我上次的那个云南生发大学上学院讲座
[00:04:22 - 00:04:24] 我说你们知道为什么海洋之家找我做什么吗
[00:04:24 - 00:04:25] 一个同学说
[00:04:25 - 00:04:26] 不要钱
[00:04:30 - 00:04:32] 我跟你说 像你做什么人
[00:04:32 - 00:04:34] 电视剧都活不过三秒钟
[00:04:34 - 00:04:36] 也不是因为我帅哥的身材好
[00:04:38 - 00:04:39] 真的
[00:04:39 - 00:04:40] 你看我
[00:04:40 - 00:04:41] 真的一路我身材好
