BV号：BV17x411s7rv
标题：BV17x411s7rv
链接：https://www.bilibili.com/video/BV17x411s7rv
识别语言：zh
语言置信度：1
分段数：127
生成时间：2026-04-04 12:24:07

[00:00:00 - 00:00:01] 我是张雪峰老师
[00:00:02 - 00:00:04] 你干嘛来了
[00:00:04 - 00:00:04] 考研
[00:00:05 - 00:00:06] 可不能让你考
[00:00:07 - 00:00:07] 放车别走
[00:00:07 - 00:00:08] 为什么呀
[00:00:08 - 00:00:11] 是因为老师的人群中多看了你
[00:00:16 - 00:00:17] 我是一个准大医先生
[00:00:17 - 00:00:19] 将来不考研准的出国
[00:00:19 - 00:00:20] 怎样才能在大学期间
[00:00:20 - 00:00:22] 提高自己的英语口语水平呢
[00:00:23 - 00:00:24] 你不考研呢
[00:00:25 - 00:00:26] 你不考研你为啥来问我呀
[00:00:27 - 00:00:30] 我想跟这位准大医的同学说一下
[00:00:30 - 00:00:31] 这不管你是想工作
[00:00:31 - 00:00:32] 还是想出国
[00:00:32 - 00:00:33] 还是想考研
[00:00:33 - 00:00:35] 英语这个科目在大学期间
[00:00:35 - 00:00:36] 一定要学好
[00:00:36 - 00:00:38] 如果说你英语流利的话
[00:00:38 - 00:00:39] 你将来找工作
[00:00:39 - 00:00:40] 就有可能进入外资企业
[00:00:40 - 00:00:42] 很多外类企业的工作语言
[00:00:42 - 00:00:43] 就是英语
[00:00:43 - 00:00:45] 如果说你要考研的话
[00:00:45 - 00:00:46] 难得更不用说
[00:00:46 - 00:00:47] 考研你考所有的专业
[00:00:47 - 00:00:49] 英语是必考科目
[00:00:49 - 00:00:50] 而想出国的话
[00:00:50 - 00:00:51] 英语就更要学好了
[00:00:51 - 00:00:53] 只不过需要注意的是
[00:00:53 - 00:00:54] 不同的目的
[00:00:54 - 00:00:56] 你学英语的方向和策动点
[00:00:56 - 00:00:57] 它是不一样的
[00:00:57 - 00:00:58] 你比如说4、6级考试
[00:00:58 - 00:01:00] 它是一个只有大学上
[00:01:00 - 00:01:02] 才能考的一个英语等级考试
[00:01:02 - 00:01:04] 而考研就跟四六級不一樣
[00:01:04 - 00:01:06] 考研它並不考聽和口語
[00:01:06 - 00:01:09] 只要你單詞語法閱讀寫作沒問題
[00:01:09 - 00:01:10] 基本上你考研就沒有問題
[00:01:10 - 00:01:13] 如果說四六級考試是個三角形的話
[00:01:13 - 00:01:15] 考研它就是個語言
[00:01:15 - 00:01:17] 它考察的重點和形式還是有差別的
[00:01:17 - 00:01:20] 出國的話它要考雅詞或者託服
[00:01:20 - 00:01:24] 而雅詞託服考試注重的是英語的全面學習能力
[00:01:24 - 00:01:25] 包括聽說讀寫
[00:01:25 - 00:01:28] 在聽和說這個環節上給你幾點建議
[00:01:28 - 00:01:31] 首先的就是大學都有些英語教
[00:01:31 - 00:01:32] 对吧,每个大学都运运着
[00:01:32 - 00:01:36] 诶,这个呢,你平时呢,可以去找一些同学呢,练一练
[00:01:36 - 00:01:39] 对不对,说不定还认识个,是吧,找个女朋友什么的,对吧
[00:01:39 - 00:01:43] 其次的话呢,就是最好能跟学校的外国旅游生呢,诶,交交朋友
[00:01:43 - 00:01:45] 对不对,也锻炼一下自己的口语嘛,对不对
[00:01:45 - 00:01:50] 那么也可以去一些旅行社,去面试一些在外国旅行团的兼职
[00:01:50 - 00:01:51] 马云当年就是那么练口语的
[00:01:51 - 00:01:57] 再不计,再不计的方法呢,就是可以抱一些网上的外教的一对一的口语课程
[00:01:57 - 00:01:58] 这个还是比较方便的哈
[00:01:58 - 00:02:02] 比如说我身边很多要练习英语听力和口语的朋友
[00:02:02 - 00:02:06] 都在用这个伴语APP来练习他们的听力和口语
[00:02:06 - 00:02:07] 那么大家在找外教的时候
[00:02:07 - 00:02:09] 就是你上这种APP肯定有外教嘛
[00:02:09 - 00:02:10] 对吧
[00:02:10 - 00:02:11] 在找外教的时候一定要注意一下
[00:02:11 - 00:02:14] 就是尽量找一些欧美国家的外教
[00:02:14 - 00:02:16] 否则你这个会有一定口音的
[00:02:16 - 00:02:20] 你比如说我不知道大家有没有看过那种原生的印度电影
[00:02:20 - 00:02:22] 他们的英语说的就非常的奇怪
[00:02:22 - 00:02:24] 基本上你是听不懂的
[00:02:24 - 00:02:26] 英国还有个地方叫做苏格兰
[00:02:26 - 00:02:27] 他们的那个农村英语啊
[00:02:27 - 00:02:29] 也是基本上挺不懂的
[00:02:29 - 00:02:30] 这个口音啊
[00:02:30 - 00:02:31] 这就跟我们普通话
[00:02:31 - 00:02:32] 它有方言有口音
[00:02:32 - 00:02:33] 它是一个道理
[00:02:33 - 00:02:35] 那如果说你要找个日本人教你英语的话
[00:02:35 - 00:02:36] 那就更完蛋了
[00:02:36 - 00:02:38] 但舌头都履不值你知道吧
[00:02:38 - 00:02:39] 比如计算机
[00:02:39 - 00:02:41] 我们都知道英语计算机
[00:02:41 - 00:02:42] computer嘛对吧
[00:02:42 - 00:02:44] 但是日本人因为他舌头履不值
[00:02:44 - 00:02:45] 他读出来的就比较怪
[00:02:45 - 00:02:46] 他读的什么叫computer
[00:02:46 - 00:02:47] computer
[00:02:47 - 00:02:49] 大家个口音特别的奇怪你知道吧
[00:02:49 - 00:02:51] 就是现在这种外交一对一对口语的
[00:02:51 - 00:02:52] 很多APP用的都是什么
[00:02:52 - 00:02:54] 菲律宾人哪印度人
[00:02:54 - 00:02:56] 我跟你说你要跟他学口语
[00:02:56 - 00:02:58] 你学的就是第三世界国家的一种
[00:02:58 - 00:02:58] 知道吧
[00:02:58 - 00:03:01] 而我身边很多朋友选择用这个呢
[00:03:01 - 00:03:02] 就是因为在半月APP上
[00:03:02 - 00:03:03] 很多老师呢
[00:03:03 - 00:03:04] 就是大多数的老师
[00:03:04 - 00:03:07] 基本上都是那些纯粹的欧美国家的老师
[00:03:07 - 00:03:08] 知道吧
[00:03:08 - 00:03:09] 而且的这种APP
[00:03:09 - 00:03:10] 还有个很大的特点就是
[00:03:10 - 00:03:12] 你可以随时随地的学
[00:03:12 - 00:03:13] 这就是互联网
[00:03:13 - 00:03:14] 它可以带给我们的好处
[00:03:14 - 00:03:16] 尤其是适合什么样的人
[00:03:16 - 00:03:19] 适合那些本来你的学校就比较偏远
[00:03:19 - 00:03:21] 或者说你所处的地方比较偏远
[00:03:21 - 00:03:21] 是吧
[00:03:21 - 00:03:23] 在在在经济不发达的地方
[00:03:23 - 00:03:25] 你说你要是练口语的话
[00:03:25 - 00:03:27] 你倒想找外国人练了
[00:03:27 - 00:03:28] 大街上哪有
[00:03:28 - 00:03:30] 你在大街上在人物哪一类也见不到一个老外
[00:03:30 - 00:03:33] 但是用这种APP的话就比较方便
[00:03:33 - 00:03:35] 当然我也希望这位同学
[00:03:35 - 00:03:36] 你不准大一吗
[00:03:36 - 00:03:38] 你咋就不考虑一下国内的研究生呢
[00:03:38 - 00:03:39] 对不对
[00:03:39 - 00:03:41] 你们年轻人的想法一天一遍
[00:03:41 - 00:03:43] 这想法换得比内裤还勤
[00:03:43 - 00:03:43] 对吧
[00:03:43 - 00:03:45] 报口工内的研究生的话
[00:03:45 - 00:03:46] 张老师可以带你那啥带你飞
[00:03:46 - 00:03:47] 对不对
[00:03:47 - 00:03:48] 卡曼北别来自购
[00:03:48 - 00:03:50] 希望我给你的建议能对你有帮助
[00:03:50 - 00:03:51] 好不好
