BV号：BV18E41117wY
标题：BV18E41117wY
链接：https://www.bilibili.com/video/BV18E41117wY
识别语言：zh
语言置信度：1
分段数：398
生成时间：2026-04-04 06:01:53

[00:00:02 - 00:00:04] 你看咱们这个花室来经兵远离啊
[00:00:04 - 00:00:08] 咱们平时的左速是什么样的
[00:00:08 - 00:00:09] 这这是商业经历啊
[00:00:09 - 00:00:11] 就是很倒霉的一天
[00:00:11 - 00:00:13] 我也不知道我们为什么要去演这一场
[00:00:13 - 00:00:17] 我们在央视的1号演摩厅里整整待了一个月
[00:00:17 - 00:00:18] 这也是我这价钱的
[00:00:18 - 00:00:21] 张老师要是请我们去的话我们就不要钱
[00:00:23 - 00:00:24] 这个我可记住了啊
[00:00:24 - 00:00:26] 这言个正传啊
[00:00:39 - 00:00:39] 大家好
[00:00:39 - 00:00:42] 欢迎收看小型杜V 脱口秀大开眼界
[00:00:42 - 00:00:45] 我是让学习变得更快乐的张雪锋老师
[00:00:45 - 00:00:49] 我们今天请到的嘉宾的依然是我们JS花式篮球辩认队的王丁老师
[00:00:49 - 00:00:50] 王老师跟大家打个招呼
[00:00:50 - 00:00:51] 哈喽大家好
[00:00:51 - 00:00:54] 王老师我特别有一点就是我很好奇
[00:00:54 - 00:00:57] 我这个人就是就好奇的点跟别人可能不太一样
[00:00:57 - 00:01:01] 就是你看咱们这个花式篮球辩认队
[00:01:01 - 00:01:04] 咱们平时的着输入是什么样的呢
[00:01:06 - 00:01:08] 我们平时还是主要以表演
[00:01:08 - 00:01:09] 对
[00:01:09 - 00:01:13] 和一些这个比赛当中的一些其他的服务
[00:01:13 - 00:01:17] 通过这个两方面来去实现我们的收入
[00:01:17 - 00:01:18] 照你这么说的话
[00:01:18 - 00:01:19] 你看一个是表演
[00:01:19 - 00:01:21] 一个是比赛当中的一些支持服务
[00:01:21 - 00:01:21] 对
[00:01:21 - 00:01:23] 大多数的对人是两个
[00:01:23 - 00:01:24] 多少兼职吗
[00:01:24 - 00:01:26] 还是说表演就是表演
[00:01:26 - 00:01:27] 你服务就是服务
[00:01:27 - 00:01:29] 表演队和我们赛事服务的团队
[00:01:29 - 00:01:31] 其实基本上是分开的
[00:01:31 - 00:01:32] 分开的是吧
[00:01:32 - 00:01:34] 那哪个手务高一点
[00:01:34 - 00:01:38] 表演队别看是很光鲜亮丽
[00:01:38 - 00:01:40] 但是实际上表演队的收入
[00:01:40 - 00:01:41] 并没有我们去
[00:01:41 - 00:01:42] 想象的
[00:01:42 - 00:01:43] 对
[00:01:43 - 00:01:45] 并没有我们去做一些赛事高
[00:01:45 - 00:01:47] 因为就好比我们的表演呢
[00:01:47 - 00:01:51] 实际上就是这个一桌菜里边一盘菜
[00:01:51 - 00:01:52] 但是呢
[00:01:52 - 00:01:55] 我们的赛事执行这一块可能是我们要去做这一桌菜
[00:01:55 - 00:01:57] 就呃
[00:01:57 - 00:01:59] 我们把整个的活动全部拿过来
[00:01:59 - 00:02:02] 然后表演其实只是其中的一个部分
[00:02:02 - 00:02:04] 对我帮你拉一拉
[00:02:04 - 00:02:05] 舒服啊
[00:02:05 - 00:02:06] 哈哈哈哈
[00:02:06 - 00:02:08] 这这是商业经历啊
[00:02:08 - 00:02:10] 不不不这张华先生的经历统统还是可以的啊
[00:02:10 - 00:02:14] 你看现在我们节目播出的时候
[00:02:14 - 00:02:16] 很多公司都要准备年会了
[00:02:16 - 00:02:18] 对吧
[00:02:18 - 00:02:19] 这个又上过春晚
[00:02:19 - 00:02:21] 又上过CBA赛场的
[00:02:21 - 00:02:22] 对不对
[00:02:22 - 00:02:24] 那如果说公司年会
[00:02:24 - 00:02:26] 想请你们去给做个表演
[00:02:26 - 00:02:26] 什么的
[00:02:26 - 00:02:27] 这个能实现吗
[00:02:27 - 00:02:28] 当然能实现
[00:02:28 - 00:02:29] 可以实现
[00:02:29 - 00:02:31] 我就觉得每次我们要是春晚的时候
[00:02:31 - 00:02:32] 他那个篮球架的
[00:02:32 - 00:02:33] 搭搭搭
[00:02:33 - 00:02:34] 搭多长时间
[00:02:34 - 00:02:36] 那个都是现成的
[00:02:36 - 00:02:38] 就是人把它扛上去
[00:02:38 - 00:02:40] 放到那演完了之后
[00:02:40 - 00:02:41] 再扛下去就可以了
[00:02:41 - 00:02:42] 如果前女嘉宾这个
[00:02:42 - 00:02:43] 得去表演的话
[00:02:43 - 00:02:44] 大概
[00:02:44 - 00:02:44] 划多少钱
[00:02:44 - 00:02:45] 我们
[00:02:45 - 00:02:46] 这个也是说
[00:02:46 - 00:02:47] 说个时代价
[00:02:47 - 00:02:48] 因为这个看我们这个视频
[00:02:48 - 00:02:49] 还有很多
[00:02:49 - 00:02:50] 社会上的
[00:02:50 - 00:02:51] 因为我不光是
[00:02:51 - 00:02:51] 考研老师
[00:02:51 - 00:02:53] 可能还有很多社会上的人来看
[00:02:53 - 00:02:55] 他们想请你们去表演
[00:02:55 - 00:02:56] 说个时代价
[00:02:56 - 00:02:57] 钱一场多少钱
[00:02:57 - 00:02:59] 当老师要是请我们去的话
[00:02:59 - 00:03:00] 我们就不要钱
[00:03:02 - 00:03:03] 这个我可记住了
[00:03:03 - 00:03:05] 这个是完全没有问题
[00:03:05 - 00:03:06] 这个我记住了
[00:03:06 - 00:03:06] 两个正愿
[00:03:06 - 00:03:07] 好好好
[00:03:07 - 00:03:09] 我们正常的价格
[00:03:09 - 00:03:11] 大概在5万块钱左右一场
[00:03:11 - 00:03:11] 5万块钱一场
[00:03:11 - 00:03:12] 多长时间呢
[00:03:12 - 00:03:13] 嗯
[00:03:13 - 00:03:14] 不一样
[00:03:14 - 00:03:17] 就是最长的可能在20分钟的半个小时
[00:03:17 - 00:03:20] 有的一些正规的篮球比赛中场
[00:03:20 - 00:03:21] 它最多就10分钟
[00:03:21 - 00:03:23] 可能我们有演到5到7分钟
[00:03:23 - 00:03:25] 还要包含球员上下场这样的时间
[00:03:25 - 00:03:26] 对
[00:03:26 - 00:03:28] 基本上就是长一点或者短一点
[00:03:28 - 00:03:29] 都是这样的一个价格
[00:03:29 - 00:03:30] 哦
[00:03:30 - 00:03:32] 因为我们其实卖的是节目
[00:03:32 - 00:03:34] 你说这个我突然想起来个事啊
[00:03:34 - 00:03:36] 你看这个CBA篮球比赛一打的时候
[00:03:36 - 00:03:37] 经常是属于那种就是
[00:03:37 - 00:03:39] 比如说他比赛日
[00:03:39 - 00:03:40] 现在好像好多了
[00:03:40 - 00:03:42] 原来好像就是同一个比赛日的时候
[00:03:42 - 00:03:43] 好几场比赛
[00:03:43 - 00:03:44] 对
[00:03:44 - 00:03:46] 你们人手会不会有不过的能量
[00:03:46 - 00:03:48] 这种情况下我们会分成好几个队
[00:03:48 - 00:03:50] 因为我们有好几套设备
[00:03:50 - 00:03:51] 好几组队员
[00:03:51 - 00:03:56] 然后原来现在这个时代已经区别于我们这个
[00:03:56 - 00:03:58] 刚刚开始去组建团队的那会
[00:03:58 - 00:03:59] 我们进步了
[00:03:59 - 00:04:04] 我们现在有5套奉床和电子的这个设备
[00:04:04 - 00:04:08] 最多的时候我们可以分成了五波队员去到各个地方去演
[00:04:08 - 00:04:10] 马上你看CBA又要开打了
[00:04:10 - 00:04:11] 对吧
[00:04:11 - 00:04:15] 你们对今年的CBA的比赛表演有没有新的节目
[00:04:15 - 00:04:19] 我们今年设计了一些不同的主题
[00:04:19 - 00:04:21] 主题不同
[00:04:21 - 00:04:22] 我以为动作不同
[00:04:22 - 00:04:24] 比如说从关注型那边跑下来
[00:04:24 - 00:04:25] 然后放上从后边
[00:04:25 - 00:04:25] 吧
[00:04:25 - 00:04:29] 然后您说的就太夸张了
[00:04:29 - 00:04:31] 什么主题
[00:04:31 - 00:04:36] 比如说就是像我们之前用过的
[00:04:36 - 00:04:38] 副手者联盟的主题
[00:04:38 - 00:04:41] 大家可以靠扩类一些超级英雄
[00:04:41 - 00:04:43] 然后包括我们用的西游记主题
[00:04:43 - 00:04:45] 就是这个师徒几人
[00:04:45 - 00:04:48] 包括一些妖魔鬼怪的这种感觉
[00:04:48 - 00:04:51] 然后在上面去做一些这种情景的扮演
[00:04:51 - 00:04:52] 对
[00:04:52 - 00:04:53] 然后还有就是我们队员
[00:04:53 - 00:04:54] 平时也会学一些舞蹈
[00:04:54 - 00:04:56] 学一些武术
[00:04:56 - 00:04:58] 比如说类似双劫棍
[00:04:58 - 00:05:02] 我们这种刀枪见棍的这样的一些道具
[00:05:02 - 00:05:03] 然后上去呢
[00:05:03 - 00:05:05] 出场的时候可以有不一样的亮相
[00:05:06 - 00:05:08] 对这些都是可以穿插到我们
[00:05:09 - 00:05:10] 表演的功夫
[00:05:10 - 00:05:11] 我帮你设计
[00:05:11 - 00:05:12] 帮你设计一个虎牙操
[00:05:13 - 00:05:15] 那得七个队员
[00:05:16 - 00:05:16] 八个
[00:05:16 - 00:05:18] 还有一个爷爷
[00:05:18 - 00:05:19] 这七个虎牙
[00:05:19 - 00:05:19] 你一个一个蹦
[00:05:19 - 00:05:20] 爷爷最牛逼
[00:05:20 - 00:05:21] 这爷爷
[00:05:21 - 00:05:22] 他怎么能立的
[00:05:22 - 00:05:23] 爷爷那个动作最划手
[00:05:23 - 00:05:24] 这个
[00:05:24 - 00:05:25] 到时候你设计完这个以后
[00:05:25 - 00:05:26] 你不要这个主题
[00:05:26 - 00:05:27] 你过来就知道了
[00:05:28 - 00:05:29] 反前辈
[00:05:29 - 00:05:30] 这我给你设计出来的
[00:05:30 - 00:05:31] 好没问题
[00:05:31 - 00:05:32] 我们可以尝试一下
[00:05:32 - 00:05:33] 是吧
[00:05:33 - 00:05:34] 这就是一个很好的
[00:05:34 - 00:05:34] 对
[00:05:34 - 00:05:37] 你像你们表演这么多次的
[00:05:37 - 00:05:38] 这个二表
[00:05:38 - 00:05:39] 有没有什么比较难忘的表演
[00:05:39 - 00:05:41] 最难忘的一场表演
[00:05:41 - 00:05:43] 最难忘的一场表演
[00:05:44 - 00:05:46] 就是我们有很多难忘的表演
[00:05:46 - 00:05:48] 然后这里边也说不上是罪
[00:05:48 - 00:05:50] 但是我可以给您说几个
[00:05:50 - 00:05:51] 好
[00:05:51 - 00:05:53] 然后就是彩排时间最长
[00:05:53 - 00:05:55] 我给您说两个
[00:05:55 - 00:05:58] 第一个是19年的春晚
[00:05:58 - 00:06:02] 我们在央视的一号演播厅里整整待了一个月
[00:06:02 - 00:06:04] 每天早晨去
[00:06:04 - 00:06:06] 半夜两三点钟回来
[00:06:06 - 00:06:09] 别的节目不排除就排你们一个节目
[00:06:09 - 00:06:11] 就是因为所有的节目都排
[00:06:11 - 00:06:12] 在你那个时间段
[00:06:12 - 00:06:15] 你上去排两个小时
[00:06:15 - 00:06:17] 然后当你那个时间到过了之后
[00:06:17 - 00:06:18] 你到休息区
[00:06:18 - 00:06:20] 然后还要再去打磨一些戏剧
[00:06:20 - 00:06:21] 对对对
[00:06:21 - 00:06:25] 就是咱的这个央视这个演播厅
[00:06:25 - 00:06:26] 环郎 舞台
[00:06:26 - 00:06:28] 我们就是炮了一个月
[00:06:28 - 00:06:29] 你们那个节目当时是几十秒
[00:06:29 - 00:06:32] 我们那个节目是4分04秒
[00:06:32 - 00:06:33] 卡到鸟
[00:06:33 - 00:06:34] 对
[00:06:34 - 00:06:35] 因为它是一首歌
[00:06:35 - 00:06:37] 然后这首歌开始唱
[00:06:37 - 00:06:38] 我们就出
[00:06:38 - 00:06:39] 唱完了我们就收
[00:06:39 - 00:06:43] 那你们还不能说跑快了跑慢了
[00:06:43 - 00:06:43] 对吧
[00:06:43 - 00:06:44] 对
[00:06:44 - 00:06:45] 要反复地去彩排
[00:06:45 - 00:06:46] 在每一个节拍
[00:06:46 - 00:06:48] 每一个节点上面
[00:06:48 - 00:06:48] 我们都要去控制
[00:06:48 - 00:06:50] 就跟我们跑步彩那个节点
[00:06:50 - 00:06:51] 彩的不点
[00:06:51 - 00:06:52] 差不多是一样的
[00:06:52 - 00:06:52] 对
[00:06:52 - 00:06:53] 所以在里边炮了一个月
[00:06:53 - 00:06:57] 我真的给我们都熬过来了
[00:06:57 - 00:06:57] 是吧
[00:06:57 - 00:06:58] 而且在这个工程中
[00:06:58 - 00:06:59] 我们还有队员受伤
[00:06:59 - 00:07:01] 我们还要临时地从
[00:07:01 - 00:07:01] 换队员
[00:07:01 - 00:07:02] 换队员
[00:07:02 - 00:07:02] 对
[00:07:02 - 00:07:04] 因为春节期间
[00:07:04 - 00:07:05] 含家期间
[00:07:05 - 00:07:07] 有的队员很多都回家了
[00:07:07 - 00:07:07] 对
[00:07:07 - 00:07:09] 反正这个春晚
[00:07:09 - 00:07:11] 是我们很难忘的一段
[00:07:11 - 00:07:12] 这是彩排最长的
[00:07:12 - 00:07:12] 还有呢
[00:07:12 - 00:07:15] 还有就是人数最多的
[00:07:15 - 00:07:16] 人数最多
[00:07:16 - 00:07:16] 对
[00:07:16 - 00:07:17] 人数最多的
[00:07:17 - 00:07:18] 全公司都上
[00:07:18 - 00:07:20] 人不够大型拉两款
[00:07:20 - 00:07:20] 人数最多
[00:07:20 - 00:07:23] 我们有一次在CBA的主场
[00:07:23 - 00:07:25] 他是北京的德比
[00:07:25 - 00:07:27] 首刚对北控
[00:07:27 - 00:07:30] 然后当时我们融入了一些跑酷的元素
[00:07:30 - 00:07:32] 融入了一些舞蹈的元素
[00:07:32 - 00:07:34] 再加上我们的报讯扣篮
[00:07:34 - 00:07:35] 还有一些武术
[00:07:35 - 00:07:39] 然后大概上了22个人
[00:07:39 - 00:07:41] 做了一个七分钟的节目
[00:07:41 - 00:07:43] 是不是这家前呢
[00:07:43 - 00:07:46] 这个人家说了你不演就拉倒
[00:07:46 - 00:07:48] 哈哈
[00:07:48 - 00:07:50] 但是你为啥给他整个22个人呢
[00:07:50 - 00:07:51] 俩人就完了吗
[00:07:51 - 00:07:53] 其实我们也是想突破自己
[00:07:53 - 00:07:55] 有的时候也并不是为了挣钱
[00:07:55 - 00:07:58] 因为本身我们玩这个东西最早还是想
[00:07:58 - 00:07:59] 就是好玩
[00:07:59 - 00:08:03] 还是想更多的是满足于我们这种小朋友
[00:08:03 - 00:08:04] 虽然我已经30岁了
[00:08:04 - 00:08:06] 就是我们这个小朋友
[00:08:07 - 00:08:10] 去对篮球对于你的表演
[00:08:11 - 00:08:12] 自己也好
[00:08:12 - 00:08:14] 或者是传递给观众的这种快乐
[00:08:15 - 00:08:16] 其实这个其实是我们的初心了
[00:08:16 - 00:08:19] 我觉得就是我们其实遇到很多好的舞台
[00:08:19 - 00:08:21] 好的机会的时候
[00:08:21 - 00:08:23] 我们就想把节目做好一点
[00:08:23 - 00:08:23] 对
[00:08:23 - 00:08:25] 所以说有些时候我们不管是各行各业
[00:08:25 - 00:08:28] 叫什么叫干一行爱一行
[00:08:28 - 00:08:30] 有些人他做不到货目的发字
[00:08:30 - 00:08:32] 他只做到了干一行
[00:08:32 - 00:08:34] 他没有爱一行
[00:08:34 - 00:08:35] 如果说你真的爱一行的话
[00:08:35 - 00:08:36] 即使需要你所说的话
[00:08:36 - 00:08:37] 他不加钱
[00:08:37 - 00:08:39] 咱给他该创新
[00:08:39 - 00:08:39] 是
[00:08:39 - 00:08:41] 该往好脸往好脸
[00:08:41 - 00:08:42] 该突破自己突破自己
[00:08:42 - 00:08:43] 对不对
[00:08:43 - 00:08:44] 那还有没有什么难忘的一些
[00:08:44 - 00:08:46] 表演姐姐除了春暖和CV
[00:08:46 - 00:08:50] 还有一个是我们受伤最多的一次
[00:08:51 - 00:08:54] 我们一共去了七个队员演出
[00:08:54 - 00:08:56] 在同一场表演上面
[00:08:56 - 00:08:57] 我们收上了三个队员
[00:08:57 - 00:08:59] 我哪儿这么倒霉啊
[00:08:59 - 00:09:01] 就是很倒霉的一天
[00:09:01 - 00:09:03] 我也不知道我们为什么要去演这一场
[00:09:03 - 00:09:04] 然后就是有一次
[00:09:04 - 00:09:06] 是是是是CBA主动比赛还是
[00:09:06 - 00:09:07] 不是不是
[00:09:07 - 00:09:10] 是在我们去一个大学高校里边
[00:09:10 - 00:09:11] 我们做的一个校园型的活动
[00:09:11 - 00:09:14] 就是我们的《崩潮靠篮》
[00:09:14 - 00:09:16] 我们的花拙篮球走进大学校园
[00:09:16 - 00:09:17] 这样的一个活动里边
[00:09:17 - 00:09:20] 可能大家感受到了我们这个
[00:09:20 - 00:09:22] 就是那次学校学生的热情
[00:09:22 - 00:09:25] 就是其实也自己很嗨
[00:09:25 - 00:09:27] 然后可能有点扣的用力过猛
[00:09:27 - 00:09:29] 然后有一个队员
[00:09:29 - 00:09:31] 磕到了篮框上面把眉骨磕开了
[00:09:31 - 00:09:32] 哎呦
[00:09:32 - 00:09:32] 对
[00:09:32 - 00:09:33] 有一个队员
[00:09:33 - 00:09:34] 哥不幸就被我说中了
[00:09:34 - 00:09:35] 就挂到篮框上了
[00:09:35 - 00:09:35] 对
[00:09:35 - 00:09:37] 有一队员哥不拖救了
[00:09:37 - 00:09:40] 就是这个肘的一块拖救了
[00:09:40 - 00:09:41] 然后还有队员扣篮的时候
[00:09:41 - 00:09:44] 这小拇指直接反关机
[00:09:44 - 00:09:46] 掰过来了
[00:09:46 - 00:09:47] 然后这是
[00:09:47 - 00:09:51] 相继陆续的受伤了
[00:09:51 - 00:09:53] 你下次去这种学校带我去
[00:09:53 - 00:09:54] 知道了吧
[00:09:54 - 00:09:55] 你要瞧瞧的
[00:09:55 - 00:09:55] 该鼓掌
[00:09:55 - 00:09:56] 该喝彩
[00:09:56 - 00:09:57] 不要发出太大的声音
[00:09:57 - 00:09:58] 否则都来口言
[00:09:58 - 00:10:00] 是吧
[00:10:00 - 00:10:01] 对
[00:10:01 - 00:10:04] 因为我个人其实是比较喜欢看足球的
[00:10:04 - 00:10:06] 我就发现国外的这种穷命文化
[00:10:06 - 00:10:10] 可能是我们中国穷命文化可能要学习的
[00:10:10 - 00:10:12] 比如说像国外经常有这种
[00:10:12 - 00:10:14] 比如说这个俱乐部的一个很工学
[00:10:14 - 00:10:16] 因为可能中国的联赛时间也没有那么长
[00:10:16 - 00:10:17] 对不对
[00:10:17 - 00:10:18] 然后很公选什么
[00:10:18 - 00:10:19] 全部像球衣退役
[00:10:19 - 00:10:20] 对不对
[00:10:20 - 00:10:21] 这就是咱俩就很常见的
[00:10:21 - 00:10:22] 包括足球人一种球衣退役
[00:10:22 - 00:10:23] 然后包括说
[00:10:23 - 00:10:25] 可能哪一个民宿
[00:10:25 - 00:10:26] 去世了
[00:10:26 - 00:10:26] 比如说他
