BV号：BV18R4y1r7n4
标题：BV18R4y1r7n4
链接：https://www.bilibili.com/video/BV18R4y1r7n4
识别语言：zh
语言置信度：1
分段数：75
生成时间：2026-04-03 16:46:55

[00:00:00 - 00:00:04] 外語類專業能報的院校主要分成以下咱們幾種
[00:00:04 - 00:00:06] 第一種的話叫純粹外國語大學
[00:00:06 - 00:00:07] 就是各種外 各種外
[00:00:07 - 00:00:08] 這麼把北外上外 各種外
[00:00:08 - 00:00:09] 這是第一種院校
[00:00:09 - 00:00:11] 然後第二種院校的話
[00:00:11 - 00:00:12] 就是各種師範大學也會有
[00:00:12 - 00:00:13] 第三種院校的話
[00:00:13 - 00:00:15] 就是各種各樣的財經類高校
[00:00:15 - 00:00:17] 第四種院校的話就是985高校
[00:00:17 - 00:00:19] 它雖然它不都是外語學校
[00:00:19 - 00:00:20] 但是它有外語專業
[00:00:20 - 00:00:21] 第五類院校的話
[00:00:21 - 00:00:23] 是那種專業類院校
[00:00:23 - 00:00:25] 比如說你在這種學校的名字
[00:00:25 - 00:00:27] 就能知道它最好的專業是什麼
[00:00:27 - 00:00:28] 比如像中國十五大學
[00:00:28 - 00:00:29] 某某一科大学
[00:00:29 - 00:00:31] 就是你看他的名字就知道他是干啥的
[00:00:31 - 00:00:33] 然后第六类是其他学校
[00:00:33 - 00:00:37] 这六类高校对应了未来六类不懂的就业状况
[00:00:37 - 00:00:40] 首先第一类高校纯粹的外国语类高校
[00:00:40 - 00:00:42] 外国语类高校将来干的工作
[00:00:42 - 00:00:45] 大概率是跟你的外语专业有关系的
[00:00:45 - 00:00:47] 一个企业到一个外国语大学照片
[00:00:47 - 00:00:49] 它肯定是看中了这个学校学生的外语能力
[00:00:49 - 00:00:51] 大概率你把外国语类高校
[00:00:51 - 00:00:54] 很有可能干的是跟外语有关的工作
[00:00:54 - 00:00:55] 第二类师范大学
[00:00:55 - 00:00:56] 你一看就知道了
[00:00:56 - 00:00:57] 你报警同院校
[00:00:57 - 00:00:59] 英语专业大概率也就是老师
[00:00:59 - 00:01:02] 第三类财经高校财经高校主要干的是商务英语
[00:01:02 - 00:01:04] 商务外语 商务翻译
[00:01:04 - 00:01:06] 但是你要想一想还需要吗
[00:01:06 - 00:01:11] 如果说你在上个世纪九十年代外语人才仅缺的情况下
[00:01:11 - 00:01:13] 我们做对外贸易
[00:01:13 - 00:01:15] 我们没有那么多英语的人才
[00:01:15 - 00:01:16] 没有那么多外语的人才
[00:01:16 - 00:01:18] 我需要一个商务翻译
[00:01:18 - 00:01:21] 但是现在这个社会还需要吗
[00:01:21 - 00:01:22] 你要想清楚
[00:01:22 - 00:01:24] 第四类985高校
[00:01:24 - 00:01:28] 它主要是到外企做一些专业壁垒高的工作
[00:01:28 - 00:01:30] 比如像外企的行政
[00:01:30 - 00:01:32] 外企的销售都是这一种
[00:01:32 - 00:01:34] 因为这种外企的话
[00:01:34 - 00:01:36] 它的工作语言就是小语证
[00:01:36 - 00:01:38] 它发油价
[00:01:38 - 00:01:40] 它工作语言就是外语
[00:01:40 - 00:01:43] 那么你本身有外语专项
[00:01:43 - 00:01:46] 你就可以干一些所谓的没有门槛的工作
[00:01:46 - 00:01:46] 比如像销售
[00:01:46 - 00:01:49] 因为如果说我招立一个销售
[00:01:49 - 00:01:50] 它外语能力不行
[00:01:50 - 00:01:52] 我工作语言是外语
[00:01:52 - 00:01:53] 他語言能力不行
[00:01:53 - 00:01:54] 我發郵件他都看不懂
[00:01:54 - 00:01:55] 所以說
[00:01:55 - 00:01:56] 銷售是沒有門檻的
[00:01:56 - 00:01:57] 行政是沒有門檻的
[00:01:57 - 00:01:59] 為了滿足我工作語言的要求
[00:01:59 - 00:02:01] 我會召一些酒吧母高校
[00:02:01 - 00:02:02] 學校黨是夠
[00:02:02 - 00:02:03] 語言官是能過的
[00:02:03 - 00:02:03] 這一類
[00:02:03 - 00:02:05] 第五類高校專業行院校
[00:02:05 - 00:02:07] 它主要做專業翻譯的
[00:02:07 - 00:02:08] 比如中國石油大學
[00:02:08 - 00:02:10] 它的英語叫做能源英語
[00:02:10 - 00:02:12] 中國伊克大學的英語叫做醫學英語
[00:02:12 - 00:02:13] 它學的這種東西
[00:02:13 - 00:02:15] 跟別人學的都不一樣
[00:02:15 - 00:02:16] 第六類高校
[00:02:16 - 00:02:17] 普通高校
