BV号：BV18W411H7nj
标题：BV18W411H7nj
链接：https://www.bilibili.com/video/BV18W411H7nj
识别语言：zh
语言置信度：1
分段数：564
生成时间：2026-04-04 11:45:26

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:03 - 00:00:21] 第一点
[00:00:21 - 00:00:23] 就是医学在选择院校的时候地域放在第一位
[00:00:23 - 00:00:24] 第二点
[00:00:24 - 00:00:26] 就是关于学校的介绍
[00:00:26 - 00:00:27] 因为医学呢
[00:00:27 - 00:00:29] 我们可以把所有的学校给分成两类
[00:00:29 - 00:00:30] 一类是自主化学院校
[00:00:30 - 00:00:32] 一类是非自主化学院校
[00:00:32 - 00:00:34] 因为大家知道在我们考研当中有一个
[00:00:34 - 00:00:37] 有一个非常有意思的一个学校的组群
[00:00:37 - 00:00:37] 叫做
[00:00:37 - 00:00:40] 三十四所自主化学院校
[00:00:40 - 00:00:43] 那么如果说你不考这三十四所自主化学院校
[00:00:43 - 00:00:45] 那么你的医学的分数线
[00:00:45 - 00:00:46] 英语的分数线
[00:00:46 - 00:00:48] 一般不会超过40分
[00:00:48 - 00:00:50] 但如果说你要考34所自主化学人校的话
[00:00:50 - 00:00:53] 那么你的医学英语的分数线一般最低是50分
[00:00:53 - 00:00:55] 也就是如果你要考34所的话
[00:00:55 - 00:00:57] 你相当于给你自己的英语
[00:00:57 - 00:00:58] 怎么说呢
[00:00:58 - 00:01:00] 也不能说挖了个大坑吧
[00:01:00 - 00:01:01] 反正就是要求稍微高一些
[00:01:01 - 00:01:04] 那么你找老师哪些学校医学是自主化学
[00:01:04 - 00:01:06] 哪些学校医学不是自主化学
[00:01:06 - 00:01:09] 咱们用下边的时间给大家来讲一讲
[00:01:09 - 00:01:10] 医学的一些院校
[00:01:10 - 00:01:13] 顺便也给大家做一些医学的一些院校的一个推荐
[00:01:13 - 00:01:14] 中国的34所自主化学院校
[00:01:14 - 00:01:15] 一共有34个
[00:01:15 - 00:01:17] 这34个学校分别是
[00:01:18 - 00:01:18] 北京有7个
[00:01:18 - 00:01:19] 分别是清华北大
[00:01:19 - 00:01:20] 人大
[00:01:20 - 00:01:20] 北市大
[00:01:20 - 00:01:21] 北行北理工
[00:01:21 - 00:01:21] 和中国
[00:01:21 - 00:01:22] 农业大学
[00:01:22 - 00:01:23] 那么有医学的
[00:01:23 - 00:01:23] 只有两个
[00:01:23 - 00:01:25] 是清华和北大
[00:01:25 - 00:01:26] 是清华和北大
[00:01:26 - 00:01:28] 清华北大是有医学的
[00:01:28 - 00:01:29] 其他学校都没有医学
[00:01:29 - 00:01:30] 那老师这个我都知道
[00:01:30 - 00:01:31] 那老师那北京还有没有什么
[00:01:31 - 00:01:33] 其他的医学院学校可以给我选择
[00:01:33 - 00:01:35] 那么北京除了清华北大
[00:01:35 - 00:01:36] 这两个学校34所
[00:01:36 - 00:01:37] 他要英语50分以上
[00:01:37 - 00:01:38] 以外
[00:01:38 - 00:01:40] 其他的学校可以给大家简单做一个介绍
[00:01:40 - 00:01:42] 给大家做一个简单的介绍
[00:01:42 - 00:01:44] 比如说北京还有一个学校
[00:01:44 - 00:01:45] 这个学校很多很多专业的
[00:01:45 - 00:01:48] 他的相关专业排名都是排在全国前列的
[00:01:48 - 00:01:51] 这个学校叫做首都一科大学
[00:01:51 - 00:01:52] 首都一科大学
[00:01:52 - 00:01:54] 这个学校他有个最大的特点
[00:01:54 - 00:01:55] 什么特点呢
[00:01:56 - 00:01:58] 他不是RU也不是985
[00:01:58 - 00:02:02] 那么有的人就问老师他不是RU不是985的话
[00:02:02 - 00:02:03] 这个对我考验什么影响
