BV号：BV18p4y1k74G
标题：BV18p4y1k74G
链接：https://www.bilibili.com/video/BV18p4y1k74G
识别语言：zh
语言置信度：1
分段数：28
生成时间：2026-04-04 01:14:09

[00:00:00 - 00:00:02] 大家好 我是阿姆 學習編的更換來的張雪鋒老師
[00:00:02 - 00:00:05] 首先 祝Bilibili課堂一周年生日快樂
[00:00:05 - 00:00:07] 再入住Bilibili課堂的一年時間裡
[00:00:07 - 00:00:09] 我也一起完成了從一而知的過程
[00:00:09 - 00:00:10] 獨立有50多本書
[00:00:10 - 00:00:12] 從書中也獲取了不少知識
[00:00:12 - 00:00:15] 也為大家分享了一些非常有用而有趣的內容
[00:00:15 - 00:00:17] 讀書是成本最低
[00:00:17 - 00:00:21] 最快捷 最有效提成自我的一個方式
[00:00:21 - 00:00:25] 所以說各位同學們學習要趁早學到腦子裡的知識
[00:00:25 - 00:00:26] 足夠影響到你的一生
[00:00:26 - 00:00:28] 最初結束咱們B站就被馬安平的大幕
[00:00:28 - 00:00:31] 以及各位同学的热情给打动了
[00:00:31 - 00:00:33] 就像是在现场跟大家互动一样
[00:00:33 - 00:00:35] 后来看着私信里边有很多同学问我
[00:00:35 - 00:00:36] 说说老师我怎么报大学
[00:00:36 - 00:00:37] 如何体验志愿
[00:00:37 - 00:00:39] 怎么找到好工作这一类的问题
[00:00:39 - 00:00:41] 于是我就坐着两边课程
[00:00:41 - 00:00:43] 一边叫做高考志愿填冒
[00:00:43 - 00:00:46] 以及搞定好工作的15堂必修课
[00:00:46 - 00:00:47] 给大家做一个参考
[00:00:47 - 00:00:51] 有需求的同学就可以到我的个人的主页上去看一下
[00:00:51 - 00:00:53] 感谢B站为我们提供交流的平台
[00:00:53 - 00:00:55] 之后我还会涉及其他的领域
[00:00:55 - 00:00:57] 说出更多有价值的内容
[00:00:57 - 00:00:58] 继续为大家做分享
[00:00:58 - 00:00:59] 期待一下吧
