BV号：BV1964y1G7hZ
标题：BV1964y1G7hZ
链接：https://www.bilibili.com/video/BV1964y1G7hZ
识别语言：zh
语言置信度：1
分段数：53
生成时间：2026-04-03 13:04:17

[00:00:00 - 00:00:01] 我来我跟我们直播间
[00:00:01 - 00:00:02] 所有人在我们直播间
[00:00:02 - 00:00:05] 听看我直播的大学生说一句话
[00:00:05 - 00:00:06] 各位朋友你一道记住
[00:00:06 - 00:00:09] 你将来到了30岁
[00:00:09 - 00:00:10] 到了40岁
[00:00:10 - 00:00:13] 你会发现你当时在乎你大学
[00:00:13 - 00:00:16] 刚毕业的那个应届毕业生的起心
[00:00:16 - 00:00:18] 是一个多么幼稚的想法
[00:00:18 - 00:00:20] 孩子你就不跟你说现在我一年
[00:00:20 - 00:00:21] 能挣多少钱了
[00:00:21 - 00:00:22] 你知道当年我在应届毕业的时候
[00:00:22 - 00:00:24] 我大概一月能挣多少钱
[00:00:24 - 00:00:25] 我那时候一月公司这两次
[00:00:25 - 00:00:25] 我那个时候
[00:00:25 - 00:00:27] 我在外面讲一堂一百
[00:00:27 - 00:00:29] 我昨天在郑州讲一节课
[00:00:29 - 00:00:31] 包括说我过几天我去承治过讲
[00:00:31 - 00:00:31] 那个价格
[00:00:31 - 00:00:33] 说实话我自己有的时候
[00:00:33 - 00:00:34] 想起来是高的例子
[00:00:34 - 00:00:37] 但是谁不是要从那个阶段过来的
[00:00:37 - 00:00:39] 所以说的话你一定要记住
[00:00:39 - 00:00:40] 当你看到基本公司
[00:00:40 - 00:00:42] 能够让你在那个城市
[00:00:42 - 00:00:44] 够基本生活以后
[00:00:44 - 00:00:45] 当然它也不能太低
[00:00:45 - 00:00:47] 因为太低了咱们生活只能打折扣
[00:00:47 - 00:00:47] 对吧
[00:00:47 - 00:00:49] 不能让咱们生活去过得很不好
[00:00:49 - 00:00:52] 但是一定要更看重一下什么
[00:00:52 - 00:00:53] 能不能在那里边学到东西
[00:00:53 - 00:00:54] 你将来在找工作的时候
[00:00:54 - 00:00:55] 孩子你记住
[00:00:55 - 00:00:56] 将来在找工作的时候
[00:00:56 - 00:00:57] 三点
[00:00:57 - 00:00:59] 一个工作带给你的有三个东西
[00:00:59 - 00:01:01] 一个叫学道东西
[00:01:01 - 00:01:02] 第二 交道朋友
[00:01:02 - 00:01:04] 第三 才叫交道钱
[00:01:04 - 00:01:05] 在你不同的阶段
[00:01:05 - 00:01:08] 这三个项目的重要性是不一样的
[00:01:08 - 00:01:09] 在你刚开始就业的前几年
[00:01:09 - 00:01:11] 很可能学道东西和交道朋友
[00:01:11 - 00:01:14] 要比你看你挣5500还是挣6000
[00:01:14 - 00:01:16] 你挣1万还是挣1万2要
[00:01:16 - 00:01:17] 更加重要
[00:01:17 - 00:01:19] 但是你到了一个人生年龄阶段以后
[00:01:19 - 00:01:21] 很有可能它就不太一样
[00:01:21 - 00:01:22] 所以说的话
[00:01:22 - 00:01:24] 就是你这么去关注
[00:01:24 - 00:01:25] 心思待遇这方面
[00:01:25 - 00:01:27] 我提醒你這一天
