BV号：BV19j4dzPEkZ
标题：BV19j4dzPEkZ
链接：https://www.bilibili.com/video/BV19j4dzPEkZ
识别语言：zh
语言置信度：1
分段数：60
生成时间：2026-04-03 04:20:21

[00:00:00 - 00:00:01] 穷 自个爱心力量
[00:00:01 - 00:00:03] 踏 自个特技力
[00:00:04 - 00:00:05] 因为我是干教育
[00:00:05 - 00:00:06] 我知道中国还有很多的
[00:00:06 - 00:00:08] 还有很多评论家庭
[00:00:08 - 00:00:08] 他们需要的
[00:00:09 - 00:00:10] 想办法是中国经营变得更好的话
[00:00:10 - 00:00:11] 它是一个过程
[00:00:11 - 00:00:13] 我现在通过做企业
[00:00:13 - 00:00:13] 我去捐款
[00:00:13 - 00:00:15] 我现在我每年捐款
[00:00:15 - 00:00:17] 黑龙江城希望工程学会每年50万
[00:00:17 - 00:00:19] 我已经连续捐了4年了
[00:00:19 - 00:00:20] 我们黑龙江城每年
[00:00:20 - 00:00:22] 我会资助100个评论生
[00:00:22 - 00:00:23] 去让他们去上大学
[00:00:23 - 00:00:24] 黑龙江大学
[00:00:24 - 00:00:25] 我签4年合同
[00:00:25 - 00:00:26] 一年25万捐100万
[00:00:26 - 00:00:27] 西德哈尔大学
[00:00:27 - 00:00:28] 我签4年合同
[00:00:28 - 00:00:30] 一年二十五万捐一百万
[00:00:30 - 00:00:31] 哈尔滨工程大学
[00:00:31 - 00:00:32] 为一年捐五十万
[00:00:32 - 00:00:34] 苏州市的教育基金会
[00:00:34 - 00:00:35] 为一年捐一百万
[00:00:35 - 00:00:37] 我们公司的沟管
[00:00:37 - 00:00:39] 他们当年所上的那个沟中
[00:00:39 - 00:00:40] 我每个学校
[00:00:40 - 00:00:43] 我要一年捐十万
[00:00:43 - 00:00:45] 那事你回去干
[00:00:45 - 00:00:46] 钱公司来冲
[00:01:12 - 00:01:14] 这一次我代表我们
[00:01:14 - 00:01:15] 双学赛来代表张学生老师
[00:01:15 - 00:01:17] 把我们公司的爱心捐赠
[00:01:17 - 00:01:18] 带到了我的家乡
[00:01:18 - 00:01:20] 我跟在座的很多同学一样
[00:01:20 - 00:01:22] 在原来上大学的时候的话
[00:01:22 - 00:01:23] 我也是贫困生
[00:01:23 - 00:01:25] 我也领了国家诸学金
[00:01:25 - 00:01:28] 如果说贫困是一个标签的话
[00:01:28 - 00:01:29] 但我想说的是
[00:01:29 - 00:01:30] 这个标签它只是过去
[00:01:30 - 00:01:31] 它不代表未来
[00:01:31 - 00:01:32] 它不代表现在
[00:01:32 - 00:01:34] 这个标签不能够给各位同学
[00:01:34 - 00:01:35] 带来任何的抱负
[00:01:35 - 00:01:37] 也希望我们中邻线的学子
[00:01:37 - 00:01:41] 未来能够有更多的同学
[00:01:41 - 00:01:43] 在更大的舞台上发光发热
[00:01:43 - 00:01:45] 能够回到我们中邻线去
[00:01:45 - 00:01:48] 反抗我们未来更多的贫困生
[00:01:48 - 00:01:49] 也希望我们的贫困生
[00:01:49 - 00:01:51] 未来不再贫困
[00:01:51 - 00:01:52] 我们整个家乡也越来越好
[00:01:52 - 00:01:53] 谢谢大家
[00:01:53 - 00:01:55] 我说我希望改变教育
[00:01:55 - 00:01:59] 我现在的能力也就支撑我一年捐个不断一千万
[00:01:59 - 00:02:02] 去让两千个贫困大学生
[00:02:02 - 00:02:04] 他大一的学费能够支持
