BV号：BV19o7nz1EXv
标题：BV19o7nz1EXv
链接：https://www.bilibili.com/video/BV19o7nz1EXv
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 04:48:27

[00:00:00 - 00:00:02] 生物医学工程和微电子
[00:00:02 - 00:00:05] 他们将来就业的区身都很好
[00:00:05 - 00:00:06] 家长我这么说
[00:00:06 - 00:00:07] 微电子是宽
[00:00:07 - 00:00:09] 生物医学工程是专
[00:00:09 - 00:00:11] 就是我经常给大家讲一句话
[00:00:11 - 00:00:11] 要是我的话
[00:00:11 - 00:00:12] 我尽量能选专业
[00:00:12 - 00:00:14] 我不会选行业
[00:00:14 - 00:00:15] 生医工是行业
[00:00:15 - 00:00:16] 微电子是专业
[00:00:16 - 00:00:16] 家长
[00:00:16 - 00:00:18] 如果你学了微电子
[00:00:18 - 00:00:19] 将来可不可以为生医工行业
[00:00:19 - 00:00:21] 负能是可以的
[00:00:21 - 00:00:22] 但如果你学了生医工的话
[00:00:22 - 00:00:23] 你再想回微电子
[00:00:23 - 00:00:25] 说实话有难度
[00:00:25 - 00:00:26] 但不是不可能
[00:00:26 - 00:00:27] 但是我要我选的话
[00:00:27 - 00:00:28] 我肯定选专业
[00:00:28 - 00:00:28] 我不会选行业
[00:00:28 - 00:00:30] 因为一旦孩子他学了生意工
[00:00:30 - 00:00:33] 他万一发现这个行业跟他想象的不一样
[00:00:33 - 00:00:33] 他不喜欢
[00:00:33 - 00:00:35] 他将往回退
[00:00:35 - 00:00:36] 你不多了一步
[00:00:36 - 00:00:37] 但如果说你要是选择专业
[00:00:37 - 00:00:39] 我想为那个行业负能
[00:00:39 - 00:00:40] 你是可以直接为那个行业负能的
[00:00:40 - 00:00:41] 我要是我选
[00:00:41 - 00:00:42] 我是能选专业
[00:00:42 - 00:00:43] 尽量选专业
[00:00:43 - 00:00:44] 我尽量不选行业
[00:00:44 - 00:00:45] 要我选我会怎么选
