BV号：BV1A7411t7A7
标题：BV1A7411t7A7
链接：https://www.bilibili.com/video/BV1A7411t7A7
识别语言：zh
语言置信度：1
分段数：46
生成时间：2026-04-04 02:58:05

[00:00:00 - 00:00:02] 我学的专业可能你们都没听说过
[00:00:02 - 00:00:04] 我学的专业叫做挤牌水听说过吗
[00:00:05 - 00:00:06] 你可学挤牌水的吗
[00:00:08 - 00:00:09] 给牌水
[00:00:12 - 00:00:13] 大家知道我们专业干嘛的吗
[00:00:15 - 00:00:16] 谁说挖下水道
[00:00:17 - 00:00:19] 我们专业不出去下水道的
[00:00:20 - 00:00:21] 我解释一下
[00:00:21 - 00:00:22] 我跟你这么说同学
[00:00:22 - 00:00:23] 没有我们专业的人
[00:00:23 - 00:00:25] 你们都得一死知道吗
[00:00:25 - 00:00:26] 一个都活不了
[00:00:26 - 00:00:27] 那老师你到底干嘛的
[00:00:27 - 00:00:29] 我还不活了是吧
[00:00:29 - 00:00:30] 你知道你喝那水是哪来的吗
[00:00:31 - 00:00:33] 都是经过我们专业下国药的
[00:00:33 - 00:00:33] 知道吧
[00:00:33 - 00:00:35] 我不下药你都不能喝
[00:00:35 - 00:00:35] 知道吧
[00:00:35 - 00:00:36] 你比如说水洋
[00:00:36 - 00:00:37] 水洋喝水喝哪儿的水知道吗
[00:00:37 - 00:00:38] 老河
[00:00:38 - 00:00:39] 老河
[00:00:39 - 00:00:40] 老河
[00:00:40 - 00:00:41] 不管什么
[00:00:41 - 00:00:42] 浑河
[00:00:42 - 00:00:43] 假如说浑河同学
[00:00:43 - 00:00:45] 那个浑河水你觉得能直接喝吗
[00:00:46 - 00:00:47] 那我不下药你能喝吗
[00:00:48 - 00:00:48] 对不对
[00:00:48 - 00:00:50] 你还笑同学
[00:00:50 - 00:00:51] 我在你说另外一身
[00:00:51 - 00:00:51] 我不是说你笑不出来
[00:00:51 - 00:00:52] 你知道吧
[00:00:52 - 00:00:53] 你每天你要上厕所吧
[00:00:54 - 00:00:56] 有的你还上了好几次是吧
[00:00:56 - 00:00:57] 上外婚你得冲吧
[00:00:57 - 00:00:59] 你猜你冲完厕所那个水
[00:00:59 - 00:01:00] 会被排放到哪里
[00:01:01 - 00:01:03] 你喝的就是那个
[00:01:03 - 00:01:04] 知道吧
[00:01:04 - 00:01:05] 大家同学
[00:01:05 - 00:01:06] 请你们相信我们
[00:01:06 - 00:01:08] 我们现在会很猛的
[00:01:08 - 00:01:09] 知道吧
[00:01:09 - 00:01:10] 那个水是可以喝的
