BV号：BV1Ag411c7Si
标题：BV1Ag411c7Si
链接：https://www.bilibili.com/video/BV1Ag411c7Si
识别语言：zh
语言置信度：1
分段数：52
生成时间：2026-04-03 22:31:12

[00:00:00 - 00:00:01] 大家好
[00:00:01 - 00:00:02] 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:04] 我们上一周讨论的话题
[00:00:04 - 00:00:06] 是说我们上大学的时候
[00:00:06 - 00:00:08] 要不要带着父母一起去报道
[00:00:08 - 00:00:11] 然后我们最后讨论的结果是40%多的同学
[00:00:11 - 00:00:12] 说是要带
[00:00:12 - 00:00:14] 那么60%多的同学
[00:00:14 - 00:00:16] 表示自己是不需要
[00:00:16 - 00:00:18] 让父母送我们去上大学的
[00:00:18 - 00:00:20] 实际上我对于这个事情的观点
[00:00:20 - 00:00:22] 是跟我当年一样
[00:00:22 - 00:00:26] 就是我当年是父母把我送到去上大学的
[00:00:26 - 00:00:29] 因为我觉得首先父母公养我们
[00:00:29 - 00:00:30] 这么多年
[00:00:30 - 00:00:32] 然后让我们从一个小孩
[00:00:32 - 00:00:34] 然后上小学出中高中
[00:00:34 - 00:00:36] 然后终于到了大学里边
[00:00:36 - 00:00:39] 真的我觉得父母在此为我们付出了很多很多
[00:00:39 - 00:00:42] 那一方面的我觉得让父母看到我们上的大学呢
[00:00:42 - 00:00:44] 是安心吧
[00:00:44 - 00:00:45] 那另外一方面的话
[00:00:45 - 00:00:46] 其实有的时候的话
[00:00:46 - 00:00:48] 父母就是送孩子去上大学
[00:00:48 - 00:00:50] 有的时候真的是一种荣耀
[00:00:50 - 00:00:53] 就像我们中年评论有一个同学所说的
[00:00:53 - 00:00:54] 你像我的家乡呢
[00:00:54 - 00:00:55] 就是在一个小县城里边
[00:00:55 - 00:00:57] 比如说父母那个年龄到这儿人啊说
[00:00:57 - 00:00:58] 你最近干啥去呢
[00:00:58 - 00:00:59] 哎呀送人上大学去了
[00:00:59 - 00:01:00] 就这种感受啊
[00:01:00 - 00:01:04] 可能是他一辈子也就能这么一次两次
[00:01:04 - 00:01:08] 所以说的话我觉得可能我们不需要带着父母去生大学
[00:01:08 - 00:01:11] 但是我觉得如果我是你的话
[00:01:11 - 00:01:12] 可能我会
[00:01:12 - 00:01:15] 可能会满足父母类这么一个小型愿望
[00:01:15 - 00:01:17] 其实说我们需不需要是一个方面
[00:01:17 - 00:01:18] 那你说他想不想呢
[00:01:18 - 00:01:19] 对吧
[00:01:19 - 00:01:20] 我估计他们也是想的
[00:01:20 - 00:01:23] 所以说我觉得这也是一种
[00:01:23 - 00:01:23] 怎么说呢
[00:01:23 - 00:01:25] 算是一种笑心的表现吧
[00:01:25 - 00:01:25] 好吧
[00:01:25 - 00:01:26] 那么我们
[00:01:26 - 00:01:28] 下一度要讨论的话题那就很好玩了
[00:01:28 - 00:01:31] 因为我们都知道上大学要学很多很多的专业课
[00:01:31 - 00:01:34] 平时每一个专业上大学要学就是几十门专业课
[00:01:34 - 00:01:37] 对于逃课这个事情的看法是怎样的呢
[00:01:37 - 00:01:39] 欢迎大家积极参与我们的讨论
[00:01:39 - 00:01:40] 我们下周再见
