BV号：BV1As411L7hT
标题：BV1As411L7hT
链接：https://www.bilibili.com/video/BV1As411L7hT
识别语言：zh
语言置信度：1
分段数：281
生成时间：2026-04-04 10:12:24

[00:00:00 - 00:00:02] 我这个志愿到底该如何添
[00:00:02 - 00:00:04] 我到底该选择怎样的取消
[00:00:04 - 00:00:05] 可选类的一种的比较多
[00:00:05 - 00:00:07] 已经陷入到选择恐惧症当中的
[00:00:07 - 00:00:09] 轻化好还是倍大好
[00:00:09 - 00:00:11] 关键看你自己想学什么
[00:00:11 - 00:00:12] 专业者方面来
[00:00:12 - 00:00:14] 你就好是依照自己的兴趣来
[00:00:14 - 00:00:15] 那些论文之内
[00:00:15 - 00:00:17] 可能真的没有理想象当中
[00:00:17 - 00:00:18] 那么光鲜
[00:00:18 - 00:00:20] 你是和怎样的城市
[00:00:20 - 00:00:22] 你就觉得怎样的城市
[00:00:22 - 00:00:24] 就是不管你选的大城市
[00:00:24 - 00:00:25] 还是选的小城市
[00:00:25 - 00:00:26] 你要坚信
[00:00:26 - 00:00:27] 自己这个选类就是对的
[00:00:27 - 00:00:28] 大家好
[00:00:28 - 00:00:29] 我是让学习变得更快乐的
[00:00:29 - 00:00:32] 我们的高考刚刚落下了微目
[00:00:32 - 00:00:35] 现在可能很多考上课家长都在考虑一个问题
[00:00:35 - 00:00:37] 就是我这个志愿到底该如何添
[00:00:37 - 00:00:40] 我到底该选择怎样的学校和怎样的专业
[00:00:40 - 00:00:41] 因为问的问题比较多
[00:00:41 - 00:00:45] 咱们本期节目挑选几个大家比较代表性的小问题
[00:00:45 - 00:00:47] 来给大家稍微解决一下
[00:00:47 - 00:00:54] 那么现在很多同学就可能已经陷入到选择恐惧症当中了
[00:00:54 - 00:00:56] 说张老师你看我现在科学内校比较多
[00:00:56 - 00:00:58] 有的同学可能就选的俩
[00:00:58 - 00:01:00] 说张老师你看我今年这个分
[00:01:00 - 00:01:03] 好的特别的好 亲华分也够 北大也能上
[00:01:03 - 00:01:06] 张老师请你告诉我到底是亲华好还是北大好
[00:01:06 - 00:01:10] 实际上我想说的是你们这个问题是没有意义的
[00:01:10 - 00:01:13] 因为你硬比较说亲华比北大好还是北大比亲华好
[00:01:13 - 00:01:17] 是没有任何意义的 因为他们的强势专业是不一样的
[00:01:17 - 00:01:22] 你比如说你两个美女 你说这林志宁好看还是范冰冰好看
[00:01:22 - 00:01:25] 但都是美女 但是确实是有各个的美啊
[00:01:25 - 00:01:28] 在于你像可欧可乐和白色可乐 你说哪个更好喝
[00:01:28 - 00:01:33] 其實在我眼裡當中他們倆的口味呢也是有些許差別的
[00:01:33 - 00:01:35] 你再比如說你看賣車對吧
[00:01:35 - 00:01:37] 你寶萊號號還是朗一號啊對吧
[00:01:37 - 00:01:41] 寶萊呢他年輕時尚朗一呢他穩重大方
[00:01:41 - 00:01:43] 所以說的話他是不一樣的哈
[00:01:43 - 00:01:47] 那你如果說你想學理工課專業那肯定是清華好一些
[00:01:47 - 00:01:51] 那你想學社會人文學課專業那肯定是百大好一些
[00:01:51 - 00:01:56] 因為你讓他這東西你清華的文科專業跟北大肯定沒法理
[00:01:56 - 00:01:59] 北大理工社的專業跟清華也沒法比
[00:01:59 - 00:02:01] 所以說關鍵是這位同學
[00:02:01 - 00:02:04] 你將來想從事哪方面的行業
[00:02:04 - 00:02:06] 你現在想成為一個怎樣的人才
[00:02:06 - 00:02:08] 你想成為一個工程師
[00:02:08 - 00:02:10] 成為一個建築學大師
[00:02:10 - 00:02:13] 成為一個水利工程這方面的專業新人才
[00:02:13 - 00:02:15] 你想成為一個工程類的人才
[00:02:15 - 00:02:16] 那你最好還是選聽話
[00:02:16 - 00:02:19] 但是如果說你想學社會人類學科
[00:02:19 - 00:02:21] 比如說張老師我想成為一個文學大家
[00:02:21 - 00:02:23] 張老師我想成為一個歷史學家
[00:02:23 - 00:02:26] 那肯定北大要比清華要更佔據一些優勢
[00:02:26 - 00:02:27] 所以说借完啊
[00:02:27 - 00:02:29] 他就给你选择是一个道理
[00:02:29 - 00:02:29] 知道吧
[00:02:29 - 00:02:31] 你这老师我选择宝来
[00:02:31 - 00:02:31] 对吧
[00:02:31 - 00:02:32] 宝来挺好的
[00:02:32 - 00:02:33] 为什么
[00:02:33 - 00:02:34] 侧面看小光嘛
[00:02:34 - 00:02:34] 对吧
[00:02:34 - 00:02:35] 屁股看上A4
[00:02:35 - 00:02:36] 对吧
[00:02:36 - 00:02:37] 这个年轻时尚
[00:02:37 - 00:02:37] 我开出去
[00:02:37 - 00:02:38] 我有面子
[00:02:38 - 00:02:39] 对不对
[00:02:39 - 00:02:40] 但你有一段说老师
