BV号：BV1BU4y1u7EV
标题：BV1BU4y1u7EV
链接：https://www.bilibili.com/video/BV1BU4y1u7EV
识别语言：zh
语言置信度：1
分段数：68
生成时间：2026-04-03 21:48:52

[00:00:00 - 00:00:04] 你自己做 了解自己 给别人做 了解别人
[00:00:04 - 00:00:06] 而第二个问题叫什么 叫逻辑推理
[00:00:06 - 00:00:09] 知道吧 正常人家30个逻辑期大概能对多少个
[00:00:09 - 00:00:11] 10个到20个之间 就比较正常的
[00:00:11 - 00:00:13] 你想 我 我就很正常
[00:00:13 - 00:00:14] 你笑什么
[00:00:14 - 00:00:18] 不是 我说我正常你们笑什么呢
[00:00:18 - 00:00:20] 看不出来是吗
[00:00:20 - 00:00:22] 我是很正常的人
[00:00:22 - 00:00:25] 我每一年考完研以后 我都会把这30个题拿出来自己做一下
[00:00:25 - 00:00:27] 30个题能对10个到20个之间
[00:00:27 - 00:00:29] 你看 我就很正常 对吧
[00:00:29 - 00:00:31] 结果你知道张老师跟我男朋友做
[00:00:31 - 00:00:32] 张老师说我男朋友能对25个题
[00:00:33 - 00:00:35] 你这个男朋友啊
[00:00:35 - 00:00:36] 怎么说呢
[00:00:37 - 00:00:38] 就是
[00:00:38 - 00:00:40] 这思维比较整密
[00:00:40 - 00:00:41] 知道吧
[00:00:41 - 00:00:42] 确实是这样
[00:00:42 - 00:00:42] 大家已经想
[00:00:42 - 00:00:44] 那么绕的一个题
[00:00:44 - 00:00:45] 这哥们我跟你说
[00:00:45 - 00:00:46] 就是很冷静
[00:00:46 - 00:00:48] 遇到做事情很冷静
[00:00:48 - 00:00:50] 他能在遇到比较麻烦的时候
[00:00:50 - 00:00:51] 能就冷静思考
[00:00:51 - 00:00:53] 选择一条对自己最有力的道路
[00:00:54 - 00:00:55] 这个人就很冷静
[00:00:55 - 00:00:56] 对 张老师我找的个男朋友
[00:00:56 - 00:00:58] 他30个题全做对了
[00:00:58 - 00:01:00] 赶紧分手
[00:01:00 - 00:01:01] 为什么
[00:01:01 - 00:01:02] 我跟你说
[00:01:02 - 00:01:03] 有一天他把你弄死了
[00:01:03 - 00:01:05] 埋在那儿谁都找不着
[00:01:05 - 00:01:07] 逻辑思维太整密
[00:01:07 - 00:01:08] 知道吗
[00:01:08 - 00:01:09] 那老师我有个同学
[00:01:09 - 00:01:11] 三情提队的不到五个
[00:01:11 - 00:01:13] 这种人在我们东北叫山炮
[00:01:15 - 00:01:16] 知道吗
[00:01:16 - 00:01:17] 什么叫山炮知道吗
[00:01:17 - 00:01:18] 就遇到事想了不想干他
[00:01:18 - 00:01:19] 这种人知道吗
[00:01:20 - 00:01:21] 你要知道
[00:01:21 - 00:01:23] 真爱生命远离山炮
[00:01:24 - 00:01:25] 我曾经试过
[00:01:25 - 00:01:26] 我当地
[00:01:26 - 00:01:27] 我就是
[00:01:27 - 00:01:31] 我当年上学的时候有一个初中同学当地我们混子
[00:01:31 - 00:01:34] 我拿三十个罗技题给这哥们儿做
[00:01:34 - 00:01:35] 那哥们儿说咱就喝酒就喝酒
[00:01:35 - 00:01:37] 我们做什么题
[00:01:37 - 00:01:38] 我说你试一试
[00:01:38 - 00:01:40] 其实我想试试他是不是个山炮
[00:01:40 - 00:01:43] 我说你做题试一试
[00:01:43 - 00:01:44] 那哥们儿做到第五个题
[00:01:44 - 00:01:45] 确实麻了这笔
[00:01:45 - 00:01:46] 什么题这是
[00:01:46 - 00:01:48] 纯纯的山炮
[00:01:48 - 00:01:50] 所以说这个罗技题
[00:01:50 - 00:01:52] 你们阿社可以自己做一下
[00:01:52 - 00:01:53] 这国内的中文的内容考考考的题
[00:01:53 - 00:01:55] 而第三部分考什么题呢
[00:01:55 - 00:01:58] 就是你上高中高考考大學那個協作文
[00:01:58 - 00:01:58] 知道吧
[00:01:58 - 00:02:00] 這是管理的綜合要考的題
