BV号：BV1C6aozPE23
标题：BV1C6aozPE23
链接：https://www.bilibili.com/video/BV1C6aozPE23
识别语言：zh
语言置信度：1
分段数：85
生成时间：2026-04-03 04:01:10

[00:00:00 - 00:00:02] 如果说你将来的目的是为了进电网的话
[00:00:02 - 00:00:05] 你本身报这个学校就是有点小问题的
[00:00:05 - 00:00:07] 他的电器本身又不是进电网吧
[00:00:07 - 00:00:08] 喂 你好
[00:00:08 - 00:00:09] 喂 你说
[00:00:09 - 00:00:11] 我们是河南的考生
[00:00:11 - 00:00:17] 但是考到明白的这个杭州电子科技大学信息工程学院
[00:00:17 - 00:00:20] 但是被那个电子信息类给录取了
[00:00:20 - 00:00:23] 但是我们当时上呢
[00:00:23 - 00:00:26] 想上他那个电器工程机自动化
[00:00:26 - 00:00:29] 还有机械设计自制自动化
[00:00:29 - 00:00:31] 但是报的时候我就说
[00:00:32 - 00:00:34] 一冲动也不知道报错了
[00:00:34 - 00:00:36] 就报到电子信息来
[00:00:36 - 00:00:37] 但是这个电子信息来
[00:00:37 - 00:00:40] 将来有什么发展
[00:00:40 - 00:00:42] 加长你报一个学校
[00:00:42 - 00:00:44] 就是首先你报电器
[00:00:44 - 00:00:46] 你行店的电器是弱电
[00:00:46 - 00:00:48] 它不是强电
[00:00:48 - 00:00:49] 如果说你将来的目的是
[00:00:49 - 00:00:50] 为了进电网的话
[00:00:50 - 00:00:51] 你本身报这个学校
[00:00:51 - 00:00:53] 就是有点小问题的
[00:00:53 - 00:00:56] 它的电器本身又不是进电网了
[00:00:56 - 00:00:56] 这是第一
[00:00:56 - 00:00:57] 第二加长
[00:00:57 - 00:01:01] 你报的是杭州电子科技大学
[00:01:01 - 00:01:05] 家长这个学校把他最好的专业都写到笑名上了
[00:01:05 - 00:01:10] 然后的话你现在录到了这个学校笑名上的那个专业
[00:01:10 - 00:01:12] 你有什么好担心的家长
[00:01:12 - 00:01:13] 那我就想着
[00:01:13 - 00:01:17] 因为他们有的说基建设计自动化
[00:01:17 - 00:01:20] 将来以后有一计之长
[00:01:20 - 00:01:24] 他说电子信息也有一计之长
[00:01:24 - 00:01:27] 只要是功课他都有一计之长
[00:01:27 - 00:01:28] 是吧
[00:01:28 - 00:01:30] 因为我们当家长也着急
[00:01:30 - 00:01:31] 好
[00:01:31 - 00:01:32] 谢谢
[00:01:32 - 00:01:33] 就是将来以后
[00:01:33 - 00:01:35] 像他这个是不是需要考研
[00:01:35 - 00:01:36] 家长
[00:01:36 - 00:01:38] 如果说你本科毕业以后
[00:01:38 - 00:01:39] 你干的工作
[00:01:39 - 00:01:42] 只能是生产测试 销售和维修
[00:01:42 - 00:01:44] 如果说你将来干的工作
[00:01:44 - 00:01:45] 是生产测试 销售 维修
[00:01:45 - 00:01:47] 你满意的话就不用考研
[00:01:47 - 00:01:48] 如果说你干的工作
[00:01:48 - 00:01:50] 是说老师 我想干研发
[00:01:50 - 00:01:52] 研发就必须得考研
[00:01:52 - 00:01:54] 看你想干的工作是啥
[00:01:54 - 00:01:55] 各位朋友
[00:01:55 - 00:01:56] 看你想干的工作是啥
[00:01:56 - 00:01:57] 不用说你必须得考
[00:01:57 - 00:01:58] 不考都不行
[00:01:58 - 00:01:58] 知道吧
[00:01:58 - 00:01:59] 你说老师我学医的
[00:01:59 - 00:02:01] 我不考研就得弄死我
[00:02:01 - 00:02:01] 谁说的
[00:02:01 - 00:02:03] 学医的不考研的话
[00:02:03 - 00:02:04] 你说老师我去卖医疗气泄
[00:02:04 - 00:02:05] 那可以啊
[00:02:05 - 00:02:07] 那可以不考研了
[00:02:07 - 00:02:08] 你学医学的老师我去卖药
[00:02:08 - 00:02:10] 那就可以不考研了
[00:02:10 - 00:02:12] 那你学医学本科毕业
[00:02:12 - 00:02:13] 你去卖药你干吗
[00:02:13 - 00:02:14] 老师学临冲医学
[00:02:14 - 00:02:15] 你本科毕业去卖医疗气泄
[00:02:15 - 00:02:16] 你干吗
[00:02:16 - 00:02:17] 你又不干
[00:02:17 - 00:02:18] 老师我想当大夫
[00:02:18 - 00:02:19] 想当大夫那就必须得考研
[00:02:19 - 00:02:21] 你要不要考研
[00:02:21 - 00:02:23] 跟你将来想干的工作是有关系的
[00:02:23 - 00:02:26] 你将来想干的工作需要研究成学力
[00:02:26 - 00:02:26] 那你就考
[00:02:26 - 00:02:29] 你将来想干的工作不需要研究成学力
[00:02:29 - 00:02:30] 那就不用考
[00:02:30 - 00:02:31] 没有一个专业说
[00:02:31 - 00:02:32] 是不是必须得考研
[00:02:32 - 00:02:33] 是不是得考研
[00:02:33 - 00:02:35] 不存在
