BV号：BV1CK421s7UR
标题：BV1CK421s7UR
链接：https://www.bilibili.com/video/BV1CK421s7UR
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-03 11:45:40

[00:00:00 - 00:00:01] 我跟大家这样说
[00:00:01 - 00:00:04] 确实在报纸院的时候会出现这样的孩子
[00:00:04 - 00:00:05] 说张老师我数学物理
[00:00:05 - 00:00:08] 我觉得干不过我们学校那帮学校
[00:00:08 - 00:00:10] 注意他的前提条件是
[00:00:10 - 00:00:12] 他不是数学物理绝对不好
[00:00:12 - 00:00:14] 他是数学物理相对不好
[00:00:14 - 00:00:16] 你以为你学别的就干过那帮学霸了
[00:00:16 - 00:00:18] 你数学物理你觉得不如别人
[00:00:18 - 00:00:19] 你觉得化学
[00:00:19 - 00:00:21] 如果说有学霸
[00:00:21 - 00:00:23] 真的在你这个分数段以上
[00:00:23 - 00:00:26] 人家选了更好的学校的化学
[00:00:26 - 00:00:29] 你以为你化学就能干过人家了
[00:00:29 - 00:00:30] 你也不一定干得过
[00:00:31 - 00:00:32] 很多孩子
[00:00:32 - 00:00:33] 尤其是好的高中
[00:00:33 - 00:00:35] 就是你们当地比较好的
[00:00:35 - 00:00:38] 第一个高中的第一个班里边
[00:00:38 - 00:00:39] 后半段的人
[00:00:39 - 00:00:43] 会觉得自己的数学和自己的物理不够聪明
[00:00:43 - 00:00:45] 不像有些学霸
[00:00:45 - 00:00:46] 他数学物理不怎么学
[00:00:46 - 00:00:47] 也可以学得很好
[00:00:47 - 00:00:48] 总觉得数学物理跟他们相比
[00:00:48 - 00:00:50] 是有一定差距的
[00:00:50 - 00:00:51] 你觉得如果人家学了
[00:00:51 - 00:00:52] 代化学的专业
[00:00:52 - 00:00:54] 你能跟人家比得了吗
[00:00:54 - 00:00:55] 你也一样比不了
[00:00:55 - 00:00:57] 但是每一个专业和每一个专业的
[00:00:57 - 00:00:59] 专业的就业平台不一样
[00:00:59 - 00:01:00] 我就这么问大家
[00:01:00 - 00:01:02] 来各位直播间
[00:01:02 - 00:01:03] 干律师行当的
[00:01:03 - 00:01:04] 我就问你一个问题
[00:01:04 - 00:01:05] 你们那个律所
[00:01:05 - 00:01:08] 每年新建律师有超过10个人
[00:01:08 - 00:01:09] 他在招聘需求上
[00:01:09 - 00:01:11] 可能会超过10个人
[00:01:11 - 00:01:12] 每一个行当
[00:01:12 - 00:01:14] 就是尤其是像律师这种行当
[00:01:14 - 00:01:15] 律师这种行当
[00:01:15 - 00:01:16] 在每一个城市
[00:01:16 - 00:01:19] 头部律所就那么几个
[00:01:19 - 00:01:20] 头部就那么几个
[00:01:20 - 00:01:22] 每年他一共招多少人
[00:01:22 - 00:01:23] 也就是说
[00:01:23 - 00:01:24] 你在有些行当
[00:01:24 - 00:01:26] 你即使是排到了
[00:01:26 - 00:01:29] 第十位 你都有可能是找不到工作的
[00:01:29 - 00:01:33] 但是有些行当 你哪怕排到第100
[00:01:33 - 00:01:36] 找个好工作也没有问题
[00:01:36 - 00:01:37] 大家能听懂吗
[00:01:37 - 00:01:40] 有些行当 你排第10 你都得失业
[00:01:40 - 00:01:42] 但有些行当 你排第100
[00:01:42 - 00:01:44] 你都能找到好工作
[00:01:44 - 00:01:46] 这就是每一个专业和每一个专业的
[00:01:46 - 00:01:48] 就业平台大小是不一样的
[00:01:48 - 00:01:50] 所以说你不要只看说
[00:01:50 - 00:01:53] 老实我在这个里边 我排的可能靠后
[00:01:53 - 00:01:54] 我在那个里边排的靠前
[00:01:54 - 00:01:55] 我要到那个里边去
[00:01:55 - 00:01:58] 你在那个里边你也是相对靠后的
[00:01:58 - 00:02:01] 你别看说老师那个海地石这个第四石
[00:02:01 - 00:02:02] 就是第四石是头部
[00:02:02 - 00:02:05] 那个第四石是有
[00:02:05 - 00:02:07] 所以说不同航档的就业岗位数量
[00:02:07 - 00:02:10] 就业平台大小是不一样的
[00:02:10 - 00:02:11] 你不能只通过说
[00:02:11 - 00:02:13] 老师我孩子到这个去怎么怎么样
[00:02:13 - 00:02:14] 你不能只这么看的
[00:02:14 - 00:02:15] 你不能只这么看的
[00:02:15 - 00:02:18] 你这么看的话是很容易出问题的
