BV号：BV1CQkXYTEWS
标题：BV1CQkXYTEWS
链接：https://www.bilibili.com/video/BV1CQkXYTEWS
识别语言：zh
语言置信度：1
分段数：168
生成时间：2026-04-03 06:56:30

[00:00:00 - 00:00:01] 英语这个东西
[00:00:01 - 00:00:02] 你就一定要知道
[00:00:02 - 00:00:03] 它的问题出在哪里
[00:00:03 - 00:00:04] 大家一定要知道
[00:00:04 - 00:00:05] 我们各科区提分
[00:00:05 - 00:00:06] 一定要对症下药
[00:00:06 - 00:00:07] 就是你说说
[00:00:07 - 00:00:08] 还努力学努力学
[00:00:08 - 00:00:10] 它不是说你努力学这么简单
[00:00:10 - 00:00:12] 你一定要知道你的问题出在哪里
[00:00:12 - 00:00:13] 英语很有可能
[00:00:13 - 00:00:14] 你的问题出在四个方面
[00:00:14 - 00:00:15] 第一个方面
[00:00:15 - 00:00:15] 单词
[00:00:15 - 00:00:16] 第二方面
[00:00:16 - 00:00:16] 语法
[00:00:16 - 00:00:17] 第三个方面
[00:00:17 - 00:00:17] 阅读
[00:00:17 - 00:00:18] 第四个方面
[00:00:18 - 00:00:19] 写作
[00:00:19 - 00:00:20] 然后我帮你去找
[00:00:20 - 00:00:21] 你怎么去跟孩子沟通
[00:00:21 - 00:00:22] 然后让他帮他找到
[00:00:22 - 00:00:23] 它的问题所在
[00:00:23 - 00:00:24] 一篇阅读理解
[00:00:24 - 00:00:25] 你读的读不懂
[00:00:25 - 00:00:26] 你能不能读懂文章
[00:00:26 - 00:00:28] 你如果读不懂文章
[00:00:28 - 00:00:30] 大家一定要记住你跟孩子沟通
[00:00:30 - 00:00:32] 你要跟他先说明白第一个事
[00:00:32 - 00:00:34] 我跟你沟通是为了帮你提分的
[00:00:34 - 00:00:35] 家长就是你可以把这个
[00:00:35 - 00:00:36] 你可以给孩子看
[00:00:36 - 00:00:37] 还得我跟你说
[00:00:37 - 00:00:38] 我给你出主意
[00:00:38 - 00:00:39] 我给你妈跟你沟通
[00:00:39 - 00:00:40] 他是为了帮你提分的
[00:00:40 - 00:00:43] 他不是为了掌握你的学习情况
[00:00:43 - 00:00:44] 你学习好我们就夸你
[00:00:44 - 00:00:45] 你学习不好我们就骂你
[00:00:45 - 00:00:47] 各位家长你一定要知道
[00:00:47 - 00:00:48] 我们作为家长
[00:00:48 - 00:00:50] 我们首先是孩子的好帮手
[00:00:50 - 00:00:52] 不是给孩子压力的那个人
[00:00:52 - 00:00:52] 各位家长
[00:00:52 - 00:00:55] 你首先你都有一个这样的一个关键
[00:00:55 - 00:00:56] 你跟孩子沟通的时候
[00:00:56 - 00:00:58] 你一定要注意你的沟通方式
[00:00:58 - 00:01:00] 不要给孩子造成所谓的无形的压力
[00:01:00 - 00:01:01] 然后的话
[00:01:01 - 00:01:02] 你要问他
[00:01:02 - 00:01:02] 首先第一
[00:01:02 - 00:01:04] 你的阅读理解能不能读懂文章
[00:01:04 - 00:01:05] 你说实话
[00:01:05 - 00:01:07] 我们是想办法帮你
[00:01:07 - 00:01:08] 不是所谓的
[00:01:08 - 00:01:09] 训你的或者怎么样的
[00:01:09 - 00:01:10] 我着急
[00:01:10 - 00:01:10] 我着急
[00:01:10 - 00:01:12] 但是我现在想帮你
[00:01:12 - 00:01:13] 我不是为了训你
[00:01:13 - 00:01:13] 知道吧
[00:01:13 - 00:01:14] 好了
[00:01:14 - 00:01:14] 你
[00:01:14 - 00:01:14] 你说老师
[00:01:14 - 00:01:16] 我阅读理解读懂文章
[00:01:16 - 00:01:18] 你读懂文章是因为第一
[00:01:18 - 00:01:20] 你不认识单词吗
[00:01:20 - 00:01:21] 如果我说他是
[00:01:21 - 00:01:22] 他说你说说我不认识单词
[00:01:22 - 00:01:23] 我有很多词汇
[00:01:23 - 00:01:24] 我这一篇阅读理解
[00:01:24 - 00:01:25] 可能有20个单词
[00:01:25 - 00:01:26] 可能不认识
[00:01:26 - 00:01:28] 或者说15个单词不认识
[00:01:28 - 00:01:29] 我不认识单词
[00:01:29 - 00:01:30] 影响了我对于这篇文章的理解
[00:01:30 - 00:01:31] 那你就去背单词
[00:01:31 - 00:01:33] 然后他跟你说说我单词都认识
[00:01:33 - 00:01:35] 但是有的时候就一句话
[00:01:35 - 00:01:37] 我翻译不出来是啥意思
[00:01:37 - 00:01:38] 有的孩子是一句话单词都认识
[00:01:38 - 00:01:40] 但是他不知道这句话在讲什么
[00:01:40 - 00:01:41] 那是他语法出了问题
[00:01:41 - 00:01:43] 他语法结构出了问题
[00:01:43 - 00:01:44] 这是前两个
[00:01:44 - 00:01:45] 但是有的孩子属于什么呢
[00:01:45 - 00:01:46] 单词没有问题
[00:01:46 - 00:01:47] 语法也没有问题
[00:01:47 - 00:01:49] 但是阅读理解做不对
[00:01:49 - 00:01:51] 他阅读理解做不对的话
[00:01:51 - 00:01:53] 一定要去反思
[00:01:53 - 00:01:54] 反思什么呢
[00:01:54 - 00:01:57] 本思他选的那个选项为什么是错的
[00:01:57 - 00:01:59] 而正确的想象为什么是对的
[00:01:59 - 00:02:01] 就是很多英语在中分段
[00:02:01 - 00:02:05] 就在120分排回120分排回的这帮孩子
[00:02:05 - 00:02:06] 他经常是什么呢
[00:02:06 - 00:02:08] 叫浪费阅读理解题
[00:02:08 - 00:02:09] 我不知道大家能不能理解我说的话
[00:02:09 - 00:02:11] 叫浪费阅读理解题
[00:02:11 - 00:02:13] 就是做阅读理解
[00:02:13 - 00:02:15] 对多少个错多少个过了
[00:02:15 - 00:02:16] 对多少个错多少个过了
[00:02:16 - 00:02:18] 就叫浪费阅读理解题
[00:02:18 - 00:02:22] 但他没有反思过为什么我选B
[00:02:22 - 00:02:23] 达给的C
[00:02:23 - 00:02:24] B为什么不对
[00:02:24 - 00:02:26] 而我当时为什么认为B是对的
[00:02:26 - 00:02:28] 而C为什么又是对的
[00:02:28 - 00:02:30] 它就是没有去反思这个出题老实
[00:02:30 - 00:02:31] 出这个题的意思
[00:02:31 - 00:02:33] 它这个挖坑是怎么挖的
[00:02:33 - 00:02:34] 就是很多中分段的孩子
[00:02:34 - 00:02:35] 他如果读懂的文章
[00:02:35 - 00:02:36] 他做不对题
[00:02:36 - 00:02:38] 主要原因所谓的就是
[00:02:38 - 00:02:40] 孩子的个人地关思想
[00:02:40 - 00:02:42] 他没有从出题者的角度
[00:02:42 - 00:02:43] 去考虑几个问题
[00:02:43 - 00:02:44] 大家理解了吧
[00:02:44 - 00:02:46] 然后如果有的孩子是什么呢
[00:02:46 - 00:02:48] 他在中高分段
[00:02:48 - 00:02:50] 在120分以上的孩子
[00:02:50 - 00:02:52] 大多数是预零理解没有问题
[00:02:52 - 00:02:54] 单词问题也不大
[00:02:54 - 00:02:54] 预访问题也不大
[00:02:54 - 00:02:56] 很有可能是作文图的问题
[00:02:56 - 00:02:57] 你作文图的问题的话
[00:02:57 - 00:02:58] 你就去学先进
[00:02:58 - 00:03:01] 你去看好作文人家是怎么写的
[00:03:01 - 00:03:02] 好作文是怎么写的
[00:03:02 - 00:03:04] 同样180个单词
[00:03:04 - 00:03:06] 去写一个道歉信
[00:03:06 - 00:03:07] 去写一个表扬信
[00:03:07 - 00:03:10] 那为什么人家的分高你分低
[00:03:10 - 00:03:11] 我没有学先进
[00:03:11 - 00:03:13] 它分高的原因是什么
[00:03:13 - 00:03:14] 老师你好
[00:03:14 - 00:03:14] 我拿着我的作文
[00:03:14 - 00:03:16] 你在拿了一个高分作文
[00:03:16 - 00:03:16] 老师你好
[00:03:16 - 00:03:18] 我不是欢迎你的判券标准
[00:03:18 - 00:03:19] 老师我就想知道
[00:03:19 - 00:03:21] 同样的作文180个词
[00:03:21 - 00:03:23] 为什么它比我分高
[00:03:23 - 00:03:25] 你给我讲讲它这个作文好在哪里
[00:03:25 - 00:03:26] 然后的话
