BV号：BV1CSsUecEoA
标题：BV1CSsUecEoA
链接：https://www.bilibili.com/video/BV1CSsUecEoA
识别语言：zh
语言置信度：1
分段数：46
生成时间：2026-04-03 08:14:31

[00:00:00 - 00:00:02] 对,然后的话,作文一定要怎么样
[00:00:02 - 00:00:03] 作文加上一定要学先进
[00:00:03 - 00:00:06] 就是作文不是闭门造车的
[00:00:06 - 00:00:07] 它不是说你多写多练
[00:00:07 - 00:00:09] 你作文就能提高的
[00:00:09 - 00:00:12] 我最后写了100篇Buffer作文
[00:00:12 - 00:00:13] 是没有意义的
[00:00:13 - 00:00:15] 所以说的话你一定要怎么样
[00:00:15 - 00:00:16] 一定要去比学先进
[00:00:16 - 00:00:17] 什么叫学先进
[00:00:17 - 00:00:19] 我有一个学生就是他英语130左右
[00:00:19 - 00:00:20] 他就作文差
[00:00:20 - 00:00:21] 那怎么办呢
[00:00:21 - 00:00:22] 你拿你的作文
[00:00:22 - 00:00:24] 然后你再拿你们班分高的作文
[00:00:24 - 00:00:25] 然后你找到老师
[00:00:25 - 00:00:26] 老师你好
[00:00:26 - 00:00:28] 我不是怀疑你的判断标准
[00:00:28 - 00:00:29] 我只是想知道
[00:00:29 - 00:00:31] 为什么同样是道歉性
[00:00:31 - 00:00:33] 我的作用份比他的作用份高
[00:00:33 - 00:00:35] 那么你让老师去给你做指点
[00:00:35 - 00:00:37] 为什么他的作用份高呢
[00:00:37 - 00:00:39] 你看人家用的词汇是高级词汇
[00:00:39 - 00:00:41] 人家用的句子都是高级的句子
[00:00:41 - 00:00:42] 人家有从句
[00:00:42 - 00:00:44] 人家是复杂句
[00:00:44 - 00:00:45] 你都写的是简单句
[00:00:45 - 00:00:45] 对吧
[00:00:45 - 00:00:47] 让你描写今天天气很好
[00:00:47 - 00:00:48] 特地一字三地
[00:00:48 - 00:00:50] I'm very happy
[00:00:50 - 00:00:51] 你就写这玩意
[00:00:51 - 00:00:52] 但是人家写的就不是这个
[00:00:52 - 00:00:54] 人家就写的从句
[00:00:54 - 00:00:54] 对吧
[00:00:54 - 00:00:55] 我今天新京腾
[00:00:55 - 00:00:56] 怎么样怎么样
[00:00:56 - 00:00:57] 他写的一个复杂的从句
[00:00:57 - 00:01:00] 所以说的话就是你一定要让老师指出
[00:01:00 - 00:01:02] 你的作文跟优秀作文的差距
[00:01:02 - 00:01:04] 这个叫学先进
[00:01:04 - 00:01:07] 所以说你看你英语作文差是差在哪里
[00:01:07 - 00:01:08] 差在哪里
[00:01:08 - 00:01:09] 哪里
[00:01:09 - 00:01:09] 好吗
