BV号：BV1Ct421M7h5
标题：BV1Ct421M7h5
链接：https://www.bilibili.com/video/BV1Ct421M7h5
识别语言：zh
语言置信度：1
分段数：93
生成时间：2026-04-03 11:13:01

[00:00:00 - 00:00:01] 每年考研选学校的时候
[00:00:01 - 00:00:02] 都有同学纠结
[00:00:02 - 00:00:04] 失去高校还是失去研究所
[00:00:04 - 00:00:07] 选高校怕科研氛围不够
[00:00:07 - 00:00:08] 难除成果
[00:00:08 - 00:00:10] 选研究所又怕没有大学的气氛
[00:00:10 - 00:00:11] 没啥社交
[00:00:11 - 00:00:12] 有同学就很贪心
[00:00:12 - 00:00:12] 说张老师
[00:00:12 - 00:00:14] 你就不能两个都选吗
[00:00:14 - 00:00:15] 同学们
[00:00:15 - 00:00:16] 有没有这样的美事儿
[00:00:16 - 00:00:17] 告诉你还真有
[00:00:17 - 00:00:19] 接下来要讲的中国科学院
[00:00:19 - 00:00:20] 金属研究所
[00:00:20 - 00:00:22] 就是这样一所学校
[00:00:22 - 00:00:23] 说起这个研究所
[00:00:23 - 00:00:24] 那它来头可不小
[00:00:24 - 00:00:25] 它可是新中国成立以后
[00:00:25 - 00:00:27] 中国科学院创建的
[00:00:27 - 00:00:28] 首批研究所之一
[00:00:28 - 00:00:31] 1956年就开始招售研究生了
[00:00:31 - 00:00:33] 2015年又融入了中国科学技术大学
[00:00:33 - 00:00:36] 共建现在的材料科学与工程学院
[00:00:36 - 00:00:37] 你要是考到这儿
[00:00:37 - 00:00:40] 先去中科大读个半年一年的学位课程
[00:00:40 - 00:00:44] 然后再去沈阳的研究所完成学位论文
[00:00:44 - 00:00:47] 学校 院所两种氛围你都体验到了
[00:00:47 - 00:00:48] 等毕业以后
[00:00:48 - 00:00:51] 你拿的还是中科大的毕业证和学位证
[00:00:51 - 00:00:54] B9和华武的韩金量不用张老师介绍了吧
[00:00:54 - 00:00:56] 而且它的分数还不是很高
[00:00:56 - 00:00:58] 这个性价比绝对值得充
[00:00:58 - 00:01:01] 一般来说研究所走的都是小儿经的路线
[00:01:01 - 00:01:03] 但是金属所不仅领域经
[00:01:03 - 00:01:05] 论规模来说它也是大所
[00:01:05 - 00:01:08] 主要研发结构材料和功能材料
[00:01:08 - 00:01:12] 很多上一篇入地下海的大国重器都有它的参与
[00:01:12 - 00:01:17] 像纳米材料、能源材料、生物材料、材料设计与计算
[00:01:17 - 00:01:20] 材料质备加工、材料防抚等等
[00:01:20 - 00:01:21] 这些研究方向都有
[00:01:21 - 00:01:23] 不管你是想搞基础研究
[00:01:23 - 00:01:25] 还是想做实际的英文研究
[00:01:25 - 00:01:26] 金属所都能满足
[00:01:26 - 00:01:29] 而且你去看看人家的科研团队
[00:01:29 - 00:01:30] 七位院士
[00:01:30 - 00:01:33] 一百多位国家籍和院籍人才
[00:01:33 - 00:01:38] 再看看人家实验室里边那些总价值数十亿的顶级科研设备
[00:01:38 - 00:01:39] 该有的他都有
[00:01:39 - 00:01:41] 别人没有的他也有
[00:01:41 - 00:01:43] 别人只有一台的他有很多台
[00:01:43 - 00:01:45] 你说在这个地方读研
[00:01:45 - 00:01:46] 那还怕出不来成果吗
[00:01:46 - 00:01:47] 同学们都知道
[00:01:47 - 00:01:49] 高科研是很烧钱的
[00:01:49 - 00:01:51] 别看有些985高校
[00:01:51 - 00:01:52] 每年拿到的半学经费挺多
[00:01:52 - 00:01:55] 但花在科研上的那都是有限的
[00:01:55 - 00:01:57] 但你看看人家金属所
[00:01:57 - 00:01:58] 就张老师了解的情况
[00:01:58 - 00:02:01] 近三年每年到账二十多个亿
[00:02:01 - 00:02:03] 定用的上很多学校一年的半学经费了
[00:02:03 - 00:02:06] 而且人家不光有钱也愿意给学生花钱
[00:02:06 - 00:02:10] 不光所有的研究生都能拿到一万多的学业奖学金
[00:02:10 - 00:02:14] 而且数学师生每个月还会给你发将近三千块钱的工资
[00:02:14 - 00:02:15] 你去打听打听
[00:02:15 - 00:02:17] 这个待遇可以说是很香了
[00:02:17 - 00:02:19] 此外据小胆消息
[00:02:19 - 00:02:23] 学生工资在今年还会有很大幅度的提高
[00:02:23 - 00:02:26] 最後知道同學們都比較關心就業的問題
[00:02:26 - 00:02:27] 其實這都沒什麼好說的
[00:02:27 - 00:02:29] 頂著中科大的頭銜
[00:02:29 - 00:02:31] 你不管是想馬上讀博
[00:02:31 - 00:02:33] 還是想直接就業都不難
[00:02:33 - 00:02:34] 除了流索
[00:02:34 - 00:02:35] 還能考中央選調
[00:02:35 - 00:02:37] 另外中國航發
[00:02:37 - 00:02:38] 中國石油
[00:02:38 - 00:02:40] 國家電網這些國有企事業單位
[00:02:40 - 00:02:42] 以及向華為中芯國際比亞迪
[00:02:42 - 00:02:44] 寧德時代這些知名企業
[00:02:44 - 00:02:46] 每年希納的金屬所畢業生
[00:02:46 - 00:02:47] 都不少
[00:02:47 - 00:02:49] 總之你要是本科學的是材料
[00:02:49 - 00:02:50] 物理
[00:02:50 - 00:02:50] 化學
[00:02:50 - 00:02:51] 數學
[00:02:51 - 00:02:52] 野雞
[00:02:52 - 00:02:52] 機械
[00:02:52 - 00:02:55] 环境啊 电子啊 等这样的理工类专业啊
[00:02:55 - 00:02:57] 那考研的时候就不妨多关注一下
[00:02:57 - 00:03:00] 咱们今天讲的中国科学院
[00:03:00 - 00:03:01] 尽数研究所
