BV号：BV1Cv411h78V
标题：BV1Cv411h78V
链接：https://www.bilibili.com/video/BV1Cv411h78V
识别语言：zh
语言置信度：1
分段数：38
生成时间：2026-04-04 00:48:43

[00:00:00 - 00:00:02] 上一次我们说到了冰岛的天气
[00:00:02 - 00:00:04] 只要有点阳光咱就参赖
[00:00:04 - 00:00:07] 咱们今天这一站来点黑暗当中的参赖
[00:00:07 - 00:00:09] 冰岛丰富的夜生活
[00:00:09 - 00:00:11] 如果说你对冰岛不了解的话
[00:00:11 - 00:00:13] 晚上九点多十点多去酒吧
[00:00:13 - 00:00:17] 你会发现酒吧里边几乎一个人都没有
[00:00:17 - 00:00:21] 因为其实冰岛的夜店在五夜前满作率其实都不高
[00:00:21 - 00:00:24] 当地的夜生活是在五夜两点以后才开始的
[00:00:24 - 00:00:28] 在五月之前冰岛人都会选择某一个住在失踪心
[00:00:28 - 00:00:32] 或者是离市公司走路就可以到的朋友家里玩
[00:00:32 - 00:00:33] 先开一个House Party
[00:00:33 - 00:00:37] 为五月后真正来到的派对暖身
[00:00:37 - 00:00:39] 尤其是到了周末
[00:00:39 - 00:00:41] 冰搞人绝不会呆呆同一个酒吧
[00:00:41 - 00:00:43] 通常在一个地方喝完一杯酒以后
[00:00:43 - 00:00:46] 就会走到下一个店咱们继续喝
[00:00:46 - 00:00:49] 一个晚上能体验不同酒吧的酒水的特点
[00:00:49 - 00:00:51] 感受不同音乐风格的氛围
[00:00:51 - 00:00:55] 只不过通常在一对人一步到另外一个酒吧的路上
[00:00:55 - 00:00:58] 会有一些人莫名其妙地掉队了
[00:00:58 - 00:01:00] 那是因为冰岛人在市中心的街头
[00:01:00 - 00:01:03] 很容易就走着走着遇到了少人
[00:01:03 - 00:01:04] 你想吧
[00:01:04 - 00:01:06] 全国一共就三十多万人
[00:01:06 - 00:01:08] 所以说冰岛人在中华Party的对象
[00:01:08 - 00:01:10] 一般都不会是同一群人
[00:01:10 - 00:01:13] 因为享受夜生活的地方相对比较集中
[00:01:13 - 00:01:14] 专一圈
[00:01:14 - 00:01:15] 六一六
[00:01:15 - 00:01:16] 喝两杯酒
[00:01:16 - 00:01:19] 可能就又遇到了最刚开始的那支队伍了
[00:01:19 - 00:01:20] 这些都很正常
[00:01:20 - 00:01:21] 当然了
[00:01:21 - 00:01:22] 说起冰岛的夜晚
[00:01:22 - 00:01:25] 最参赖的主角一定就是极光
[00:01:25 - 00:01:25] 不多说
[00:01:25 - 00:01:27] 直接视觉冲击你
