BV号：BV1DYC1YFEC1
标题：BV1DYC1YFEC1
链接：https://www.bilibili.com/video/BV1DYC1YFEC1
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-04-03 07:58:32

[00:00:00 - 00:00:01] 家长是这样
[00:00:01 - 00:00:02] 你是对我看见奥赛班
[00:00:02 - 00:00:05] 如果说你是那种相对比较顶尖的拔尖的
[00:00:05 - 00:00:07] 那其实那个东西还是有用的
[00:00:07 - 00:00:09] 因为它可能会有保送的资格
[00:00:09 - 00:00:10] 保送的名额
[00:00:10 - 00:00:11] 另外的话
[00:00:11 - 00:00:13] 你对物理学科相对比较感兴趣
[00:00:13 - 00:00:13] 然后的话
[00:00:13 - 00:00:15] 你将来还有可能会做物理强基
[00:00:15 - 00:00:17] 这个东西也是有用的
[00:00:17 - 00:00:18] 除了这两点以外
[00:00:18 - 00:00:21] 那么如果说你能够拿到一些奖项
[00:00:21 - 00:00:24] 并且在高中阶段考过雅思这样的成绩
[00:00:24 - 00:00:26] 你可以拿你奥赛的成绩加雅思的成绩
[00:00:26 - 00:00:27] 拿你高考的成绩
[00:00:27 - 00:00:28] 一起去申请国外的学校
[00:00:28 - 00:00:31] 如果这三条路都不是你要走的
[00:00:31 - 00:00:33] 那奥塞其实说实话是没有什么特别大意义的
