BV号：BV1Dk1MBREUk
标题：BV1Dk1MBREUk
链接：https://www.bilibili.com/video/BV1Dk1MBREUk
识别语言：zh
语言置信度：1
分段数：111
生成时间：2026-04-03 03:48:16

[00:00:00 - 00:00:01] 你要想保留大債率
[00:00:01 - 00:00:02] 进公园的机会的话
[00:00:02 - 00:00:04] 公园的专业分成三种
[00:00:04 - 00:00:06] 第一种专业叫横跨单位类
[00:00:06 - 00:00:07] 就是所有的单位都招
[00:00:07 - 00:00:09] 比如说你尝啥各个单位
[00:00:09 - 00:00:10] 一定会招的几个岗
[00:00:10 - 00:00:11] 计算机
[00:00:11 - 00:00:12] 裁块
[00:00:12 - 00:00:12] 法学
[00:00:12 - 00:00:13] 汉语言
[00:00:13 - 00:00:14] 私证
[00:00:14 - 00:00:15] 每个单位都招
[00:00:15 - 00:00:16] 比如说我举个例子法学
[00:00:16 - 00:00:19] 法学受专门独立的大的单位
[00:00:19 - 00:00:21] 比如像我们垂直系统的法检系统
[00:00:21 - 00:00:24] 包括说我们各种各样的执法单位
[00:00:24 - 00:00:25] 比如说持平药品监督管理局
[00:00:25 - 00:00:27] 然后市场监督管理局
[00:00:27 - 00:00:29] 只要是涉及到执法的
[00:00:29 - 00:00:31] 基本上一定会要法学
[00:00:31 - 00:00:33] 更别提法检系统
[00:00:33 - 00:00:35] 每个区都专门的法检系统
[00:00:35 - 00:00:36] 然后的话呢
[00:00:36 - 00:00:37] 计算机是每个单位都要的
[00:00:37 - 00:00:38] 法院要不要计算机
[00:00:38 - 00:00:40] 法院也要计算机
[00:00:40 - 00:00:41] 法院要不要裁判
[00:00:41 - 00:00:43] 法院也要裁判
[00:00:43 - 00:00:44] 法院要不要汉语言
[00:00:44 - 00:00:45] 法院也要汉语言
[00:00:45 - 00:00:47] 法院要不要私政
[00:00:47 - 00:00:48] 也要私政
[00:00:48 - 00:00:50] 我们也要做思想制度教育工作
[00:00:50 - 00:00:50] 所以说的话
[00:00:50 - 00:00:52] 你快发现这种专业叫横跨单位
[00:00:52 - 00:00:55] 叫横跨单位类口供专业
[00:00:55 - 00:00:58] 第二种专业叫垂直单位类口供专业
[00:00:58 - 00:01:00] 有些专业你只能考一个单位
[00:01:00 - 00:01:01] 别的单位你考不了
[00:01:01 - 00:01:02] 比如说我举个例子
[00:01:02 - 00:01:03] 你说老师我学的英雄英学
[00:01:03 - 00:01:05] 疾控中心
[00:01:05 - 00:01:06] 医疗卫生可以
[00:01:06 - 00:01:08] 所以说的话你会发现这种专业
[00:01:08 - 00:01:09] 他只能考一个单位
[00:01:09 - 00:01:10] 比如像旅游管理
[00:01:10 - 00:01:12] 旅游管理只能考文履单位
[00:01:12 - 00:01:15] 文履单位不招别的单位就一定不招
[00:01:15 - 00:01:15] 对吧
[00:01:15 - 00:01:17] 所以说的话这种叫垂直单位
[00:01:17 - 00:01:20] 垂直单位最要命的问题在于什么
[00:01:20 - 00:01:22] 你不敢保证他一定招
[00:01:22 - 00:01:23] 你不敢保证他一定招
[00:01:23 - 00:01:24] 他不像说才快
[00:01:24 - 00:01:28] 采快的话教育局不招劳动局招劳动局不招是有局肯定招
[00:01:28 - 00:01:30] 但是你说老师我学了一个垂直转业
[00:01:30 - 00:01:33] 老师我学理由管理文理局可能会招
[00:01:33 - 00:01:36] 但文理局万一不招怎么办
[00:01:36 - 00:01:37] 你多少学的为什么不招
[00:01:37 - 00:01:40] 因为没有退休的现在公务员口供叫什么
[00:01:40 - 00:01:43] 公务员边叫退一补一缝边闭口
[00:01:43 - 00:01:46] 有更要命的地方有退二补一和退三补一的
[00:01:46 - 00:01:49] 来我们直播间的朋友了解公务员招聘的
[00:01:49 - 00:01:50] 告诉我们直播间在哪是不是这样
