BV号：BV1Dx411q7ym
标题：BV1Dx411q7ym
链接：https://www.bilibili.com/video/BV1Dx411q7ym
识别语言：zh
语言置信度：1
分段数：151
生成时间：2026-04-04 12:38:52

[00:00:05 - 00:00:06] 啊干啥呀
[00:00:10 - 00:00:12] 好欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:17] 面试的时候你会发现老师问的问题呢
[00:00:17 - 00:00:19] 基本上是两大点问题啊
[00:00:19 - 00:00:19] 哪两大问题啊
[00:00:19 - 00:00:21] 一大类教的专业性问题
[00:00:21 - 00:00:22] 一大类教的非专业性问题
[00:00:22 - 00:00:23] 知道吧
[00:00:23 - 00:00:24] 什么叫专业性问题啊
[00:00:24 - 00:00:25] 就是你这个专业的问题
[00:00:25 - 00:00:26] 知道吧
[00:00:26 - 00:00:26] 别说老师
[00:00:26 - 00:00:28] 你老师学生物的问你生物的问题
[00:00:28 - 00:00:29] 老师学机械的问你
[00:00:29 - 00:00:31] 机械的问题学土木的问你土木的问题
[00:00:31 - 00:00:32] 学经济的问你经济的问题
[00:00:32 - 00:00:33] 这个大家都理解了
[00:00:33 - 00:00:34] 要不就叫专业性问题
[00:00:34 - 00:00:35] 还有一类叫非专业性问题
[00:00:35 - 00:00:36] 什么叫非专业行问题
[00:00:36 - 00:00:38] 老师问的问题跟考研有关
[00:00:38 - 00:00:40] 但是跟专业没关系
[00:00:40 - 00:00:41] 别让老师问你的同学来告诉我
[00:00:41 - 00:00:42] 你为什么要考研呢
[00:00:43 - 00:00:45] 为什么来到我们这个城市啊
[00:00:45 - 00:00:46] 为什么考我们学校啊
[00:00:46 - 00:00:47] 为什么学这个专业呀
[00:00:47 - 00:00:48] 你要是跟跨专业
[00:00:48 - 00:00:50] 老师可能会问为什么问题
[00:00:50 - 00:00:51] 你为什么要跨专业
[00:00:51 - 00:00:51] 对吗
[00:00:51 - 00:00:52] 所以东西以后发现
[00:00:52 - 00:00:53] 像这种问题
[00:00:53 - 00:00:54] 他们共同的特点
[00:00:54 - 00:00:55] 什么特点
[00:00:55 - 00:00:56] 他们没有标准答案
[00:00:56 - 00:00:57] 你们发现了吗
[00:00:57 - 00:00:59] 是不是每个人的情况都不一样
[00:00:59 - 00:00:59] 对吧
[00:00:59 - 00:01:01] 所以你回答这个问题就是手心一点
[00:01:01 - 00:01:01] 你就别你别傻了
[00:01:01 - 00:01:02] 把鸡打枪打锁
[00:01:02 - 00:01:03] 知道吗
[00:01:03 - 00:01:06] 老师问你同学你为什么考研我想这钱你恶心不恶心对吧
[00:01:06 - 00:01:08] 你回答他说为高大上一些对吧
[00:01:08 - 00:01:08] 比如说
[00:01:09 - 00:01:10] 给大家举个例子
[00:01:10 - 00:01:13] 比如说我们乡谈大学的同学一般情况下考研的话
[00:01:13 - 00:01:14] 往哪考的比较多
