BV号：BV1Dx4y1H7FS
标题：BV1Dx4y1H7FS
链接：https://www.bilibili.com/video/BV1Dx4y1H7FS
识别语言：zh
语言置信度：1
分段数：82
生成时间：2026-04-03 11:09:20

[00:00:00 - 00:00:01] 最近有家长问我说
[00:00:01 - 00:00:04] 能不能从就业的角度推荐一些行业
[00:00:04 - 00:00:06] 再推荐一些相关的院校和专业
[00:00:06 - 00:00:08] 其实之前在直播里边我就说过
[00:00:08 - 00:00:10] 相对于咱们一般家庭来说
[00:00:10 - 00:00:13] 电力这个行业的下限是非常高的
[00:00:13 - 00:00:14] 尤其像我往这种单位
[00:00:14 - 00:00:15] 下限的就要更高了
[00:00:15 - 00:00:17] 那要往这条路走
[00:00:17 - 00:00:19] 首先就要考虑原来电力部直属的
[00:00:19 - 00:00:20] 那几个学校
[00:00:20 - 00:00:22] 比如说今天我讲的咱们东北吉林省
[00:00:22 - 00:00:24] 吉林市的电力名校
[00:00:24 - 00:00:25] 东北电力大学
[00:00:25 - 00:00:26] 在电力行业里边
[00:00:26 - 00:00:28] 东北电力的大名
[00:00:28 - 00:00:29] 可以说是无人不知无人不晓
[00:00:29 - 00:00:34] 而且它還是我黨直接創建的第一組電力功課學校
[00:00:34 - 00:00:37] 在這個領域論資歷能超過它的學校並不多
[00:00:37 - 00:00:39] 那作為原電力部的植屬高校
[00:00:39 - 00:00:42] 它相關的學科其實實力也都是特別的牛的
[00:00:42 - 00:00:43] 比如說像電器工程
[00:00:43 - 00:00:45] 在第四輪第五輪學科評估里面
[00:00:45 - 00:00:48] 都能排得到全國的前20名左右
[00:00:48 - 00:00:51] 很多的985都被它甩在後邊
[00:00:51 - 00:00:52] 那之前直播的時候我也說過
[00:00:52 - 00:00:55] 你要是能在這個學校學個電器或者是相關專業
[00:00:55 - 00:00:58] 那你的一輩子都可能會改變
[00:00:58 - 00:01:00] 就让大家最关心的电气共成专业来说
[00:01:00 - 00:01:02] 什么手皮国家一流专业
[00:01:02 - 00:01:03] 国家特色专业
[00:01:03 - 00:01:05] 卓越工程师专业这些名同
[00:01:05 - 00:01:07] 我就不一个一个念了
[00:01:07 - 00:01:10] 光是一次就业率没低于过95%这一条
[00:01:10 - 00:01:12] 你就知道它大概是个什么实力
[00:01:12 - 00:01:14] 其他的能源与动力工程
[00:01:14 - 00:01:15] 电子新型工程
[00:01:15 - 00:01:16] 这种相关的专业
[00:01:16 - 00:01:18] 也都是国家一流专业
[00:01:18 - 00:01:20] 实力是嘎嘎强不说
[00:01:20 - 00:01:23] 就业率也差不多都是这个水平
[00:01:23 - 00:01:26] 而且一些电气能源方面的新型专业
[00:01:26 - 00:01:27] 它也是搞得有声有色
[00:01:27 - 00:01:29] 像什么智能电网啊
[00:01:29 - 00:01:29] 新能源啊
[00:01:29 - 00:01:30] 储能了
[00:01:30 - 00:01:35] 各方面实力和培养成果都已经和前面这些王牌专业看齐了
[00:01:35 - 00:01:36] 有同学要说了
[00:01:36 - 00:01:37] 说张老师
[00:01:37 - 00:01:40] 你说的都是他牛的专业就业率能不高吗
[00:01:40 - 00:01:42] 那有这个顾虑也能理解
[00:01:42 - 00:01:47] 但是东北电力大学全秀的整体就业率基本就没下过90%
[00:01:47 - 00:01:50] 咱们同学完全没有必要担心这些
[00:01:50 - 00:01:51] 而且就有所知
[00:01:51 - 00:01:56] 每一年就业的同学里边有一半以上的人都进到了能源电力行业
[00:01:56 - 00:01:58] 如果说只看电器相关专业的话
[00:01:58 - 00:02:02] 那更是由九成以上都去了电网公司
[00:02:02 - 00:02:03] 各大发电集团
[00:02:03 - 00:02:04] 核电集团公司等等
[00:02:04 - 00:02:06] 知名的能源电力企业
[00:02:06 - 00:02:07] 这些年呢
[00:02:07 - 00:02:09] 学校还和中广和国家电网
[00:02:09 - 00:02:11] 中国核电这样的头部企业
[00:02:11 - 00:02:13] 搞了很多订单联合培养
[00:02:13 - 00:02:16] 等于是一入校就把工作给你锁定了
[00:02:16 - 00:02:18] 当然有的同学不想就业
[00:02:18 - 00:02:19] 想深造
[00:02:19 - 00:02:22] 东北电力这方面的条件也是很好的
[00:02:22 - 00:02:25] 学校每年的升学率能到30%
[00:02:25 - 00:02:27] 而且它也是有推面資格的
[00:02:27 - 00:02:29] 努力就不用捲考研了
[00:02:29 - 00:02:30] 再一個
[00:02:30 - 00:02:33] 學校所有的本科學院都有碩士點
[00:02:33 - 00:02:35] 哪怕現在考研越來越捲
[00:02:35 - 00:02:37] 也有本校給你鬥點
[00:02:37 - 00:02:38] 咱老說以中為實
[00:02:38 - 00:02:41] 如果你想往電力這個行業發展
[00:02:41 - 00:02:43] 東北電力這所學校在行業裡的地位高
[00:02:43 - 00:02:44] 實力強
[00:02:44 - 00:02:46] 關鍵分數還很友好
[00:02:46 - 00:02:48] 就非常適合作為入行的起點
[00:02:48 - 00:02:50] 有想法的同學就千萬別錯過了
