BV号：BV1ET421i7Kx
标题：BV1ET421i7Kx
链接：https://www.bilibili.com/video/BV1ET421i7Kx
识别语言：zh
语言置信度：1
分段数：85
生成时间：2026-04-03 11:01:37

[00:00:00 - 00:00:01] 相信大家都注意到了
[00:00:01 - 00:00:03] 今年考研人数少了
[00:00:03 - 00:00:05] 有人就觉得考研要变简单了
[00:00:05 - 00:00:07] 我告诉你错了
[00:00:07 - 00:00:08] 考研的人少了
[00:00:08 - 00:00:10] 那是因为保研的人多了
[00:00:10 - 00:00:13] 有的学校很多专业主要找保研生
[00:00:13 - 00:00:16] 能够给同考生的名额很少很少
[00:00:16 - 00:00:17] 有的同学就要问了
[00:00:17 - 00:00:20] 那以后想考研上名校就没机会了吗
[00:00:20 - 00:00:21] 那倒也不是
[00:00:21 - 00:00:23] 像张老师今天要给大家推荐的
[00:00:23 - 00:00:24] 大连海诗大学
[00:00:24 - 00:00:27] 就是221里边最容易上岸的学校之一
[00:00:27 - 00:00:28] 对于同考生来说
[00:00:28 - 00:00:30] 海大可以说是流足的机会
[00:00:30 - 00:00:33] 你可以去查一查学校的暴露笔和分数线
[00:00:33 - 00:00:35] 就知道为什么都托他竞争压力小了
[00:00:35 - 00:00:38] 他有的学科专业能路九成以上的同考生
[00:00:38 - 00:00:40] 也不用担心富士被压分
[00:00:40 - 00:00:42] 大家可以去网上搜搜看
[00:00:42 - 00:00:45] 是不是很多人都说海大富士很公平
[00:00:45 - 00:00:47] 不存在歧视本开院校的情况
[00:00:47 - 00:00:48] 只要你好好准备的话
[00:00:48 - 00:00:50] 上岸基本没问题
[00:00:50 - 00:00:52] 而且海大的底子很扎实
[00:00:52 - 00:00:55] 他到今年已经介绍一百一十五年了
[00:00:55 - 00:00:58] 是少有的被國際海事組織認定的學校
[00:00:58 - 00:01:00] 國內外的生育那是相當好
[00:01:00 - 00:01:03] 尤其是航海類名氣特別像
[00:01:03 - 00:01:05] 考上不愁以後路不好走
[00:01:05 - 00:01:06] 就說學科啊
[00:01:06 - 00:01:08] 海大不光有交通運輸工程
[00:01:08 - 00:01:11] 這個雙一流學科還有交通信息工程及控制
[00:01:11 - 00:01:13] 輪際工程兩個國家重點學科
[00:01:13 - 00:01:15] 四個交通運輸部重點學科
[00:01:15 - 00:01:18] 十個遼寧省重點學科
[00:01:18 - 00:01:21] ESI全球前百分之一的學科呢也有六個
[00:01:21 - 00:01:23] 好幾個學科也得到了遼寧省的重點支持
[00:01:23 - 00:01:25] 学科都这么强了
[00:01:25 - 00:01:26] 专业自然差不了
[00:01:26 - 00:01:28] 交通信息工程及控制
[00:01:28 - 00:01:29] 轮机工程
[00:01:29 - 00:01:29] 传播工程
[00:01:29 - 00:01:31] 那都是全国属于所二的
[00:01:31 - 00:01:33] 在海上交通这个细分领域
[00:01:33 - 00:01:36] 海大的优势那更是相当明显
[00:01:36 - 00:01:38] 而且它的文科也拿得出手
[00:01:38 - 00:01:39] 尤其是海商法
[00:01:39 - 00:01:41] 那绝对算得上是国内的顶尖
[00:01:41 - 00:01:42] 所以说你考上以后呢
[00:01:42 - 00:01:45] 能接触的几乎都是优质资源
[00:01:45 - 00:01:46] 不管是想深造
[00:01:46 - 00:01:48] 还是说想做出点成绩
[00:01:48 - 00:01:49] 求分好工作
[00:01:49 - 00:01:50] 都是不错的选择
[00:01:50 - 00:01:51] 那既然提到就业
[00:01:51 - 00:01:53] 那我就再多说两句
[00:01:53 - 00:01:55] 海大就业非常牛
[00:01:55 - 00:01:57] 就业率基本到95%
[00:01:57 - 00:01:59] 四成以上的毕业生都去了500强
[00:01:59 - 00:02:00] 还有国企
[00:02:00 - 00:02:04] 还都说海大是交通运输部的唯一的亲儿子
[00:02:04 - 00:02:08] 不光说他为航运事业涉海行业培养人才
[00:02:08 - 00:02:11] 在口供这件事上他也是有天然优势的
[00:02:11 - 00:02:12] 大家也都能看出来
[00:02:12 - 00:02:15] 现代一些单位的口供门槛很高
[00:02:15 - 00:02:18] 如果说能进到对应的行业特色高效
[00:02:18 - 00:02:20] 那简直是已经在起跑线了
[00:02:20 - 00:02:22] 你要是说这些我不关心
[00:02:22 - 00:02:23] 我就一门心思
[00:02:23 - 00:02:24] 我想搞学术
[00:02:24 - 00:02:25] 哎那也可以
[00:02:25 - 00:02:28] 海大的博士生学率接近8%
[00:02:28 - 00:02:30] 你想继续读博
[00:02:30 - 00:02:33] 其他顶尖高校也肯任何海大的块孩子
[00:02:33 - 00:02:36] 他自己就有九个一级学科的博士点
[00:02:36 - 00:02:37] 三个交叉学科的博士点
[00:02:37 - 00:02:40] 考本校也是一个不错的选择
[00:02:40 - 00:02:42] 学校是二一双一流
[00:02:42 - 00:02:43] 毕业以后出路不用愁
[00:02:43 - 00:02:46] 还能基本做到国家县就有学校上
[00:02:46 - 00:02:48] 海大的新加比实在是太高了
[00:02:48 - 00:02:49] 考研的同学们呢
[00:02:49 - 00:02:51] 一定要多了解一下
