BV号：BV1F4411N7zK
标题：BV1F4411N7zK
链接：https://www.bilibili.com/video/BV1F4411N7zK
识别语言：zh
语言置信度：1
分段数：425
生成时间：2026-04-04 07:57:40

[00:00:00 - 00:00:02] 大家好,我是老学习变得更快乐的张雪凤老师
[00:00:02 - 00:00:04] 欢迎大家收看法律其实很好玩
[00:00:04 - 00:00:08] 在2001年,在四川的卢州发生了这样一个案子
[00:00:08 - 00:00:10] 说有这么一个人叫黄某
[00:00:10 - 00:00:14] 他因身患肝癌晚期就住进了医院
[00:00:14 - 00:00:16] 他住进医院以后就觉得自己时无夺
[00:00:16 - 00:00:17] 就决定要立遗嘱了
[00:00:17 - 00:00:19] 他遗嘱当中写道
[00:00:19 - 00:00:21] 我死以后将我的遗产
[00:00:21 - 00:00:24] 包括说我房子卖的钱
[00:00:24 - 00:00:26] 包括说我存款等等等等
[00:00:26 - 00:00:31] 一半是交给我的朋友张女士来给他的
[00:00:31 - 00:00:32] 这个遗嘱就给了张女士了
[00:00:32 - 00:00:35] 当然他们两个关系大家就已经不言而喻了
[00:00:35 - 00:00:37] 张女士他拿到遗嘱以后的话
[00:00:37 - 00:00:40] 也到公众处去公证了
[00:00:40 - 00:00:42] 这个遗嘱是经过公证的
[00:00:42 - 00:00:44] 他是有绝对的公证效率法律效率的
[00:00:44 - 00:00:47] 那么没过几天黄毛就死了
[00:00:47 - 00:00:49] 死了以后在火火当天
[00:00:49 - 00:00:52] 他的朋友张女士就拿着遗嘱
[00:00:52 - 00:00:54] 就当众的宣布了一下
[00:00:54 - 00:00:56] 说我要拿到这一半的财产
[00:00:56 - 00:00:59] 但其实当时黄某是没有离婚的
[00:00:59 - 00:01:00] 他那妻子呢
[00:01:00 - 00:01:01] 姜女士
[00:01:01 - 00:01:03] 这个姜某就聚不同意
[00:01:03 - 00:01:05] 我不可能把我老公的这个遗产给你
[00:01:05 - 00:01:06] 再怎么着
[00:01:06 - 00:01:08] 我是他结婚的这个对象
[00:01:08 - 00:01:09] 我是他老婆
[00:01:09 - 00:01:11] 你不是就坚决不同意把这个遗产
[00:01:11 - 00:01:13] 去给这个张女士
[00:01:13 - 00:01:15] 这个黄某的朋友
[00:01:15 - 00:01:16] 但是人家这张女士就说了
[00:01:16 - 00:01:19] 说你看你们两个感情本来就不是很好
[00:01:19 - 00:01:19] 这个确实呢
[00:01:19 - 00:01:22] 也是经过这个黄某的家人当中确定过的
[00:01:22 - 00:01:25] 這個黃某跟這個蔣女士結婚以後
[00:01:25 - 00:01:26] 兩人管理乾淨
[00:01:26 - 00:01:27] 一直就不太好
[00:01:27 - 00:01:29] 其實一直在弄離婚
[00:01:29 - 00:01:30] 但是一直也就沒離成
[00:01:30 - 00:01:32] 沒離成完以後的話
[00:01:32 - 00:01:34] 這個黃某就不在家裡住了
[00:01:34 - 00:01:35] 我一個月的工資
[00:01:35 - 00:01:36] 我交給你蔣女士一半
[00:01:36 - 00:01:37] 我就不在家裡待了
[00:01:37 - 00:01:39] 反正我就跟你過不下去了
[00:01:39 - 00:01:40] 我待會兒愛怎麼樣怎麼樣
[00:01:40 - 00:01:42] 最後的婚也確實是沒有離成
[00:01:42 - 00:01:43] 那麼在本案當中
[00:01:43 - 00:01:46] 因為張女士的身份是比較特殊的
[00:01:46 - 00:01:48] 她到底能不能憑藉經過公正處
[00:01:48 - 00:01:49] 公正過的遺囑
[00:01:49 - 00:01:52] 拿到黃某的那份遺產呢
[00:01:52 - 00:01:54] 这就是我们本期要讨论的话题
[00:02:03 - 00:02:03] 大家好
[00:02:03 - 00:02:05] 我上学习变得共克勒的张雪丰老师
[00:02:05 - 00:02:07] 欢迎大家收看本期的法律
[00:02:07 - 00:02:08] 其实很好玩
[00:02:08 - 00:02:11] 我们本期请到的嘉宾依然是我们沿途教育的前缘名识
[00:02:11 - 00:02:13] 我们的杨阳侠老师
[00:02:13 - 00:02:14] 杨老师跟大家打个招呼
[00:02:14 - 00:02:15] 嗨 大家好
[00:02:15 - 00:02:17] 杨老师这个案子很好玩啊
[00:02:17 - 00:02:19] 其实理论上来讲我们说什么
[00:02:19 - 00:02:20] 蒋末烂心报告
[00:02:20 - 00:02:21] 风暴还说的这些人命
[00:02:21 - 00:02:23] 咱们就说得直白一点啊
[00:02:23 - 00:02:26] 就是所谓的二奶高大
[00:02:26 - 00:02:26] 对吧
[00:02:26 - 00:02:27] 对吧
[00:02:27 - 00:02:30] 国家首例二奶公然走到法院
[00:02:30 - 00:02:31] 就是告这个元配
[00:02:31 - 00:02:32] 对不对
[00:02:32 - 00:02:33] 那你看我二奶
[00:02:33 - 00:02:35] 你别往手是二奶
[00:02:35 - 00:02:37] 我是拿到了这个遗嘱的
[00:02:37 - 00:02:38] 对吧
[00:02:38 - 00:02:39] 人家说是这个遗嘱
[00:02:39 - 00:02:40] 当中是有我那一份的
[00:02:40 - 00:02:40] 对不对
[00:02:40 - 00:02:41] 然后的话
[00:02:42 - 00:02:43] 我也是这个公正的
[00:02:43 - 00:02:44] 对吧
[00:02:44 - 00:02:46] 那我这个到底能不能拿到呢
[00:02:46 - 00:02:48] 当时是这样
[00:02:48 - 00:02:50] 就说当时黄某死者
[00:02:50 - 00:02:52] 他当时就说他的遗嘱里面
[00:02:52 - 00:02:55] 专门说我的遗产的一半
[00:02:55 - 00:02:55] 就是我们俩
[00:02:55 - 00:02:57] 他跟他妻子有個房子
[00:02:57 - 00:03:01] 這個房子的一半歸我的朋友
[00:03:01 - 00:03:03] 他覺得是完全合法的
[00:03:03 - 00:03:04] 夫妻共同財產
[00:03:04 - 00:03:06] 我只要這一半給我的朋友
[00:03:06 - 00:03:07] 我處分我的財產
[00:03:07 - 00:03:07] 對吧
[00:03:07 - 00:03:09] 他說我又沒處分咱們家的財產
