BV号：BV1F6QoYeE29
标题：BV1F6QoYeE29
链接：https://www.bilibili.com/video/BV1F6QoYeE29
识别语言：zh
语言置信度：1
分段数：121
生成时间：2026-04-03 05:35:50

[00:00:00 - 00:00:03] 我是四川的考生
[00:00:03 - 00:00:08] 然后这次八十年考考的一般只有556分
[00:00:08 - 00:00:11] 然后四位分大概是49000多
[00:00:11 - 00:00:13] 个人比较感兴趣的是
[00:00:13 - 00:00:17] 电子信息、自动化机械领还有力学者方面的
[00:00:17 - 00:00:19] 但是这个FLA有胆型
[00:00:19 - 00:00:22] 就是没有好的专业跟好的学校
[00:00:22 - 00:00:24] 所以想问一下有什么建议
[00:00:24 - 00:00:27] 你这个分数段能够勉强报道
[00:00:27 - 00:00:31] 在你想报的这些专业有硕士点的学校
[00:00:31 - 00:00:31] 你懂我的意思吗
[00:00:31 - 00:00:33] 你看一下同学
[00:00:33 - 00:00:34] 我教你具体的步骤
[00:00:34 - 00:00:36] 别管说你是报四川省内的学校
[00:00:36 - 00:00:37] 还是报四川省外的学校
[00:00:37 - 00:00:38] 假如说
[00:00:38 - 00:00:39] 假如
[00:00:39 - 00:00:42] 你最后高考的位次也是五万位
[00:00:42 - 00:00:44] 那么你可以采取以下的一些方式
[00:00:44 - 00:00:45] 找到你心仪的学校
[00:00:45 - 00:00:46] 第一步
[00:00:46 - 00:00:46] 各位家长
[00:00:46 - 00:00:48] 这个下面这一段
[00:00:48 - 00:00:50] 我们所有的家长都可以用
[00:00:50 - 00:00:52] 但是在他这个分析度会更加适合
[00:00:52 - 00:00:52] 第一步
[00:00:52 - 00:00:54] 因为你的专业明确就是理工科
[00:00:54 - 00:00:55] 对不对
[00:00:55 - 00:00:55] 对
[00:00:55 - 00:00:56] 理工科
[00:00:56 - 00:00:58] 代电功科或代理功科
[00:00:58 - 00:00:59] 只要是功科就是好的
[00:00:59 - 00:01:00] 尽量不要带化学
[00:01:00 - 00:01:01] 是这样的意思吧
[00:01:01 - 00:01:02] 对
[00:01:02 - 00:01:06] 因为我化学高中学的是有点困难的
[00:01:06 - 00:01:06] OK
[00:01:06 - 00:01:07] 好
[00:01:07 - 00:01:08] 那就是带物理的功科
[00:01:08 - 00:01:09] 来
[00:01:09 - 00:01:09] 第二点
[00:01:09 - 00:01:10] 同学是这样子
[00:01:10 - 00:01:11] 第一步
[00:01:11 - 00:01:12] 找出你的位置
[00:01:12 - 00:01:12] 第二点
[00:01:12 - 00:01:12] 同学
[00:01:12 - 00:01:13] 你可以看一下
[00:01:13 - 00:01:14] 你的这个位置
[00:01:14 - 00:01:17] 大概往年能够哪些学校
[00:01:17 - 00:01:18] 这是第二步
[00:01:18 - 00:01:19] 比如说
[00:01:19 - 00:01:19] 够A学校
[00:01:19 - 00:01:20] 够B学校
[00:01:20 - 00:01:20] 够C学校
[00:01:20 - 00:01:21] 够D学校
[00:01:21 - 00:01:22] 比如说
[00:01:22 - 00:01:24] 老师我够到湖南科技学院
[00:01:24 - 00:01:25] 说老师我能够到
[00:01:25 - 00:01:26] 这个苏州科技大学
[00:01:26 - 00:01:27] 苏老师我能够到
[00:01:27 - 00:01:29] 这个四川清化工大学等等等等
[00:01:29 - 00:01:30] 你会能够到一些学校
[00:01:30 - 00:01:31] 对不对
[00:01:31 - 00:01:33] 第二步看一下你能够到哪些学校
[00:01:33 - 00:01:36] 第三步能够到这些学校的哪些专业
[00:01:36 - 00:01:38] 比如说你够这个学校
[00:01:38 - 00:01:39] 这个学校一工招十个专业
[00:01:39 - 00:01:41] 五个专业你的位置是不够的
[00:01:41 - 00:01:43] 另外五个专业位置你是够的
[00:01:43 - 00:01:44] 但是这五个专业
[00:01:44 - 00:01:46] 你的位置是够的
[00:01:46 - 00:01:47] 但是这五个专业你都不想要
[00:01:47 - 00:01:49] 那这个学校就去掉
[00:01:49 - 00:01:49] 听懂了吗
[00:01:49 - 00:01:51] 比如说这个学校是什么
[00:01:51 - 00:01:53] 计算机 电子信息 电器自动化
[00:01:53 - 00:01:54] 一切工程都有
[00:01:54 - 00:01:56] 但是它的位置都高过
[00:01:56 - 00:01:57] 四万五千位
[00:01:57 - 00:01:58] 你是四万九千位
[00:01:58 - 00:02:00] 你报这个学校明天你是炮灰
[00:02:00 - 00:02:01] 但是后面的五个专业
[00:02:01 - 00:02:02] 生物环境化工材料
[00:02:02 - 00:02:03] 你都够
[00:02:03 - 00:02:04] 生物环境化工材料
[00:02:04 - 00:02:05] 万一五万二万三万四
[00:02:05 - 00:02:06] 但是你四万九
[00:02:06 - 00:02:08] 报这个能不能录能录
[00:02:08 - 00:02:08] 但是你不想要
[00:02:08 - 00:02:09] 那这个学校你就去掉
[00:02:09 - 00:02:11] 因为好的专业你不够
[00:02:11 - 00:02:12] 听明白了吗
[00:02:12 - 00:02:13] 明白了老师
[00:02:13 - 00:02:14] 所以说
[00:02:14 - 00:02:15] 第一步有位次
[00:02:15 - 00:02:17] 第二步查到哪些学校
[00:02:17 - 00:02:18] 第三步看这些学校
[00:02:18 - 00:02:19] 你够哪些专业
[00:02:19 - 00:02:21] 把你够的那些专业
[00:02:21 - 00:02:22] 是你不想要的学校
[00:02:22 - 00:02:23] 全部驱掉
[00:02:23 - 00:02:25] 然后第四步
[00:02:25 - 00:02:27] 看你够的这些学校
[00:02:27 - 00:02:28] 比如说老师有一个学校
[00:02:28 - 00:02:29] 我够四个专业
[00:02:29 - 00:02:30] 这四个专业都是我想要的
[00:02:30 - 00:02:32] 哪一个我都很喜欢
[00:02:32 - 00:02:33] 我上哪一个专业我都很满意了
[00:02:33 - 00:02:34] 第四步
[00:02:34 - 00:02:36] 孩子这就是重点了
[00:02:36 - 00:02:38] 因为你这个分析段能上到
[00:02:38 - 00:02:41] 有的学校在你这个专业上是有说实点的
[00:02:41 - 00:02:43] 一个学校在这个专业上有说实点
[00:02:43 - 00:02:44] 一定会比这个学校在这个专业上
[00:02:44 - 00:02:45] 没有说实点要好
[00:02:45 - 00:02:46] 这个你能理解吧
[00:02:46 - 00:02:47] 第四步
[00:02:47 - 00:02:49] 就看你够的这些学校当中
[00:02:49 - 00:02:50] 哪个学校有说实点
[00:02:50 - 00:02:51] 就把这个学校放在前面
[00:02:51 - 00:02:52] 能懂了吧
