BV号：BV1FE411e7KQ
标题：BV1FE411e7KQ
链接：https://www.bilibili.com/video/BV1FE411e7KQ
识别语言：zh
语言置信度：1
分段数：389
生成时间：2026-04-04 05:33:49

[00:00:02 - 00:00:04] 现在买师是你的人买二组的锅吗
[00:00:04 - 00:00:05] 不少
[00:00:05 - 00:00:06] 他对你不觉得不幸
[00:00:06 - 00:00:08] 你家里有再多的帮你
[00:00:08 - 00:00:09] 你不会把它拿出来卖
[00:00:09 - 00:00:10] 哎
[00:00:10 - 00:00:12] 真的
[00:00:12 - 00:00:13] 有减入社益入社益
[00:00:13 - 00:00:14] 这个人啊
[00:00:14 - 00:00:16] 往高处走简单
[00:00:16 - 00:00:17] 往低处走就来了
[00:00:17 - 00:00:18] 你看师傅就不低
[00:00:18 - 00:00:20] 背了一个LV包包拿出去也
[00:00:20 - 00:00:21] 不留人
[00:00:21 - 00:00:23] 甚至明天你是一年大在师傅里面做的
[00:00:23 - 00:00:25] 一般人都不会想到的
[00:00:26 - 00:00:39] 大家好
[00:00:39 - 00:00:41] 欢迎收看小型豆鼻托口秀大开眼界
[00:00:41 - 00:00:43] 我是让学习变得更快乐的张雪锋老师
[00:00:43 - 00:00:47] 我们本期请到外加宾的依然是我们国内的顶级的设施品
[00:00:47 - 00:00:50] 建订关家我们的张三老师张老师给大家打招呼
[00:00:50 - 00:00:51] 哈喽大家好
[00:00:51 - 00:00:57] 张老师上一期你跟我说咱们面前这两个包是二手的
[00:00:57 - 00:00:58] 对嘛
[00:00:58 - 00:01:00] 现在买设施品的人买二手的多吗
[00:01:00 - 00:01:02] 以现在的眼光来看
[00:01:02 - 00:01:03] 不少
[00:01:03 - 00:01:04] 不少
[00:01:04 - 00:01:07] 如果你站在未来的三五年的角度上来看的话
[00:01:07 - 00:01:08] 就太少了
[00:01:08 - 00:01:11] 因为接下来一定会越来越多的人
[00:01:11 - 00:01:12] 那为什么呢
[00:01:12 - 00:01:18] 为什么二手的设置品会越来越活润
[00:01:18 - 00:01:20] 当时我在研究中日设置品发展的时候
[00:01:20 - 00:01:22] 我发现有一个什么特别有意思的事
[00:01:22 - 00:01:26] 就是日本那个市场真正二手设置品的兴起
[00:01:26 - 00:01:27] 是在什么时候
[00:01:27 - 00:01:30] 是在它的经济增长慢增速的时候
[00:01:30 - 00:01:33] 一旦进入到经济增长的慢增速的时候
[00:01:33 - 00:01:36] 反而会作为一个市场的催花季
