BV号：BV1FG4y1L7K3
标题：BV1FG4y1L7K3
链接：https://www.bilibili.com/video/BV1FG4y1L7K3
识别语言：zh
语言置信度：1
分段数：20
生成时间：2026-04-03 16:35:01

[00:00:00 - 00:00:01] 如果说你要做主持人可以端
[00:00:01 - 00:00:03] 但是你做主播你是万万不能端的
[00:00:03 - 00:00:04] 不是
[00:00:04 - 00:00:06] 但是主播他也有很多类型
[00:00:06 - 00:00:08] 他如果是文创类的
[00:00:08 - 00:00:09] 带一点文化的东西
[00:00:09 - 00:00:11] 我觉得他不视为一种
[00:00:11 - 00:00:13] 你看过文创的直播吗
[00:00:13 - 00:00:15] 你们很难想象
[00:00:15 - 00:00:17] 就是现在他们这种文创带货
[00:00:17 - 00:00:19] 包括说带货主播
[00:00:19 - 00:00:20] 大概是一个什么样子
[00:00:20 - 00:00:23] 因为我在这个行业里边
[00:00:23 - 00:00:24] 引起了很多年了
[00:00:26 - 00:00:28] 这一带要39块钱
[00:00:28 - 00:00:29] 今天我们39块钱
[00:00:29 - 00:00:32] 一包 两包 三包
[00:00:32 - 00:00:33] 老板不能送了
[00:00:33 - 00:00:35] 四包 老板不行
[00:00:35 - 00:00:37] 我今天就要回回
