BV号：BV1FLfHYJEbC
标题：BV1FLfHYJEbC
链接：https://www.bilibili.com/video/BV1FLfHYJEbC
识别语言：zh
语言置信度：1
分段数：13
生成时间：2026-04-03 06:03:04

[00:00:00 - 00:00:01] 我想问一下就是
[00:00:01 - 00:00:06] 计算机科学与技术和电子与技术
[00:00:06 - 00:00:08] 然后这两个的区别在哪
[00:00:08 - 00:00:09] 加拿是这样
[00:00:09 - 00:00:11] 计算机科学与技术只有软件没有硬件
[00:00:11 - 00:00:15] 电子科学与技术是一用件软件都包含
[00:00:15 - 00:00:17] 那这两个就业方向呢
[00:00:17 - 00:00:19] 从学习内容的角度来讲
[00:00:19 - 00:00:22] 电子信息类专业大于计算机类专业
[00:00:22 - 00:00:25] 从口供的岗位数量来讲
[00:00:25 - 00:00:27] 计算机类专业大于电子信息类专业
[00:00:27 - 00:00:30] 如果说你从就业面广的角度来讲
[00:00:30 - 00:00:32] 电子科学技术一定比计算机广
