BV号：BV1FT4y1d7Nf
标题：BV1FT4y1d7Nf
链接：https://www.bilibili.com/video/BV1FT4y1d7Nf
识别语言：zh
语言置信度：1
分段数：72
生成时间：2026-04-03 21:52:19

[00:00:00 - 00:00:01] 说张老师我怎么知道他切不切实
[00:00:01 - 00:00:02] 所谓二本三本的学生
[00:00:02 - 00:00:03] 你怎么知道
[00:00:03 - 00:00:04] 你们师兄师姐吗
[00:00:04 - 00:00:05] 你就问那一个问题
[00:00:05 - 00:00:06] 大哥大姐我请问一下
[00:00:06 - 00:00:09] 咱们学校双非的学生能有多少
[00:00:09 - 00:00:10] 证据可以问得更直接
[00:00:10 - 00:00:12] 咱们学校有没有招数过独立学院的学生
[00:00:12 - 00:00:13] 这个学校招十个人
[00:00:13 - 00:00:14] 没有双非的学生
[00:00:14 - 00:00:15] 你别考了
[00:00:15 - 00:00:16] 知道吧
[00:00:16 - 00:00:17] 像这种没招过独立学院的学生
[00:00:17 - 00:00:18] 你就不要考了
[00:00:18 - 00:00:18] 知道吧
[00:00:18 - 00:00:20] 老师我成为第一个吃螃蟹的人
[00:00:20 - 00:00:22] 前面的人都是这么想的
[00:00:22 - 00:00:23] 知道吧
[00:00:23 - 00:00:23] 你不要死就不
[00:00:23 - 00:00:25] 你觉得自己跟别人有什么不一样
[00:00:25 - 00:00:25] 知道吧
[00:00:25 - 00:00:26] 你就是一个反复俗子
[00:00:26 - 00:00:27] 知道吧
[00:00:27 - 00:00:28] 有的人说张老师
[00:00:28 - 00:00:30] 那他周十个人里边我问了
[00:00:30 - 00:00:32] 有一个独立学院的学生
[00:00:32 - 00:00:33] 我可不可以考
[00:00:33 - 00:00:35] 要就这么一个人的话
[00:00:35 - 00:00:37] 我也不建议考
[00:00:37 - 00:00:38] 为什么
[00:00:38 - 00:00:41] 这一个人身上有什么特点老师特别喜欢
[00:00:41 - 00:00:46] 你很难保证你身上也有
[00:00:46 - 00:00:48] 我再跟你说的明白一点各位
[00:00:48 - 00:00:51] 有可能他身上有的那个特点老师很喜欢
[00:00:51 - 00:00:56] 也许全世界就他自己有
[00:00:56 - 00:00:57] 懂吗
[00:00:57 - 00:00:58] 我给大家举个例子
[00:00:58 - 00:00:59] 你能想象到电的信息类
[00:00:59 - 00:01:00] 我们大家电的信息类
[00:01:00 - 00:01:02] 我们有很多同学学电的信息类的
[00:01:02 - 00:01:03] 对吧
[00:01:03 - 00:01:05] 我们上大学学的专业课是什么
[00:01:05 - 00:01:07] 电路通信的同学考的是什么
[00:01:07 - 00:01:13] 通信原理信号系统等等
[00:01:13 - 00:01:15] 你能想象到有一个学校通信专业
[00:01:15 - 00:01:20] 考研条计要求考学过立学吗
[00:01:20 - 00:01:20] 你说老师
[00:01:20 - 00:01:24] 他为什么要求考研条计这个专业
[00:01:24 - 00:01:26] 因为这个专业大多数都是考通信原理
[00:01:26 - 00:01:27] 和信号系统的
[00:01:27 - 00:01:27] 对吧
[00:01:27 - 00:01:31] 他为什么要求考研条计考结构立学呢
[00:01:31 - 00:01:33] 能想明白为什么吗
[00:01:34 - 00:01:36] 因为有的人
[00:01:37 - 00:01:39] 他考的就是结构立学呀
[00:01:40 - 00:01:41] 所以说招一个人的也不要考
[00:01:41 - 00:01:42] 知道吧
[00:01:42 - 00:01:43] 结构有的人装了说我看到了
[00:01:43 - 00:01:45] 那个学校招十个人
[00:01:45 - 00:01:46] 有三个人是怎么样
[00:01:46 - 00:01:47] 是独立学院的
[00:01:47 - 00:01:49] 有三个人是双非的
[00:01:49 - 00:01:49] 这个你可以考
[00:01:49 - 00:01:50] 能明白吗
[00:01:50 - 00:01:51] 因为那三个人很少
[00:01:51 - 00:01:53] 不太可能有同意的课点
[00:01:53 - 00:01:54] 所以说的话
[00:01:54 - 00:01:55] 这个三个人的就可以考
[00:01:55 - 00:01:57] 所以说我们在报考研的时候
[00:01:57 - 00:01:57] 一道出去
[00:01:57 - 00:01:59] 选择是要选择也不要乱选
