BV号：BV1Fj411Q7wX
标题：BV1Fj411Q7wX
链接：https://www.bilibili.com/video/BV1Fj411Q7wX
识别语言：zh
语言置信度：1
分段数：89
生成时间：2026-04-03 14:25:48

[00:00:00 - 00:00:01] 今天要讲的这个学校呢
[00:00:01 - 00:00:03] 咱们前段时间已经都都转的提了很多次了
[00:00:03 - 00:00:06] 对 还是大家熟悉的那个哈尔滨工程大学
[00:00:06 - 00:00:07] 有的朋友就说说张老师
[00:00:07 - 00:00:08] 你咋老讲他呀
[00:00:08 - 00:00:11] 因为我是他边外的招生贩主任呢
[00:00:11 - 00:00:12] 是吧
[00:00:12 - 00:00:13] 咱们不开玩笑
[00:00:13 - 00:00:15] 主要是人家厉害的点确实是很多
[00:00:15 - 00:00:16] 一次也想不完
[00:00:16 - 00:00:18] 咱们今天要讲的就是
[00:00:18 - 00:00:21] 还是他杭洪城在全国都排了身号的
[00:00:21 - 00:00:21] 就是
[00:00:21 - 00:00:23] 动力与能源工程学院
[00:00:23 - 00:00:25] 说起这个动力学院呢
[00:00:25 - 00:00:26] 它的地位可以说是飞鸿凡响
[00:00:26 - 00:00:28] 它是杭洪城历史最悠久的学院之一
[00:00:28 - 00:00:30] 可以去吃到大名丁的哈军工
[00:00:30 - 00:00:32] 海军工程系
[00:00:32 - 00:00:34] 今年正好是建系70周年
[00:00:34 - 00:00:37] 而现如今它已经是最能够代表
[00:00:37 - 00:00:40] 哈军城三海一河的特色的学院之一了
[00:00:40 - 00:00:42] 也是咱们国家最重要的
[00:00:42 - 00:00:44] 传播动力的专业人才培养基地
[00:00:44 - 00:00:46] 据说传播动力行业里边
[00:00:46 - 00:00:47] 40%的毕业生
[00:00:47 - 00:00:49] 以及传播动力
[00:00:49 - 00:00:50] 国家重大项目团队
[00:00:50 - 00:00:52] 30%左右的技术武�
[00:00:52 - 00:00:54] 和各喜好总师
[00:00:54 - 00:00:55] 都来自于这个学院
[00:00:55 - 00:00:56] 你就说他牛不牛吗
[00:00:56 - 00:00:57] 当然了
[00:00:57 - 00:00:58] 能够培养出这么多优秀的人才
[00:00:58 - 00:01:00] 哈隆城动力学院靠的还是
[00:01:00 - 00:01:01] 小堂堂的一时力
[00:01:01 - 00:01:02] 咱就拿专业来说
[00:01:02 - 00:01:05] 学院虽然总共它就两个专业
[00:01:05 - 00:01:06] 但是没有一个不厉害的
[00:01:06 - 00:01:07] 全都是国家籍
[00:01:07 - 00:01:09] 一流本贺专业不说
[00:01:09 - 00:01:12] 能源与动力工程专业还是国防重点专业
[00:01:12 - 00:01:15] 轮机工程专业不仅是教育部特色专业
[00:01:15 - 00:01:18] 还通过了国家工程教育认证和国际专业人的
[00:01:18 - 00:01:20] 专业实力绝对景间
[00:01:20 - 00:01:23] 虽然说这两个专业是按照能源动力类
[00:01:23 - 00:01:24] 大类统一招生的
[00:01:24 - 00:01:26] 但是路到哪一个你都不失亏
[00:01:26 - 00:01:28] 那在资源平台这一块
[00:01:28 - 00:01:29] 依赖他的失资体上的牛
[00:01:29 - 00:01:30] 什么院士
[00:01:30 - 00:01:31] 高端外国专家
[00:01:31 - 00:01:33] 各种国家级人才
[00:01:33 - 00:01:34] 国家模范教师等等
[00:01:34 - 00:01:35] 通通不缺
[00:01:35 - 00:01:36] 再一个人家背靠的是
[00:01:36 - 00:01:39] 学科纳克是全国排的上号的
[00:01:39 - 00:01:40] 你比方说全国第一的
[00:01:40 - 00:01:42] 传播于海洋工程
[00:01:42 - 00:01:44] 全国第九的动力工程级
[00:01:44 - 00:01:44] 工程热物里
[00:01:44 - 00:01:46] 光各种国家级科研平台
[00:01:46 - 00:01:47] 就有十几个
[00:01:47 - 00:01:49] 总之就是资源平台厌扬造位
[00:01:49 - 00:01:50] 而且据我所知
[00:01:50 - 00:01:52] 这个学院真的是不差钱
[00:01:52 - 00:01:54] 科研经费年均两个亿
[00:01:54 - 00:01:56] 人均净水多年超过200万
[00:01:56 - 00:01:57] 常年都是全校的第一
[00:01:57 - 00:01:59] 放在全国那也是非常靠谐的
[00:01:59 - 00:02:01] 你就说有这样的硬件
[00:02:01 - 00:02:02] 它在人才培养这块
[00:02:02 - 00:02:03] 它能不靠谎吗
[00:02:03 - 00:02:04] 不说别的
[00:02:04 - 00:02:06] 光2022年哈锋城动力学院
[00:02:06 - 00:02:09] 本科生的读研率已经达到了65%
[00:02:09 - 00:02:12] 一个年纪近七成的学生都能去读研
[00:02:12 - 00:02:13] 你想想这是什么概念
[00:02:13 - 00:02:15] 而且每年有近千家单位
[00:02:15 - 00:02:18] 到校招生 毕业生 公不应酬
[00:02:18 - 00:02:20] 这个学院的一次就业率超过了95%
[00:02:20 - 00:02:23] 大部分學生去的都是北上廣深這種大城市
[00:02:23 - 00:02:25] 就業單位也都是像中國傳播
[00:02:25 - 00:02:28] 中石油丸、中海油丸、中瓜黃空、中瓜冰器
[00:02:28 - 00:02:31] 讓這些大型國際就業水量是擋擋的
[00:02:31 - 00:02:35] 總而言之哈古城東立學院是既有實力又有資源
[00:02:35 - 00:02:37] 最重要的就是不管你將來是深造還是就業
[00:02:37 - 00:02:38] 前景都很不錯
[00:02:38 - 00:02:40] 咱們分夠的同學衝就完了
