BV号：BV1Gh411H7dH
标题：BV1Gh411H7dH
链接：https://www.bilibili.com/video/BV1Gh411H7dH
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-03 22:17:39

[00:00:00 - 00:00:02] 大家好我上学习变得更回来的张雪峰老师
[00:00:02 - 00:00:04] 这马上就要国庆节了
[00:00:04 - 00:00:05] 那很多同学呢
[00:00:05 - 00:00:07] 可能会到各地去游玩
[00:00:07 - 00:00:08] 有的人就问我张老师
[00:00:08 - 00:00:10] 这个城市好玩的有什么
[00:00:10 - 00:00:11] 那个城市好玩的有什么
[00:00:11 - 00:00:12] 说实话
[00:00:12 - 00:00:13] 中国这么多城市呢
[00:00:13 - 00:00:15] 我倒是去了一遍
[00:00:15 - 00:00:16] 但其实我到每一个城市
[00:00:16 - 00:00:18] 最喜欢去的地方
[00:00:18 - 00:00:19] 不是别的地方
[00:00:19 - 00:00:21] 而是它当地的博物馆
[00:00:21 - 00:00:23] 尤其是各个省一级的博物馆
[00:00:23 - 00:00:25] 那么你到这个市也好
[00:00:25 - 00:00:26] 省也好
[00:00:26 - 00:00:27] 你到这个博物馆去
[00:00:27 - 00:00:29] 你就能了解到一个城市
[00:00:29 - 00:00:30] 乃至到一个省份
[00:00:30 - 00:00:34] 他历史上曾经是一个什么样子
[00:00:34 - 00:00:36] 那么在这个地方又曾经发现过
[00:00:36 - 00:00:37] 哪些国宝
[00:00:37 - 00:00:39] 这个是非常非常有意思的
[00:00:39 - 00:00:41] 那这些国宝不仅是重要的
[00:00:41 - 00:00:43] 历史文化的遗产
[00:00:43 - 00:00:45] 他的背后也见证和承载了
[00:00:45 - 00:00:48] 我们国家的相应的历史的文化
[00:00:48 - 00:00:49] 那如果由于峰会面的原因
[00:00:49 - 00:00:53] 你不能让你自己去亲自去这些博物馆
[00:00:53 - 00:00:54] 看这些文物的话
[00:00:54 - 00:00:56] 那你不妨来读一读我旁边这本书
[00:00:56 - 00:00:58] 叫做国宝故事书
[00:00:58 - 00:01:02] 那这本书以文物的价值为限记录了他们的出土
[00:01:02 - 00:01:03] 来历
[00:01:03 - 00:01:05] 以及他们背后的故事
[00:01:05 - 00:01:06] 你比如说
[00:01:06 - 00:01:06] 大家都知道
[00:01:06 - 00:01:09] 我们上学都学过有一个特别大的一个顶器
[00:01:09 - 00:01:10] 叫做四母雾顶
[00:01:10 - 00:01:12] 特别的大
[00:01:12 - 00:01:13] 那这本书中也讲了
[00:01:13 - 00:01:14] 这个四母雾顶
[00:01:14 - 00:01:15] 它是发掘过程
[00:01:15 - 00:01:17] 实际上在抗认战争时期
[00:01:17 - 00:01:18] 在河南安阳
[00:01:18 - 00:01:20] 有这么一个无性的人家
[00:01:20 - 00:01:23] 这个人家就听说自己家的祖坟里边
[00:01:23 - 00:01:25] 好像是买了点值钱的东西
[00:01:25 - 00:01:27] 那个时候打仗就穷苦
[00:01:27 - 00:01:29] 一家人兄弟一个就说说
[00:01:29 - 00:01:32] 咱们干脆就刨自己家祖坟
[00:01:32 - 00:01:34] 看咱们自己家祖坟那边有啥好玩意
[00:01:34 - 00:01:36] 咱们刨完以后给卖了
[00:01:36 - 00:01:36] 对吧
[00:01:36 - 00:01:38] 咱能整点钱
[00:01:38 - 00:01:38] 结果
[00:01:38 - 00:01:42] 这兄弟几个去挖自己家祖坟的时候
[00:01:42 - 00:01:44] 就挖到了一个特别特别硬
[00:01:44 - 00:01:45] 特别特别重的东西
[00:01:45 - 00:01:48] 实际上这个顶的确确实实
[00:01:48 - 00:01:53] 是我们目前挖掘出来的最大的一个青桶器了
[00:01:53 - 00:01:57] 他这个后母其实是一个带有效益的一个顶
[00:01:57 - 00:01:58] 它是一个祭祀的东西
[00:01:58 - 00:02:01] 所以说大家如果说你有兴趣对中国的文物感兴趣的话
[00:02:01 - 00:02:03] 这边不但接受了后母顶
[00:02:03 - 00:02:06] 还接受了很多其他的比较好玩的这个文物
[00:02:06 - 00:02:10] 每一个文物背后都有一个特别有意思的故事
[00:02:10 - 00:02:11] 我相信通过这本书
[00:02:11 - 00:02:14] 大家一定会发现一个不一样的古代社会
[00:02:14 - 00:02:16] 而书中的奇妙的知识
[00:02:16 - 00:02:19] 绝对会为你开启探索世界的大门
[00:02:19 - 00:02:21] 大家一定要买到这本书
[00:02:21 - 00:02:22] 好好看一看哦
