BV号：BV1Gj411o7Q7
标题：BV1Gj411o7Q7
链接：https://www.bilibili.com/video/BV1Gj411o7Q7
识别语言：zh
语言置信度：1
分段数：45
生成时间：2026-04-03 14:16:07

[00:00:00 - 00:00:02] 好的设计AI是替代不了的
[00:00:02 - 00:00:05] AI它只能去简单的做一些基础性的工作
[00:00:06 - 00:00:09] 但是真正需要创意的东西一定是人在做的
[00:00:09 - 00:00:10] 我给你举个简单的例子
[00:00:10 - 00:00:12] 你说我现在我习买一个房子
[00:00:12 - 00:00:14] 我找AI给我设计一张装球图纸
[00:00:14 - 00:00:14] 能不能设计
[00:00:14 - 00:00:15] 当然可以
[00:00:15 - 00:00:17] 但是也许有一个设计师
[00:00:17 - 00:00:18] 他给我画出来的这个东西
[00:00:18 - 00:00:19] 我发现
[00:00:20 - 00:00:22] 他比AI这个东西设计得要好
[00:00:22 - 00:00:24] 所以说的话这个东西我不觉得
[00:00:24 - 00:00:25] 它会完全毒死
[00:00:25 - 00:00:27] 如果说你是低端的那种
[00:00:27 - 00:00:29] 它大概率可用可能和替代
[00:00:29 - 00:00:31] 但是只要加的人性化的东西
[00:00:31 - 00:00:33] 因为有的时候人的有些内涵
[00:00:33 - 00:00:34] AS想不到的
[00:00:34 - 00:00:37] 它只能通过在网上对于你的这个理解
[00:00:37 - 00:00:39] TideGPT功能强大不强大很强大
[00:00:39 - 00:00:42] 但是TideGPT必须有个前提条件是什么
[00:00:42 - 00:00:46] 这个会发指令的人必须得会发指令
[00:00:46 - 00:00:47] 它会很强大
[00:00:47 - 00:00:49] 但是发指令的人不行
[00:00:49 - 00:00:50] 它就是不行
[00:00:50 - 00:00:53] 会发指令的人就会有好东西
[00:00:53 - 00:00:55] 但不会发指令的人
[00:00:55 - 00:00:57] 它出来的东西不一定好
[00:00:57 - 00:00:58] 它是个工具
[00:00:58 - 00:00:59] 所以说的话
[00:00:59 - 00:01:01] 完全取决于你自己在做设计的时候
[00:01:01 - 00:01:02] 有没有你自己的东西
[00:01:02 - 00:01:04] 有没有你自己的内涵
[00:01:04 - 00:01:05] 你的内涵是靠什么来的
[00:01:05 - 00:01:07] 你的内涵不是靠
[00:01:07 - 00:01:09] 你在这画东西设计来的
[00:01:09 - 00:01:09] 同学
[00:01:09 - 00:01:13] 你的内涵是靠我身后的这些东西来的
[00:01:13 - 00:01:14] 你的思想
[00:01:14 - 00:01:15] 你的内容
[00:01:15 - 00:01:15] 你的头脑
[00:01:15 - 00:01:16] 你的自主性
[00:01:16 - 00:01:18] 你的深度
[00:01:18 - 00:01:19] 会让你强悦
