BV号：BV1H7ZbYTEks
标题：BV1H7ZbYTEks
链接：https://www.bilibili.com/video/BV1H7ZbYTEks
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-03 05:23:23

[00:00:00 - 00:00:02] 来我给大家科学一下这个关于显程式的问题
[00:00:02 - 00:00:04] 就很多人家问的是什么
[00:00:04 - 00:00:05] 很多人家问的是
[00:00:05 - 00:00:09] 张老师我这个专业我的上学地点和就业地点关系能有多大
[00:00:09 - 00:00:11] 来各位朋友注意一下
[00:00:11 - 00:00:13] 文科很重要
[00:00:13 - 00:00:17] 只要是文科的你上学地点和你的就业程式很有可能
[00:00:17 - 00:00:20] 它是一个非常重的强项关的关系
[00:00:20 - 00:00:20] 知道吧
[00:00:20 - 00:00:22] 文科一定要看程式
[00:00:22 - 00:00:24] 比如说快捷一样的
[00:00:24 - 00:00:27] 这种专业很多人会说老师快捷我要报名的学校比较好
[00:00:27 - 00:00:29] 要是我我不会这么选的
[00:00:29 - 00:00:31] 要是我的话我一定选城市
[00:00:31 - 00:00:34] 因为你快级三节不说考不考功读问题
[00:00:34 - 00:00:36] 家长如果说你要再提这边就业的话
[00:00:36 - 00:00:39] 快级这个专业想要就业的前提条件是什么
[00:00:39 - 00:00:43] 得有企业你没有企业哪有你就业的空间
[00:00:43 - 00:00:45] 所以说我如果要是我来报的话
[00:00:45 - 00:00:49] 我一定不会说说什么快级哪个学生好
[00:00:49 - 00:00:51] 哪个学生一门我肯定不看这个
[00:00:51 - 00:00:53] 要我报这个快级专业
[00:00:53 - 00:00:55] 我一定是看城市
[00:00:55 - 00:00:58] 如果说你是一个律仪工内高档慈愿校
[00:00:58 - 00:00:59] 不用在于低于
[00:00:59 - 00:01:01] 但是理工的低档字元就一定要再用
[00:01:01 - 00:01:03] 这个是一定一定一定一定要注意的
[00:01:03 - 00:01:04] 我举个简单的例子
[00:01:04 - 00:01:07] 我们黑龙江工办的底线
[00:01:07 - 00:01:08] 大概可能就随话学院
[00:01:08 - 00:01:10] 这个黑河学院
[00:01:10 - 00:01:12] 这是黑龙江的工办底线
[00:01:12 - 00:01:13] 我们江苏省工办的底线
[00:01:13 - 00:01:15] 很有可能像什么
[00:01:15 - 00:01:16] 这个苏州城市学院
[00:01:16 - 00:01:17] 武西学院
[00:01:17 - 00:01:18] 因为这都是当年刚刚
[00:01:18 - 00:01:20] 民转工的学校
[00:01:20 - 00:01:22] 当年刚刚民转工的学校
[00:01:22 - 00:01:22] 工办
[00:01:22 - 00:01:23] 各位家人你想一想
[00:01:23 - 00:01:25] 如果说我是江苏的企业
[00:01:25 - 00:01:27] 我去招工办的底线
[00:01:27 - 00:01:29] 这个层次的学校的学生
[00:01:29 - 00:01:31] 我干嘛不招江苏的学校
[00:01:31 - 00:01:33] 我干嘛非得跑到黑龙江去找
[00:01:33 - 00:01:35] 大家想想识识
[00:01:35 - 00:01:36] 如果我是一个江苏的企业
[00:01:36 - 00:01:40] 我招一个底线越校党词的学生
[00:01:40 - 00:01:42] 我宁可在江苏我招民办的学生
[00:01:42 - 00:01:44] 我也不一定跑到黑龙江找公办
[00:01:44 - 00:01:45] 大家能理解我
[00:01:45 - 00:01:45] 理解我
[00:01:45 - 00:01:46] 对
[00:01:46 - 00:01:48] 反正是企业的螺丝丁
[00:01:48 - 00:01:49] 对吗
[00:01:49 - 00:01:51] 我宁可在江苏找民办
[00:01:51 - 00:01:54] 我也不一定跑到黑龙江找公办
[00:01:54 - 00:01:55] 因为没那个必要
[00:01:55 - 00:01:57] 我干嘛折腾那么远
[00:01:57 - 00:02:00] 所以说理工类的底线分数低的
[00:02:00 - 00:02:01] 它就业是有低预性的
[00:02:01 - 00:02:03] 文科就业是有低预性的
[00:02:03 - 00:02:05] 理工类中高分数段
[00:02:05 - 00:02:07] 高分数段它就业是没有低预性的
[00:02:07 - 00:02:07] 大家听懂了吗
