BV号：BV1HD4y1c7WS
标题：BV1HD4y1c7WS
链接：https://www.bilibili.com/video/BV1HD4y1c7WS
识别语言：zh
语言置信度：1
分段数：40
生成时间：2026-04-03 21:00:49

[00:00:00 - 00:00:02] 说说赵老师那怎么才能做财富自由呢
[00:00:02 - 00:00:05] 其实啊这里边我们虽然不是一个卖书的节目
[00:00:05 - 00:00:07] 但是我强烈大家推荐
[00:00:07 - 00:00:11] 有一本书啊这本书我本来是想找出来今天我们摆一下的
[00:00:11 - 00:00:13] 但是今天又是太过我忘了这个事啊
[00:00:13 - 00:00:16] 就是李孝磊老师有一本书叫财富自由资助
[00:00:16 - 00:00:20] 这本书说的很有意思啊就是说如果说你想成为财富自由的人的话
[00:00:20 - 00:00:21] 那你应该怎么去做
[00:00:21 - 00:00:25] 然后中间他就说到一点他说如果说你要是靠打工的话
[00:00:25 - 00:00:28] 说实话你要靠你要想靠打工去做财富自由呢
[00:00:28 - 00:00:31] 说实话相对比较比较难
[00:00:31 - 00:00:32] 高级打工者
[00:00:32 - 00:00:34] 你才能有机会去做财富自由
[00:00:34 - 00:00:36] 但是如果说上了说我现在想去创业
[00:00:37 - 00:00:38] 很多朋友都有这样的想法
[00:00:38 - 00:00:40] 说上了说我现在希望能够
[00:00:40 - 00:00:42] 从大学毕业以后的话找到一份工作
[00:00:42 - 00:00:44] 找到一份工作以后的话有一定的经验以后
[00:00:44 - 00:00:45] 我再去去创业
[00:00:45 - 00:00:48] 我想跟大家说一下关于创业这个事情
[00:00:48 - 00:00:49] 创业这个事情呢
[00:00:49 - 00:00:50] 大家一道明白
[00:00:50 - 00:00:52] 如果你想去创业的话
[00:00:52 - 00:00:54] 你必须得具备三个条件
[00:00:54 - 00:00:56] 你必须得具备三个条件才能去创业
[00:00:56 - 00:00:58] 我也是一个创业者
[00:00:58 - 00:01:01] 然后我想跟大家分享一下我自己的充业的经验
[00:01:01 - 00:01:03] 充业的话是这样
[00:01:03 - 00:01:04] 你得举个三个条件
[00:01:04 - 00:01:06] 这三个条件分别是各位
[00:01:06 - 00:01:07] 我先给你整体说一遍
[00:01:07 - 00:01:09] 第一个条件叫做项目
[00:01:09 - 00:01:10] 第二个条件叫做资金
[00:01:10 - 00:01:12] 第三个项目叫做人脉
[00:01:12 - 00:01:14] 项目资金人脉
[00:01:14 - 00:01:16] 三者缺一不可
[00:01:16 - 00:01:18] 项目资金人脉
[00:01:18 - 00:01:19] 三者缺一不可
[00:01:19 - 00:01:20] 我先说所谓的叫项目
[00:01:20 - 00:01:21] 什么叫项目呢
