BV号：BV1Hx41127Jx
标题：BV1Hx41127Jx
链接：https://www.bilibili.com/video/BV1Hx41127Jx
识别语言：zh
语言置信度：1
分段数：15
生成时间：2026-04-04 13:28:59

[00:00:01 - 00:00:04] 分別是清華北大人大北市大北行北利公和中國農業大學
[00:00:04 - 00:00:07] 清華北大人大北市大北行北利公和中國農業大學
[00:00:07 - 00:00:08] 知道吧
[00:00:08 - 00:00:09] 天津水天南南海山東山東大學
[00:00:09 - 00:00:10] 江蘇市南京大學東南大學
[00:00:10 - 00:00:12] 中江水中江大學上海的
[00:00:12 - 00:00:14] 上交大重地復旦福建的下半大學廣州的
[00:00:14 - 00:00:17] 中南大學華南理工湖南的湖南大學中南大學湖北的武漢大學
[00:00:17 - 00:00:17] 華中科技大學
[00:00:17 - 00:00:19] 黑龍江的韓國大學林的吉大
[00:00:19 - 00:00:21] 大連的大連理工和沈陽的東北大學
[00:00:21 - 00:00:22] 安徽的中國科技大學
[00:00:22 - 00:00:24] 現在全大西北工大重慶的重慶大學
[00:00:24 - 00:00:27] 四川的川大核电的科技大最后一个被称为中国最委屈的高校
[00:00:27 - 00:00:30] 他的名字叫做蓝州大选
