BV号：BV1JV411q7EJ
标题：BV1JV411q7EJ
链接：https://www.bilibili.com/video/BV1JV411q7EJ
识别语言：zh
语言置信度：1
分段数：70
生成时间：2026-04-04 01:00:03

[00:00:00 - 00:00:02] 那什么样的学校值得报呢
[00:00:02 - 00:00:04] 我个人觉得你既然是交叉学科
[00:00:04 - 00:00:06] 你最起码的怎么样
[00:00:06 - 00:00:08] 你交叉的那几个专业
[00:00:08 - 00:00:10] 你都有硕士点
[00:00:10 - 00:00:14] 你才能真正的把这个交叉学科给做好
[00:00:14 - 00:00:17] 这就像一个桌子一样
[00:00:17 - 00:00:19] 你比如说我现在电子是一个腿
[00:00:19 - 00:00:20] 桌子腿
[00:00:20 - 00:00:21] 然后我通信是一个桌子腿
[00:00:21 - 00:00:22] 计算机是一个桌子腿
[00:00:22 - 00:00:25] 然后我这个这个这个材料是一个桌子腿
[00:00:25 - 00:00:27] 然后的话我还有一个东西叫电器是一个桌子腿
[00:00:27 - 00:00:28] 这个桌子五条腿
[00:00:28 - 00:00:33] 但如果说这个作用五条腿的话 你中间这个学校 他在开设的时候 他少了两条腿
[00:00:34 - 00:00:39] 他只有三条腿就把这个专业开写来了 那这个学校在开设这个专业的时候一定有他的
[00:00:40 - 00:00:44] 小小的缺险 啊 一定有他的不足 所以说大家带抱这种
[00:00:44 - 00:00:50] 专业的时候一定要看一下他交叉的那几个学科当中 有没有相应的说实点
[00:00:50 - 00:00:52] 这也是我比较担心的 我就怕什么呢 我就怕
[00:00:53 - 00:00:58] 就是你要说一些好的学校啊 他开进了交叉学科 我是很理解的 因为他这个专业墙 那个专业墙 那个专业
[00:00:58 - 00:00:59] 对吧
[00:00:59 - 00:01:01] 然后把这几个专业会拼凑起来
[00:01:01 - 00:01:02] 拼凑成一个行业
[00:01:02 - 00:01:04] 我在哪方面我都有支撑
[00:01:04 - 00:01:06] 这个学生在我这学习啊
[00:01:06 - 00:01:07] 哪方面都有的学
[00:01:07 - 00:01:08] 这还好
[00:01:08 - 00:01:09] 但是我就怕什么呢
[00:01:09 - 00:01:12] 我就怕有一些学校为了开设这个专业
[00:01:12 - 00:01:13] 而开设这个专业
[00:01:13 - 00:01:14] 就是
[00:01:15 - 00:01:16] 理论上来讲
[00:01:16 - 00:01:17] 他是开不起来这个专业的
[00:01:17 - 00:01:18] 因为他一个桌子
[00:01:18 - 00:01:19] 他少了一个腿
[00:01:19 - 00:01:20] 能明白吧
[00:01:20 - 00:01:22] 然后他就拎开了这个专业
[00:01:22 - 00:01:23] 然后大家一看
[00:01:23 - 00:01:23] 哇
[00:01:23 - 00:01:25] 这是咱们开设的新的教材学科
[00:01:25 - 00:01:26] 这干嘛的
[00:01:26 - 00:01:26] 哇
[00:01:26 - 00:01:27] 这些人就芯片的
[00:01:27 - 00:01:28] 然后我还在要学这个
[00:01:28 - 00:01:29] 或者我要学这个
[00:01:29 - 00:01:30] 嗯
[00:01:30 - 00:01:32] 这个你要看一下他
[00:01:32 - 00:01:33] 交叉学科的底线那几个
[00:01:33 - 00:01:34] 怎么交叉
[00:01:34 - 00:01:35] 他少一个线
[00:01:35 - 00:01:36] 他就没发交叉
[00:01:36 - 00:01:37] 那么有外罢
[00:01:37 - 00:01:38] 大家一道明确
[00:01:38 - 00:01:39] 交叉学科未来的发展
[00:01:39 - 00:01:40] 他怎么开始人才培养
[00:01:40 - 00:01:43] 以及他设置条件设置程序
[00:01:43 - 00:01:44] 也希望国家在设置这样的
[00:01:44 - 00:01:45] 一个应急学科的时候呢
[00:01:45 - 00:01:48] 一定要严加的审核各个学校
[00:01:48 - 00:01:50] 他能不能开这个专业
[00:01:50 - 00:01:52] 如果说这个学校能开这个专业
[00:01:52 - 00:01:53] 他满足刚才我说的
[00:01:53 - 00:01:55] 几个桌子腿都很全
[00:01:55 - 00:01:56] 他这个交叉学科
[00:01:56 - 00:01:57] 这几条线都很全
[00:01:57 - 00:01:58] 这样的学校就知道爆
[00:01:58 - 00:02:01] 但如果说他要是缺少几条桌子
[00:02:01 - 00:02:03] 这几个线交啥线都交不全
[00:02:03 - 00:02:06] 那这样的学校我就不建议大家爆
[00:02:06 - 00:02:06] 明白了吗
